cell_id,Melithreptus gularis,Melithreptus gularis laetior,Melithreptus gularis gularis
84941b7ffffffff,3.0,0.0,0.0
84945a5ffffffff,105.0,55.0,0.0
8494801ffffffff,5.0,2.0,0.0
8494803ffffffff,10.0,6.0,0.0
849480bffffffff,12.0,4.0,0.0
8494811ffffffff,14.0,8.0,0.0
8494815ffffffff,5.0,5.0,0.0
8494819ffffffff,2.0,1.0,0.0
849481dffffffff,21.0,15.0,0.0
849483bffffffff,5.0,5.0,0.0
8494851ffffffff,1.0,0.0,0.0
8494855ffffffff,3.0,1.0,0.0
849485bffffffff,3.0,0.0,0.0
8494897ffffffff,1.0,0.0,0.0
8494899ffffffff,4.0,3.0,0.0
84948cdffffffff,5.0,0.0,0.0
84948d9ffffffff,2.0,2.0,0.0
84948dbffffffff,3.0,0.0,0.0
84948e5ffffffff,13.0,11.0,0.0
84948edffffffff,12.0,6.0,0.0
8494aa5ffffffff,1.0,0.0,0.0
8494aadffffffff,3.0,3.0,0.0
8494ae3ffffffff,5.0,5.0,0.0
8494ae7ffffffff,2.0,0.0,0.0
8494c17ffffffff,2.0,2.0,0.0
8494c49ffffffff,1.0,0.0,0.0
8494c4dffffffff,3.0,0.0,0.0
8494c59ffffffff,2.0,2.0,0.0
8494c61ffffffff,8.0,0.0,0.0
8494c69ffffffff,1.0,0.0,0.0
8494c6dffffffff,2.0,0.0,0.0
8494c91ffffffff,5.0,0.0,0.0
8494c99ffffffff,4.0,0.0,0.0
8494cc9ffffffff,4.0,0.0,0.0
8494ccdffffffff,3.0,0.0,0.0
8494d51ffffffff,1.0,0.0,0.0
8494dedffffffff,1.0,1.0,0.0
8494e21ffffffff,7.0,4.0,0.0
8494e27ffffffff,4.0,0.0,0.0
8494e2bffffffff,1.0,1.0,0.0
8494e2dffffffff,4.0,2.0,0.0
8494e3dffffffff,2.0,2.0,0.0
8494e81ffffffff,35.0,13.0,0.0
8494e85ffffffff,8.0,6.0,0.0
8494e87ffffffff,4.0,4.0,0.0
8494e93ffffffff,6.0,4.0,0.0
8494e9dffffffff,1.0,1.0,0.0
8494ea1ffffffff,4.0,0.0,0.0
8494eb5ffffffff,2.0,2.0,0.0
8494ed3ffffffff,10.0,3.0,0.0
8494ed7ffffffff,13.0,8.0,0.0
8494ee1ffffffff,11.0,2.0,0.0
8494ee3ffffffff,9.0,2.0,0.0
8494ee7ffffffff,49.0,24.0,0.0
8494f21ffffffff,51.0,45.0,0.0
8494f25ffffffff,4.0,4.0,0.0
8494f29ffffffff,2.0,2.0,0.0
8494f43ffffffff,1.0,1.0,0.0
8494f4bffffffff,9.0,0.0,0.0
8494f51ffffffff,10.0,0.0,0.0
8494f55ffffffff,3.0,0.0,0.0
8494f5dffffffff,2.0,0.0,0.0
8494f61ffffffff,3.0,0.0,0.0
8494f63ffffffff,2.0,2.0,0.0
8494f65ffffffff,5.0,0.0,0.0
849c059ffffffff,3.0,3.0,0.0
849c0e9ffffffff,24.0,10.0,0.0
849c233ffffffff,16.0,0.0,0.0
849c237ffffffff,79.0,4.0,0.0
849c23bffffffff,13.0,0.0,0.0
849c255ffffffff,1.0,0.0,0.0
849c259ffffffff,2.0,0.0,0.0
849c25dffffffff,2.0,0.0,0.0
849c2ddffffffff,2.0,0.0,0.0
849c417ffffffff,2.0,0.0,0.0
849c443ffffffff,9.0,2.0,0.0
849c45dffffffff,2.0,0.0,0.0
849c483ffffffff,2.0,0.0,0.0
849c491ffffffff,2.0,0.0,0.0
849c497ffffffff,5.0,0.0,0.0
849c499ffffffff,2.0,0.0,0.0
849c4bdffffffff,2.0,0.0,0.0
849c605ffffffff,27.0,10.0,0.0
849c607ffffffff,4.0,4.0,0.0
849c60dffffffff,6.0,4.0,0.0
849c62dffffffff,3.0,3.0,0.0
849c649ffffffff,6.0,2.0,0.0
849c64bffffffff,2.0,0.0,0.0
849c65dffffffff,2.0,0.0,0.0
849c663ffffffff,2.0,0.0,0.0
849c693ffffffff,5.0,3.0,0.0
849c6a7ffffffff,4.0,0.0,0.0
849c6abffffffff,2.0,2.0,0.0
849c6b9ffffffff,2.0,0.0,0.0
849c6cbffffffff,6.0,2.0,0.0
849c6d1ffffffff,1.0,0.0,0.0
849c6d3ffffffff,2.0,0.0,0.0
849c6ddffffffff,5.0,2.0,0.0
849c6e9ffffffff,2.0,0.0,0.0
849d013ffffffff,2.0,0.0,0.0
849d08dffffffff,1.0,0.0,0.0
849d0b1ffffffff,43.0,0.0,0.0
849d0b3ffffffff,4.0,0.0,0.0
849d0b5ffffffff,12.0,0.0,0.0
849d0b7ffffffff,6.0,0.0,0.0
849d0bdffffffff,12.0,0.0,0.0
849d0c9ffffffff,2.0,0.0,0.0
849d211ffffffff,3.0,0.0,0.0
849d217ffffffff,7.0,0.0,0.0
849d21dffffffff,5.0,0.0,0.0
849d259ffffffff,1.0,0.0,0.0
849d443ffffffff,1.0,1.0,0.0
849d44bffffffff,2.0,2.0,0.0
849d48dffffffff,4.0,2.0,0.0
849d4a1ffffffff,82.0,57.0,0.0
849d4a3ffffffff,4.0,1.0,0.0
849d4a7ffffffff,5.0,5.0,0.0
849d4abffffffff,6.0,5.0,0.0
849d4e7ffffffff,3.0,3.0,0.0
849d599ffffffff,1.0,1.0,0.0
849d5dbffffffff,9.0,8.0,0.0
84a6a69ffffffff,4.0,0.0,0.0
84a7829ffffffff,1.0,0.0,0.0
84a78a1ffffffff,6.0,0.0,0.0
84a78a3ffffffff,2.0,0.0,0.0
84a78bdffffffff,2.0,0.0,0.0
84a78e7ffffffff,2.0,0.0,0.0
84a7917ffffffff,2.0,0.0,0.0
84a7999ffffffff,1.0,0.0,0.0
84a79d1ffffffff,4.0,4.0,0.0
84b8819ffffffff,7.0,3.0,0.0
84b881bffffffff,2.0,2.0,0.0
84b8847ffffffff,1.0,1.0,0.0
84b8851ffffffff,2.0,2.0,0.0
84b8855ffffffff,5.0,2.0,0.0
84b8857ffffffff,5.0,2.0,0.0
84b8921ffffffff,2.0,0.0,0.0
84b89adffffffff,9.0,1.0,0.0
84b89c1ffffffff,1.0,1.0,0.0
84b8aa5ffffffff,2.0,0.0,0.0
84b9145ffffffff,2.0,0.0,0.0
84b914dffffffff,13.0,0.0,0.0
84b9169ffffffff,2.0,0.0,0.0
84be087ffffffff,5.0,0.0,0.0
84be093ffffffff,1.0,0.0,0.0
84be097ffffffff,1.0,0.0,0.0
84be0a1ffffffff,1.0,0.0,0.0
84be0a3ffffffff,72.0,0.0,19.0
84be0a5ffffffff,2.0,0.0,0.0
84be0abffffffff,1.0,0.0,0.0
84be0adffffffff,33.0,0.0,0.0
84be0bdffffffff,137.0,0.0,26.0
84be1b3ffffffff,2.0,0.0,0.0
84be401ffffffff,60.0,0.0,29.0
84be405ffffffff,1.0,0.0,0.0
84be409ffffffff,139.0,0.0,39.0
84be40bffffffff,3.0,0.0,2.0
84be40dffffffff,6.0,0.0,2.0
84be41dffffffff,7.0,0.0,0.0
84be441ffffffff,112.0,0.0,35.0
84be443ffffffff,116.0,0.0,39.0
84be445ffffffff,24.0,0.0,9.0
84be447ffffffff,21.0,0.0,7.0
84be44bffffffff,2.0,0.0,2.0
84be451ffffffff,39.0,0.0,7.0
84be453ffffffff,8.0,0.0,0.0
84be455ffffffff,60.0,0.0,8.0
84be457ffffffff,95.0,0.0,11.0
84be459ffffffff,51.0,0.0,6.0
84be45bffffffff,2.0,0.0,2.0
84be45dffffffff,45.0,0.0,1.0
84be463ffffffff,2.0,0.0,0.0
84be469ffffffff,25.0,0.0,9.0
84be46bffffffff,18.0,0.0,10.0
84be4c9ffffffff,32.0,0.0,4.0
84be4cbffffffff,4.0,0.0,0.0
84be4cdffffffff,7.0,0.0,0.0
