cell_id,Momotus subrufescens,Momotus subrufescens [subrufescens Group],Momotus subrufescens argenticinctus
8466027ffffffff,8.0,0.0,0.0
8466113ffffffff,20.0,0.0,0.0
8466131ffffffff,4.0,2.0,0.0
8466139ffffffff,4.0,0.0,0.0
8466187ffffffff,2.0,0.0,0.0
84661b9ffffffff,5.0,0.0,0.0
84661c9ffffffff,12.0,0.0,0.0
84661cdffffffff,31.0,0.0,0.0
84661ebffffffff,5.0,0.0,0.0
84662e5ffffffff,1.0,1.0,0.0
8466d35ffffffff,63.0,0.0,4.0
848f0d3ffffffff,1.0,0.0,0.0
848f2c9ffffffff,16.0,0.0,3.0
848f2cbffffffff,28.0,0.0,0.0
