cell_id,Myophonus caeruleus,Myophonus caeruleus caeruleus,Myophonus caeruleus [flavirostris Group]
832010fffffffff,14.0,0.0,0.0
832012fffffffff,9.0,0.0,0.0
832013fffffffff,5.0,0.0,5.0
83201afffffffff,15.0,0.0,0.0
83201bfffffffff,1.0,0.0,0.0
832080fffffffff,9.0,0.0,0.0
832083fffffffff,2.0,0.0,0.0
832085fffffffff,2.0,0.0,0.0
83208afffffffff,7.0,0.0,0.0
832098fffffffff,15.0,0.0,0.0
832099fffffffff,70.0,0.0,0.0
83209afffffffff,237.0,0.0,0.0
83209bfffffffff,168.0,0.0,0.0
83209cfffffffff,4.0,0.0,0.0
83209efffffffff,35.0,0.0,0.0
8320a0fffffffff,1.0,0.0,0.0
8320a2fffffffff,24.0,0.0,0.0
8320a8fffffffff,2.0,0.0,0.0
8320a9fffffffff,2.0,0.0,0.0
8320aafffffffff,1.0,0.0,0.0
8320adfffffffff,18.0,0.0,0.0
8320aefffffffff,1.0,0.0,0.0
8320e2fffffffff,3.0,0.0,2.0
8320e6fffffffff,81.0,0.0,40.0
8320f0fffffffff,1.0,0.0,0.0
833011fffffffff,2.0,0.0,0.0
833091fffffffff,20.0,0.0,0.0
83309afffffffff,8.0,0.0,0.0
833185fffffffff,13.0,0.0,0.0
833192fffffffff,5.0,0.0,0.0
8331a8fffffffff,42.0,0.0,0.0
833c00fffffffff,54.0,0.0,5.0
833c01fffffffff,1.0,0.0,0.0
833c02fffffffff,1461.0,0.0,244.0
833c03fffffffff,26.0,0.0,0.0
833c06fffffffff,125.0,0.0,21.0
833c0afffffffff,2288.0,0.0,31.0
833c0bfffffffff,831.0,0.0,123.0
833c0cfffffffff,2.0,0.0,0.0
833c0dfffffffff,2.0,0.0,0.0
833c0efffffffff,59.0,0.0,0.0
833c15fffffffff,24.0,0.0,1.0
833c19fffffffff,654.0,0.0,0.0
833c1cfffffffff,5.0,0.0,0.0
833c1dfffffffff,1285.0,0.0,0.0
833c30fffffffff,40.0,0.0,0.0
833c31fffffffff,189.0,0.0,39.0
833c33fffffffff,144.0,0.0,6.0
833c34fffffffff,10.0,0.0,0.0
833c35fffffffff,1.0,0.0,0.0
833c36fffffffff,38.0,0.0,0.0
833c42fffffffff,8.0,0.0,0.0
833c43fffffffff,47.0,0.0,0.0
833c4afffffffff,1.0,0.0,0.0
833c52fffffffff,837.0,0.0,2.0
833c53fffffffff,8.0,0.0,0.0
833c56fffffffff,18.0,0.0,0.0
833c58fffffffff,916.0,0.0,0.0
833c59fffffffff,110.0,0.0,0.0
833c5afffffffff,154.0,0.0,0.0
833c5bfffffffff,435.0,0.0,0.0
833c5cfffffffff,167.0,0.0,0.0
833c5dfffffffff,14.0,0.0,0.0
833c5efffffffff,23.0,0.0,0.0
833cc0fffffffff,37.0,0.0,0.0
833cc1fffffffff,13.0,0.0,0.0
833cc3fffffffff,11.0,0.0,0.0
833cc4fffffffff,17.0,0.0,0.0
833cc5fffffffff,4.0,0.0,0.0
833cc6fffffffff,2.0,0.0,0.0
833cd8fffffffff,9.0,2.0,0.0
833cdcfffffffff,5.0,0.0,0.0
833cddfffffffff,11.0,0.0,0.0
833ce0fffffffff,9.0,0.0,0.0
833ce1fffffffff,143.0,0.0,0.0
833ce2fffffffff,39.0,0.0,0.0
833ce3fffffffff,72.0,0.0,0.0
833ce4fffffffff,347.0,0.0,9.0
833ce5fffffffff,1169.0,0.0,92.0
833ce8fffffffff,199.0,0.0,0.0
833ce9fffffffff,21.0,0.0,0.0
833ceafffffffff,33.0,0.0,0.0
833cebfffffffff,12.0,0.0,0.0
833cecfffffffff,253.0,0.0,0.0
833cedfffffffff,15.0,0.0,0.0
833d00fffffffff,7.0,0.0,0.0
833d02fffffffff,10.0,0.0,0.0
833d04fffffffff,186.0,0.0,0.0
833d06fffffffff,13.0,0.0,0.0
833d10fffffffff,3006.0,0.0,0.0
833d11fffffffff,313.0,0.0,0.0
833d13fffffffff,2976.0,0.0,0.0
833d14fffffffff,87.0,0.0,0.0
833d15fffffffff,713.0,0.0,0.0
833d1afffffffff,231.0,0.0,0.0
833d1efffffffff,2940.0,0.0,0.0
833d22fffffffff,77.0,0.0,0.0
833d26fffffffff,4.0,0.0,0.0
833d30fffffffff,304.0,0.0,0.0
833d31fffffffff,40.0,0.0,0.0
833d32fffffffff,21.0,0.0,0.0
833d33fffffffff,583.0,0.0,0.0
833d34fffffffff,600.0,0.0,0.0
833d35fffffffff,440.0,0.0,0.0
833d36fffffffff,171.0,0.0,0.0
833da9fffffffff,4.0,0.0,0.0
833dadfffffffff,6891.0,0.0,0.0
834003fffffffff,4.0,0.0,0.0
834004fffffffff,1.0,0.0,0.0
83400afffffffff,26.0,0.0,0.0
83400cfffffffff,5.0,0.0,0.0
834013fffffffff,9.0,0.0,0.0
834018fffffffff,1.0,0.0,0.0
83401afffffffff,4.0,0.0,0.0
83401dfffffffff,2.0,0.0,0.0
834020fffffffff,1.0,0.0,0.0
834022fffffffff,5.0,0.0,0.0
83402dfffffffff,11.0,10.0,0.0
834034fffffffff,39.0,13.0,0.0
834036fffffffff,9.0,0.0,0.0
834040fffffffff,2.0,0.0,2.0
834043fffffffff,23.0,0.0,5.0
834044fffffffff,3.0,0.0,0.0
834045fffffffff,8.0,0.0,8.0
83404cfffffffff,152.0,0.0,69.0
83404dfffffffff,227.0,0.0,94.0
83404efffffffff,28.0,0.0,7.0
834052fffffffff,14.0,8.0,0.0
834058fffffffff,4.0,0.0,0.0
834059fffffffff,27.0,0.0,23.0
83405bfffffffff,2.0,0.0,0.0
83405cfffffffff,13.0,0.0,5.0
83405dfffffffff,8.0,0.0,8.0
834061fffffffff,6.0,0.0,0.0
834062fffffffff,1.0,0.0,1.0
834065fffffffff,5.0,0.0,4.0
83406bfffffffff,49.0,0.0,18.0
83406dfffffffff,2.0,0.0,0.0
834071fffffffff,16.0,0.0,2.0
834073fffffffff,2.0,0.0,0.0
834080fffffffff,1.0,0.0,0.0
834089fffffffff,12.0,0.0,0.0
8340a8fffffffff,1.0,0.0,0.0
8340aefffffffff,3.0,0.0,0.0
8340b5fffffffff,45.0,0.0,0.0
8340c0fffffffff,2.0,0.0,0.0
8340c1fffffffff,4.0,0.0,0.0
8340c2fffffffff,1.0,0.0,0.0
8340c4fffffffff,2.0,0.0,0.0
8340c5fffffffff,20.0,4.0,0.0
8340c6fffffffff,27.0,6.0,0.0
8340defffffffff,2.0,0.0,0.0
8340e1fffffffff,106.0,28.0,0.0
8340e3fffffffff,24.0,5.0,0.0
8340e5fffffffff,11.0,3.0,0.0
8340ecfffffffff,21.0,12.0,0.0
8340eefffffffff,23.0,8.0,0.0
834103fffffffff,301.0,21.0,0.0
834118fffffffff,17.0,0.0,0.0
834119fffffffff,11.0,0.0,0.0
83411afffffffff,12.0,0.0,0.0
83411bfffffffff,7.0,0.0,0.0
83411cfffffffff,716.0,138.0,0.0
83411dfffffffff,5.0,0.0,0.0
83411efffffffff,1.0,0.0,0.0
834142fffffffff,21.0,0.0,2.0
834143fffffffff,23.0,2.0,1.0
834148fffffffff,1.0,0.0,0.0
834149fffffffff,8.0,0.0,1.0
83414bfffffffff,2.0,0.0,0.0
83414cfffffffff,13.0,0.0,0.0
83414dfffffffff,4.0,0.0,0.0
83414efffffffff,2.0,0.0,0.0
834158fffffffff,3.0,1.0,0.0
834159fffffffff,7.0,5.0,0.0
83415afffffffff,8.0,0.0,0.0
83415cfffffffff,21.0,6.0,1.0
83415dfffffffff,1.0,0.0,0.0
83415efffffffff,5.0,3.0,0.0
834160fffffffff,7.0,0.0,2.0
834161fffffffff,6.0,0.0,3.0
834165fffffffff,39.0,0.0,14.0
834168fffffffff,3.0,0.0,0.0
83416afffffffff,3.0,0.0,0.0
83416bfffffffff,6.0,0.0,2.0
83416cfffffffff,3.0,0.0,0.0
83416efffffffff,26.0,0.0,12.0
834171fffffffff,4.0,2.0,0.0
834183fffffffff,2.0,0.0,0.0
834184fffffffff,3.0,0.0,0.0
834185fffffffff,24.0,0.0,0.0
834186fffffffff,2.0,0.0,0.0
83418dfffffffff,2.0,0.0,0.0
834190fffffffff,4.0,0.0,0.0
834191fffffffff,18.0,0.0,0.0
834192fffffffff,52.0,1.0,0.0
834195fffffffff,5.0,0.0,0.0
83419bfffffffff,2.0,0.0,0.0
83419cfffffffff,3.0,0.0,0.0
8341a0fffffffff,40.0,13.0,0.0
8341a4fffffffff,1422.0,574.0,0.0
8341a5fffffffff,519.0,296.0,0.0
8341a9fffffffff,2.0,0.0,0.0
8341abfffffffff,2.0,0.0,0.0
8341adfffffffff,5.0,0.0,0.0
8341b3fffffffff,13.0,0.0,0.0
8341b4fffffffff,35.0,3.0,0.0
8341b5fffffffff,1040.0,114.0,0.0
8341b6fffffffff,2.0,0.0,0.0
834269fffffffff,122.0,0.0,0.0
834b30fffffffff,3.0,0.0,0.0
834b32fffffffff,5.0,0.0,0.0
834b34fffffffff,4.0,0.0,0.0
834b35fffffffff,1.0,0.0,0.0
836416fffffffff,250.0,0.0,113.0
836426fffffffff,5.0,0.0,0.0
836431fffffffff,13.0,0.0,6.0
836432fffffffff,14.0,0.0,9.0
836433fffffffff,5.0,0.0,2.0
836434fffffffff,8.0,0.0,0.0
836435fffffffff,86.0,0.0,24.0
836480fffffffff,9.0,2.0,2.0
836482fffffffff,1762.0,465.0,443.0
836484fffffffff,9.0,2.0,0.0
836485fffffffff,4.0,0.0,0.0
836486fffffffff,3.0,1.0,0.0
83648efffffffff,1.0,0.0,0.0
836490fffffffff,124.0,53.0,54.0
836491fffffffff,924.0,275.0,218.0
836494fffffffff,11.0,7.0,4.0
836495fffffffff,4.0,0.0,2.0
836498fffffffff,13.0,2.0,2.0
83649bfffffffff,4.0,0.0,0.0
83649cfffffffff,3.0,0.0,0.0
8364a0fffffffff,21.0,0.0,14.0
8364a1fffffffff,13.0,0.0,3.0
8364a2fffffffff,2.0,0.0,0.0
8364a3fffffffff,71.0,21.0,14.0
8364a4fffffffff,65.0,0.0,29.0
8364a5fffffffff,41.0,0.0,5.0
8364a6fffffffff,12.0,0.0,7.0
8364b0fffffffff,35.0,25.0,2.0
8364b1fffffffff,14.0,2.0,2.0
8364b5fffffffff,23.0,2.0,12.0
836500fffffffff,21.0,0.0,0.0
836503fffffffff,11.0,0.0,0.0
836505fffffffff,10.0,0.0,0.0
83650dfffffffff,6.0,0.0,0.0
836518fffffffff,7.0,0.0,0.0
836519fffffffff,6.0,0.0,4.0
83651bfffffffff,17.0,0.0,6.0
83651cfffffffff,2.0,0.0,0.0
83652bfffffffff,2.0,0.0,0.0
836580fffffffff,16.0,0.0,0.0
836581fffffffff,11.0,0.0,0.0
836585fffffffff,18.0,0.0,0.0
836589fffffffff,8.0,0.0,3.0
