cell_id,Cistothorus platensis,Cistothorus platensis [elegans Group],Cistothorus platensis alticola,Cistothorus platensis aequatorialis,Cistothorus platensis graminicola,Cistothorus platensis minimus,Cistothorus platensis tucumanus,Cistothorus platensis platensis/polyglottus,Cistothorus platensis hornensis/falklandicus
824527fffffffff,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82452ffffffffff,191.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824987fffffffff,67.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824997fffffffff,1587.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8249affffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8249b7fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f47fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f4ffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825f77fffffffff,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82660ffffffffff,270.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
82661ffffffffff,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82662ffffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8266b7fffffffff,389.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8266c7fffffffff,106.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8266d7fffffffff,1908.0,0.0,0.0,622.0,0.0,0.0,0.0,0.0,0.0
8266dffffffffff,1207.0,0.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0
8266e7fffffffff,4718.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0
8266f7fffffffff,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826747fffffffff,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
82674ffffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82675ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d67fffffffff,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
826d6ffffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82812ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b0ffffffffff,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b1ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b27fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b2ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828b67fffffffff,217.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0
828b6ffffffffff,44.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
828b77fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828e67fffffffff,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828e6ffffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f2ffffffffff,518.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0
828f47fffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f4ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
828f57fffffffff,203.0,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0
828f5ffffffffff,192.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
828f77fffffffff,309.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0
82a827fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a82ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a857fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a887fffffffff,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a88ffffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82a8affffffffff,161.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
82a8c7fffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a8d7fffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
82a8dffffffffff,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a8effffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a8f7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a907fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
82a90ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a927fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a92ffffffffff,121.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
82a947fffffffff,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a957fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a967fffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82a977fffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b207fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b20ffffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b21ffffffffff,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
82b22ffffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b247fffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b24ffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b25ffffffffff,483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b267fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b277fffffffff,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2c7fffffffff,891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
82b2cffffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2dffffffffff,547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b2effffffffff,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b327fffffffff,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b347fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b357fffffffff,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b35ffffffffff,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82b377fffffffff,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c207fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c21ffffffffff,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c227fffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c22ffffffffff,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2c7fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2cffffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2d7fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2dffffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2e7fffffffff,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c2effffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c30ffffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c32ffffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c347fffffffff,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82c34ffffffffff,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
