cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
840153bffffffff,4.0,0.0,0.0,0.0
8406dd1ffffffff,1.0,0.0,0.0,0.0
840741dffffffff,1.0,0.0,1.0,0.0
8407465ffffffff,2.0,0.0,2.0,0.0
84075cbffffffff,5.0,2.0,1.0,0.0
84075d1ffffffff,5.0,2.0,3.0,0.0
84075d9ffffffff,6.0,0.0,6.0,0.0
84075ddffffffff,1.0,0.0,1.0,0.0
84075edffffffff,5.0,0.0,5.0,0.0
8407623ffffffff,3.0,0.0,0.0,0.0
8407627ffffffff,1.0,0.0,1.0,0.0
8407731ffffffff,5.0,0.0,5.0,0.0
8407733ffffffff,2.0,1.0,1.0,0.0
840773bffffffff,2.0,0.0,2.0,0.0
8408159ffffffff,2.0,0.0,0.0,0.0
8408845ffffffff,4.0,0.0,4.0,0.0
840886bffffffff,2.0,0.0,2.0,0.0
84089d3ffffffff,2.0,0.0,2.0,0.0
8408b0dffffffff,1.0,0.0,1.0,0.0
8408c31ffffffff,1.0,0.0,1.0,0.0
8408c97ffffffff,2.0,0.0,0.0,0.0
8409821ffffffff,2.0,0.0,2.0,0.0
8409993ffffffff,3.0,0.0,3.0,0.0
840999bffffffff,2.0,0.0,2.0,0.0
840c143ffffffff,32.0,17.0,3.0,12.0
840c147ffffffff,20.0,19.0,1.0,0.0
840c14bffffffff,1.0,0.0,1.0,0.0
840c415ffffffff,15.0,0.0,0.0,0.0
840c42dffffffff,9.0,2.0,0.0,2.0
840c465ffffffff,2.0,0.0,2.0,0.0
840c46dffffffff,2.0,0.0,0.0,0.0
840c501ffffffff,1.0,0.0,1.0,0.0
840c503ffffffff,6.0,0.0,6.0,0.0
840c51dffffffff,46.0,13.0,16.0,17.0
840c54bffffffff,2.0,2.0,0.0,0.0
840c5a5ffffffff,61.0,22.0,26.0,2.0
840c5a7ffffffff,2.0,1.0,0.0,0.0
840c5adffffffff,7.0,4.0,3.0,0.0
840c609ffffffff,1.0,0.0,1.0,0.0
840c621ffffffff,2.0,0.0,2.0,0.0
840c623ffffffff,1.0,0.0,1.0,0.0
840c629ffffffff,2.0,0.0,2.0,0.0
840c63dffffffff,6.0,0.0,6.0,0.0
840c665ffffffff,5.0,0.0,5.0,0.0
840c71bffffffff,1.0,0.0,1.0,0.0
840c731ffffffff,4.0,0.0,0.0,0.0
840c733ffffffff,45.0,12.0,7.0,6.0
840c735ffffffff,5.0,1.0,0.0,0.0
840c741ffffffff,2.0,0.0,2.0,0.0
840c74bffffffff,2.0,0.0,2.0,0.0
840c759ffffffff,5.0,1.0,4.0,0.0
840ca43ffffffff,9.0,1.0,3.0,0.0
840cdebffffffff,2.0,0.0,0.0,0.0
840ceadffffffff,2.0,0.0,0.0,0.0
840cee5ffffffff,16.0,0.0,0.0,0.0
840cf45ffffffff,2.0,0.0,0.0,0.0
840d039ffffffff,12.0,6.0,3.0,3.0
840d0c3ffffffff,2.0,0.0,2.0,0.0
840d0d1ffffffff,2.0,0.0,2.0,0.0
840d521ffffffff,1.0,0.0,1.0,0.0
840d529ffffffff,1.0,0.0,1.0,0.0
840d537ffffffff,1.0,0.0,1.0,0.0
840d563ffffffff,1.0,0.0,1.0,0.0
840d58dffffffff,2.0,0.0,0.0,0.0
840d5a9ffffffff,13.0,0.0,11.0,0.0
