cell_id,Ptilinopus superbus,Ptilinopus superbus temminckii,Ptilinopus superbus superbus
8268cffffffffff,113.0,17.0,0.0
8268d7fffffffff,135.0,52.0,0.0
8268dffffffffff,23.0,11.0,0.0
82728ffffffffff,9.0,0.0,0.0
8272a7fffffffff,67.0,0.0,0.0
8272affffffffff,28.0,0.0,0.0
8272b7fffffffff,2.0,0.0,0.0
8272cffffffffff,2.0,0.0,0.0
8272d7fffffffff,53.0,0.0,0.0
8272dffffffffff,70.0,0.0,0.0
8272f7fffffffff,27.0,0.0,0.0
827397fffffffff,39.0,0.0,2.0
82739ffffffffff,28.0,0.0,0.0
827687fffffffff,3.0,0.0,0.0
82769ffffffffff,13.0,0.0,0.0
829507fffffffff,6.0,2.0,0.0
829527fffffffff,2.0,0.0,0.0
829547fffffffff,58.0,0.0,0.0
829567fffffffff,2.0,0.0,0.0
82956ffffffffff,129.0,0.0,0.0
829c07fffffffff,122.0,0.0,0.0
829c1ffffffffff,456.0,0.0,0.0
829c27fffffffff,1642.0,0.0,0.0
829c8ffffffffff,6.0,0.0,0.0
829c97fffffffff,6.0,0.0,0.0
829c9ffffffffff,130.0,0.0,0.0
829ca7fffffffff,6.0,0.0,0.0
829caffffffffff,77.0,0.0,1.0
829cb7fffffffff,20.0,0.0,0.0
829cd7fffffffff,101.0,0.0,0.0
829cf7fffffffff,39.0,0.0,0.0
829d07fffffffff,4.0,0.0,0.0
829d0ffffffffff,106.0,0.0,0.0
829ed7fffffffff,1.0,0.0,0.0
829edffffffffff,19.0,0.0,0.0
82be8ffffffffff,8.0,0.0,0.0
82beaffffffffff,53.0,0.0,1.0
82bef7fffffffff,1.0,0.0,0.0
