cell_id,Mandingoa nitidula,Mandingoa nitidula schlegeli/virginiae,Mandingoa nitidula nitidula/chubbi
8258d7fffffffff,2.0,0.0,0.0
826ac7fffffffff,51.0,0.0,0.0
826acffffffffff,41.0,0.0,0.0
826adffffffffff,25.0,0.0,0.0
826aeffffffffff,71.0,0.0,0.0
827507fffffffff,1.0,0.0,0.0
82750ffffffffff,2.0,0.0,0.0
82752ffffffffff,21.0,0.0,0.0
8275a7fffffffff,4.0,0.0,0.0
827a4ffffffffff,4.0,0.0,0.0
827a67fffffffff,2.0,0.0,0.0
827acffffffffff,68.0,0.0,8.0
827b4ffffffffff,21.0,0.0,0.0
827b5ffffffffff,7.0,0.0,0.0
8282d7fffffffff,18.0,7.0,0.0
8283a7fffffffff,3.0,0.0,0.0
82960ffffffffff,3.0,0.0,0.0
829617fffffffff,3.0,0.0,3.0
829677fffffffff,1.0,0.0,0.0
82968ffffffffff,5.0,0.0,0.0
829697fffffffff,18.0,0.0,0.0
82969ffffffffff,1.0,0.0,0.0
8296a7fffffffff,2.0,0.0,0.0
8296b7fffffffff,2.0,0.0,0.0
829707fffffffff,4.0,0.0,0.0
829717fffffffff,28.0,0.0,0.0
82971ffffffffff,44.0,0.0,4.0
82972ffffffffff,51.0,0.0,11.0
82978ffffffffff,6.0,0.0,0.0
829797fffffffff,3.0,0.0,0.0
8297affffffffff,4.0,0.0,0.0
82bc0ffffffffff,3.0,0.0,0.0
82bc1ffffffffff,19.0,0.0,2.0
82bc8ffffffffff,13.0,0.0,0.0
82bcd7fffffffff,45.0,0.0,10.0
82bce7fffffffff,2.0,0.0,1.0
82bcf7fffffffff,287.0,0.0,64.0
