cell_id,Campocolinus coqui,Campocolinus coqui [hubbardi Group],Campocolinus coqui coqui
836ac3fffffffff,4.0,0.0,0.0
836ac9fffffffff,3.0,0.0,0.0
836acefffffffff,40.0,0.0,2.0
836ad8fffffffff,2.0,0.0,0.0
836ad9fffffffff,4.0,0.0,0.0
836addfffffffff,8.0,0.0,0.0
836aeafffffffff,1.0,0.0,0.0
837a66fffffffff,7.0,0.0,0.0
837a68fffffffff,472.0,0.0,0.0
837a69fffffffff,1.0,0.0,0.0
837a6afffffffff,169.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
837a6dfffffffff,448.0,0.0,0.0
837a6efffffffff,2.0,0.0,0.0
837ae8fffffffff,7.0,0.0,0.0
837ae9fffffffff,3.0,0.0,0.0
837aedfffffffff,6.0,0.0,0.0
837b4dfffffffff,1.0,0.0,0.0
837b59fffffffff,6.0,0.0,0.0
837b6bfffffffff,2.0,0.0,0.0
8382a0fffffffff,2.0,0.0,0.0
838326fffffffff,1.0,0.0,0.0
839600fffffffff,13.0,0.0,3.0
839605fffffffff,2.0,0.0,0.0
83960efffffffff,1.0,0.0,0.0
839615fffffffff,6.0,0.0,0.0
839620fffffffff,2.0,0.0,0.0
839623fffffffff,2.0,0.0,0.0
839628fffffffff,8.0,0.0,0.0
83962bfffffffff,3.0,0.0,0.0
83962cfffffffff,12.0,0.0,7.0
83962dfffffffff,2.0,0.0,0.0
83962efffffffff,4.0,0.0,2.0
839636fffffffff,6.0,0.0,0.0
839656fffffffff,1.0,0.0,0.0
839670fffffffff,2.0,0.0,0.0
839672fffffffff,1.0,0.0,0.0
839674fffffffff,1.0,0.0,0.0
839685fffffffff,1.0,0.0,0.0
839690fffffffff,145.0,7.0,0.0
839692fffffffff,110.0,0.0,0.0
839693fffffffff,114.0,0.0,0.0
83969afffffffff,27.0,0.0,0.0
83969efffffffff,7.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396b1fffffffff,6.0,0.0,0.0
8396b5fffffffff,1.0,0.0,0.0
8396b6fffffffff,2.0,0.0,0.0
839708fffffffff,1.0,0.0,0.0
83970afffffffff,2.0,0.0,0.0
839725fffffffff,1.0,0.0,0.0
839728fffffffff,1.0,0.0,1.0
83972cfffffffff,5.0,0.0,0.0
83972efffffffff,2.0,0.0,0.0
839741fffffffff,1.0,0.0,0.0
839743fffffffff,8.0,0.0,0.0
83974bfffffffff,15.0,0.0,3.0
83974efffffffff,1.0,0.0,0.0
839750fffffffff,6.0,0.0,0.0
839751fffffffff,2.0,0.0,0.0
839752fffffffff,1.0,0.0,0.0
839754fffffffff,12.0,0.0,0.0
839755fffffffff,5.0,0.0,0.0
83975cfffffffff,2.0,0.0,0.0
83975dfffffffff,5.0,0.0,0.0
839772fffffffff,1.0,0.0,0.0
839775fffffffff,1.0,0.0,0.0
839782fffffffff,2.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
83ac94fffffffff,1.0,0.0,0.0
83bc89fffffffff,1.0,0.0,0.0
83bc99fffffffff,1.0,0.0,0.0
83bcc1fffffffff,2.0,0.0,0.0
83bcc2fffffffff,5.0,0.0,2.0
83bcc3fffffffff,6.0,0.0,0.0
83bccafffffffff,1.0,0.0,0.0
83bcd0fffffffff,28.0,0.0,2.0
83bcd1fffffffff,17.0,0.0,4.0
83bcd2fffffffff,117.0,0.0,11.0
83bcd6fffffffff,7.0,0.0,0.0
83bcd8fffffffff,13.0,0.0,3.0
83bcd9fffffffff,4.0,0.0,0.0
83bcdafffffffff,2.0,0.0,0.0
83bcdcfffffffff,49.0,0.0,9.0
83bcddfffffffff,18.0,0.0,5.0
83bcdefffffffff,57.0,0.0,10.0
83bcf0fffffffff,1.0,0.0,1.0
83bcf2fffffffff,6.0,0.0,2.0
83bcf3fffffffff,11.0,0.0,7.0
83bcf5fffffffff,2.0,0.0,0.0
