cell_id,Pyrrhula pyrrhula,Pyrrhula pyrrhula [pyrrhula Group],Pyrrhula pyrrhula [griseiventris Group]
840125dffffffff,1.0,1.0,0.0
8401261ffffffff,5.0,0.0,0.0
8401265ffffffff,1.0,0.0,0.0
8401269ffffffff,2.0,0.0,0.0
840126bffffffff,4.0,0.0,0.0
840134bffffffff,14.0,2.0,0.0
8401351ffffffff,8.0,0.0,0.0
8401353ffffffff,1.0,0.0,0.0
8401355ffffffff,1.0,1.0,0.0
840135bffffffff,9.0,2.0,0.0
8408021ffffffff,9.0,0.0,0.0
840802dffffffff,2.0,0.0,0.0
8408065ffffffff,6.0,0.0,0.0
8408103ffffffff,1.0,0.0,0.0
8408107ffffffff,6.0,0.0,0.0
840810dffffffff,3.0,0.0,0.0
8408111ffffffff,1.0,0.0,0.0
8408113ffffffff,2.0,0.0,0.0
8408115ffffffff,2.0,0.0,0.0
840811dffffffff,3.0,0.0,0.0
8408123ffffffff,1.0,0.0,0.0
8408129ffffffff,13.0,0.0,0.0
840812bffffffff,3.0,0.0,0.0
8408133ffffffff,14.0,0.0,0.0
8408135ffffffff,2.0,0.0,0.0
8408137ffffffff,2.0,0.0,0.0
840813bffffffff,2.0,0.0,0.0
840814dffffffff,5.0,0.0,0.0
8408151ffffffff,16.0,1.0,0.0
8408159ffffffff,9.0,2.0,0.0
840815bffffffff,3.0,1.0,0.0
8408165ffffffff,1.0,0.0,0.0
8408169ffffffff,5.0,0.0,0.0
8408193ffffffff,12.0,0.0,0.0
840819dffffffff,3.0,0.0,0.0
84081d5ffffffff,1.0,0.0,0.0
84081e5ffffffff,28.0,0.0,0.0
84081e9ffffffff,2.0,0.0,0.0
84081ebffffffff,1.0,0.0,0.0
84081edffffffff,2.0,0.0,0.0
840829bffffffff,3.0,0.0,0.0
840829dffffffff,1.0,0.0,0.0
84082b1ffffffff,2.0,0.0,0.0
84082b9ffffffff,2.0,0.0,0.0
840832bffffffff,2.0,0.0,0.0
840832dffffffff,2.0,0.0,0.0
8408331ffffffff,4.0,0.0,0.0
8408337ffffffff,6.0,0.0,0.0
840833bffffffff,1.0,0.0,0.0
8408807ffffffff,3.0,0.0,0.0
8408809ffffffff,2.0,0.0,0.0
840880bffffffff,9.0,0.0,0.0
840880dffffffff,91.0,0.0,0.0
8408829ffffffff,10.0,0.0,0.0
840882bffffffff,2.0,0.0,0.0
840882dffffffff,5.0,0.0,0.0
8408835ffffffff,2.0,0.0,0.0
8408837ffffffff,19.0,0.0,0.0
8408839ffffffff,1.0,1.0,0.0
840883dffffffff,4.0,0.0,0.0
8408841ffffffff,2.0,0.0,0.0
8408843ffffffff,6.0,0.0,0.0
8408845ffffffff,8.0,0.0,0.0
8408847ffffffff,3.0,0.0,0.0
840884dffffffff,4.0,0.0,0.0
