cell_id,Alophoixus ruficrissus,Alophoixus ruficrissus ruficrissus/fowleri,Alophoixus ruficrissus meratusensis
8468119ffffffff,5.0,0.0,0.0
8468185ffffffff,2.0,0.0,0.0
84681edffffffff,7.0,0.0,0.0
