cell_id,Myiozetetes similis,Myiozetetes similis [texensis Group],Myiozetetes similis [similis Group],Myiozetetes similis grandis
836613fffffffff,4.0,0.0,0.0,0.0
836615fffffffff,12.0,0.0,0.0,0.0
836616fffffffff,169.0,0.0,6.0,0.0
836618fffffffff,24.0,0.0,0.0,0.0
836619fffffffff,473.0,0.0,3.0,0.0
83661afffffffff,16.0,0.0,0.0,0.0
83661bfffffffff,70.0,0.0,0.0,0.0
83661cfffffffff,115.0,0.0,0.0,0.0
83661dfffffffff,53.0,0.0,1.0,0.0
83661efffffffff,26.0,0.0,0.0,0.0
836620fffffffff,1372.0,0.0,24.0,0.0
836621fffffffff,241.0,0.0,0.0,0.0
836622fffffffff,1228.0,0.0,47.0,0.0
836623fffffffff,29.0,0.0,2.0,0.0
836625fffffffff,55.0,0.0,0.0,0.0
836628fffffffff,24.0,0.0,2.0,0.0
836629fffffffff,225.0,0.0,0.0,0.0
83662bfffffffff,83.0,0.0,0.0,0.0
83662cfffffffff,45.0,0.0,0.0,0.0
83662dfffffffff,137.0,0.0,0.0,0.0
83662efffffffff,99.0,0.0,2.0,0.0
836631fffffffff,677.0,0.0,1.0,0.0
836641fffffffff,375.0,0.0,7.0,0.0
836642fffffffff,2.0,0.0,0.0,0.0
836643fffffffff,3.0,0.0,0.0,0.0
836644fffffffff,2.0,0.0,0.0,0.0
836645fffffffff,3.0,0.0,0.0,0.0
836648fffffffff,2.0,0.0,0.0,0.0
836650fffffffff,11.0,0.0,0.0,0.0
836652fffffffff,171.0,0.0,0.0,0.0
836653fffffffff,6.0,0.0,0.0,0.0
836654fffffffff,13.0,0.0,0.0,0.0
836656fffffffff,133.0,0.0,0.0,0.0
83665afffffffff,183.0,0.0,1.0,0.0
83665bfffffffff,47.0,0.0,0.0,0.0
83665efffffffff,21.0,0.0,0.0,0.0
836660fffffffff,4.0,0.0,0.0,0.0
836662fffffffff,4.0,0.0,0.0,0.0
836663fffffffff,35.0,0.0,0.0,0.0
836664fffffffff,80.0,0.0,0.0,0.0
836666fffffffff,2.0,0.0,0.0,0.0
83666bfffffffff,2.0,0.0,0.0,0.0
83666cfffffffff,2.0,0.0,0.0,0.0
83666efffffffff,4.0,0.0,0.0,0.0
836670fffffffff,32.0,0.0,0.0,0.0
836672fffffffff,51.0,0.0,0.0,0.0
836673fffffffff,9.0,0.0,0.0,0.0
836674fffffffff,8.0,0.0,0.0,0.0
836675fffffffff,109.0,0.0,0.0,0.0
836676fffffffff,9.0,0.0,0.0,0.0
