cell_id,Iole propinqua,Iole propinqua [propinqua Group],Iole propinqua innectens
833cccfffffffff,3.0,0.0,0.0
833cebfffffffff,9.0,3.0,0.0
834049fffffffff,2.0,0.0,0.0
83404cfffffffff,14.0,0.0,0.0
83404dfffffffff,141.0,0.0,0.0
834061fffffffff,14.0,0.0,0.0
834065fffffffff,77.0,0.0,0.0
83406bfffffffff,10.0,0.0,0.0
834143fffffffff,122.0,7.0,0.0
834148fffffffff,6.0,0.0,0.0
834149fffffffff,11.0,3.0,0.0
83414bfffffffff,4.0,0.0,0.0
83414cfffffffff,3.0,0.0,0.0
83414dfffffffff,5.0,0.0,0.0
83415cfffffffff,3.0,0.0,0.0
83415dfffffffff,2.0,0.0,0.0
83415efffffffff,3.0,0.0,0.0
834165fffffffff,2.0,0.0,0.0
83416afffffffff,4.0,0.0,0.0
83416bfffffffff,7.0,0.0,0.0
83416cfffffffff,1.0,0.0,0.0
83416dfffffffff,4.0,0.0,0.0
83416efffffffff,10.0,4.0,0.0
836480fffffffff,9.0,2.0,0.0
836481fffffffff,1.0,0.0,0.0
836482fffffffff,549.0,155.0,0.0
836484fffffffff,1.0,0.0,0.0
836486fffffffff,16.0,2.0,0.0
836490fffffffff,54.0,16.0,0.0
836491fffffffff,206.0,66.0,0.0
836494fffffffff,100.0,60.0,0.0
836495fffffffff,66.0,57.0,0.0
836496fffffffff,1.0,0.0,0.0
83649cfffffffff,16.0,15.0,0.0
8364a4fffffffff,5.0,0.0,0.0
8364a6fffffffff,1.0,1.0,0.0
8364b0fffffffff,31.0,6.0,0.0
8364b1fffffffff,77.0,33.0,0.0
8364b2fffffffff,6.0,0.0,0.0
8364b3fffffffff,14.0,1.0,0.0
8364b4fffffffff,10.0,1.0,0.0
8364b5fffffffff,159.0,51.0,0.0
836580fffffffff,38.0,0.0,0.0
836581fffffffff,23.0,0.0,0.0
836582fffffffff,2.0,0.0,0.0
836583fffffffff,2.0,0.0,0.0
836585fffffffff,81.0,0.0,0.0
836586fffffffff,3.0,0.0,0.0
83658afffffffff,35.0,3.0,0.0
83658efffffffff,42.0,27.0,0.0
836591fffffffff,100.0,0.0,0.0
836594fffffffff,2.0,0.0,0.0
836595fffffffff,3.0,0.0,0.0
836596fffffffff,18.0,0.0,0.0
836599fffffffff,1402.0,483.0,0.0
83659cfffffffff,52.0,0.0,0.0
83659dfffffffff,6.0,0.0,0.0
83659efffffffff,11.0,0.0,0.0
8365a3fffffffff,1.0,0.0,0.0
8365b0fffffffff,227.0,0.0,42.0
8365b2fffffffff,153.0,0.0,0.0
8365b3fffffffff,197.0,0.0,0.0
8365b4fffffffff,1.0,0.0,0.0
8365b6fffffffff,115.0,22.0,0.0
836914fffffffff,6.0,0.0,0.0
