cell_id,Campylorhamphus probatus,Campylorhamphus probatus probatus,Campylorhamphus probatus cardosoi
838a10fffffffff,12.0,5.0,0.0
838a11fffffffff,1.0,0.0,0.0
838a14fffffffff,1.0,1.0,0.0
838a15fffffffff,13.0,5.0,0.0
838a1efffffffff,1.0,1.0,0.0
838a33fffffffff,4.0,1.0,0.0
838a80fffffffff,5.0,3.0,0.0
838a8efffffffff,1.0,1.0,0.0
838a91fffffffff,1.0,1.0,0.0
838a92fffffffff,2.0,0.0,2.0
838aa6fffffffff,1.0,0.0,0.0
838aaafffffffff,25.0,15.0,0.0
838aacfffffffff,1.0,0.0,0.0
838aadfffffffff,1.0,1.0,0.0
838b82fffffffff,1.0,0.0,1.0
838b84fffffffff,1.0,0.0,1.0
838b88fffffffff,1.0,0.0,0.0
838b8afffffffff,1.0,0.0,1.0
838b99fffffffff,14.0,0.0,10.0
838b9dfffffffff,123.0,0.0,49.0
838ba6fffffffff,1.0,0.0,0.0
838bb5fffffffff,1.0,0.0,0.0
83a84afffffffff,1.0,0.0,0.0
