cell_id,Hirundinea ferruginea,Hirundinea ferruginea ferruginea/sclateri,Hirundinea ferruginea bellicosa/pallidior
845f2bbffffffff,1.0,0.0,0.0
845f681ffffffff,2.0,0.0,0.0
845f709ffffffff,1.0,0.0,0.0
845f711ffffffff,79.0,0.0,0.0
845f713ffffffff,2.0,0.0,0.0
845f71bffffffff,2.0,0.0,0.0
845f755ffffffff,2.0,0.0,0.0
845f767ffffffff,60.0,0.0,0.0
846601bffffffff,7.0,0.0,0.0
8466081ffffffff,10.0,0.0,0.0
8466087ffffffff,7.0,0.0,0.0
8466089ffffffff,8.0,0.0,0.0
846608dffffffff,3.0,0.0,0.0
8466097ffffffff,6.0,0.0,0.0
84660b3ffffffff,7.0,0.0,0.0
84660bdffffffff,11.0,0.0,0.0
84660c3ffffffff,12.0,0.0,0.0
84660cbffffffff,11.0,0.0,0.0
846618bffffffff,2.0,0.0,0.0
8466213ffffffff,9.0,0.0,0.0
8466291ffffffff,2.0,0.0,0.0
8466299ffffffff,1.0,0.0,0.0
846629bffffffff,3.0,0.0,0.0
84662e9ffffffff,2.0,0.0,0.0
8466415ffffffff,3.0,0.0,0.0
8466417ffffffff,84.0,0.0,0.0
84665a3ffffffff,6.0,0.0,0.0
84665abffffffff,21.0,0.0,0.0
84665bdffffffff,13.0,0.0,0.0
84666b9ffffffff,2.0,0.0,0.0
8466c01ffffffff,2.0,0.0,0.0
8466c0dffffffff,146.0,0.0,0.0
8466c27ffffffff,1.0,0.0,0.0
8466c49ffffffff,9.0,0.0,0.0
8466c4bffffffff,1.0,0.0,0.0
8466c4dffffffff,3.0,0.0,0.0
8466c6bffffffff,6.0,0.0,0.0
8466cdbffffffff,3.0,0.0,0.0
8466d11ffffffff,2.0,0.0,0.0
8466d1bffffffff,6.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0
8466dadffffffff,7.0,0.0,0.0
8466de1ffffffff,837.0,57.0,0.0
8466de9ffffffff,2.0,0.0,0.0
8466dedffffffff,3.0,0.0,0.0
8466e03ffffffff,7.0,0.0,0.0
8466e09ffffffff,4.0,0.0,0.0
8466e0bffffffff,200.0,0.0,0.0
8466e0dffffffff,52.0,0.0,0.0
8466e15ffffffff,2.0,0.0,0.0
8466e39ffffffff,2.0,0.0,0.0
8466e3bffffffff,1.0,0.0,0.0
8466e3dffffffff,7.0,0.0,0.0
8466e41ffffffff,43.0,0.0,0.0
8466e43ffffffff,2.0,0.0,0.0
8466e45ffffffff,1.0,0.0,0.0
8466e47ffffffff,9.0,0.0,0.0
8466e49ffffffff,2.0,0.0,0.0
8466e4dffffffff,2.0,0.0,0.0
8466e55ffffffff,11.0,0.0,0.0
8466e57ffffffff,98.0,0.0,0.0
8466e59ffffffff,78.0,0.0,0.0
8466e5dffffffff,2.0,0.0,0.0
8466e61ffffffff,3.0,0.0,0.0
8466e67ffffffff,8.0,0.0,0.0
8466ec5ffffffff,46.0,0.0,0.0
8466ec7ffffffff,38.0,0.0,0.0
84675a5ffffffff,61.0,2.0,0.0
8480007ffffffff,6.0,0.0,0.0
8480021ffffffff,4.0,0.0,0.0
8480027ffffffff,1.0,0.0,0.0
8480061ffffffff,2.0,0.0,0.0
8480101ffffffff,17.0,0.0,4.0
8480105ffffffff,2.0,0.0,0.0
8480109ffffffff,27.0,0.0,4.0
848010dffffffff,2.0,0.0,0.0
848011bffffffff,22.0,0.0,0.0
8480141ffffffff,20.0,0.0,8.0
8480157ffffffff,2.0,0.0,0.0
84801c9ffffffff,4.0,0.0,0.0
8480245ffffffff,2.0,0.0,0.0
8480301ffffffff,2.0,0.0,0.0
8480363ffffffff,2.0,0.0,0.0
8480643ffffffff,1.0,0.0,0.0
8480655ffffffff,2.0,0.0,0.0
8481005ffffffff,13.0,0.0,2.0
8481007ffffffff,2.0,0.0,0.0
8481027ffffffff,1.0,0.0,0.0
8481029ffffffff,44.0,0.0,1.0
848102bffffffff,2.0,0.0,0.0
8481049ffffffff,1.0,0.0,0.0
8481063ffffffff,19.0,0.0,2.0
848114bffffffff,2.0,0.0,0.0
8481193ffffffff,11.0,0.0,0.0
84811e1ffffffff,3.0,0.0,0.0
84811e9ffffffff,3.0,0.0,0.0
8481211ffffffff,41.0,0.0,3.0
8481219ffffffff,1.0,0.0,0.0
8481245ffffffff,7.0,0.0,0.0
848124bffffffff,61.0,0.0,4.0
848124dffffffff,70.0,0.0,2.0
84812b5ffffffff,2.0,0.0,0.0
84812bdffffffff,1.0,0.0,0.0
84812d1ffffffff,24.0,0.0,0.0
84812d7ffffffff,25.0,0.0,2.0
8481303ffffffff,3.0,0.0,0.0
8481307ffffffff,7.0,0.0,0.0
8481323ffffffff,26.0,0.0,1.0
8481327ffffffff,3.0,0.0,0.0
8481331ffffffff,2.0,0.0,0.0
8481335ffffffff,3.0,0.0,0.0
8481337ffffffff,8.0,0.0,0.0
8481339ffffffff,32.0,0.0,0.0
8481343ffffffff,11.0,0.0,0.0
8481363ffffffff,114.0,0.0,10.0
84814a9ffffffff,12.0,0.0,0.0
84814adffffffff,21.0,0.0,0.0
84814d5ffffffff,57.0,0.0,0.0
84814d9ffffffff,5.0,0.0,0.0
84814e3ffffffff,13.0,0.0,0.0
84814e7ffffffff,144.0,0.0,0.0
84815d3ffffffff,2.0,0.0,0.0
84815dbffffffff,4.0,0.0,0.0
848162bffffffff,4.0,0.0,0.0
8481701ffffffff,1.0,0.0,0.0
8481711ffffffff,16.0,0.0,0.0
8481857ffffffff,44.0,0.0,0.0
8481885ffffffff,9.0,0.0,0.0
848188dffffffff,18.0,0.0,0.0
84818abffffffff,5.0,0.0,0.0
84818c3ffffffff,6.0,0.0,0.0
84818c7ffffffff,2.0,0.0,0.0
84818e3ffffffff,2.0,0.0,0.0
8481a8bffffffff,2.0,0.0,0.0
8481a8dffffffff,2.0,0.0,0.0
8481aa3ffffffff,4.0,0.0,0.0
8481aadffffffff,2.0,0.0,0.0
8481ad1ffffffff,150.0,0.0,7.0
8481ad5ffffffff,6.0,0.0,0.0
848a4b9ffffffff,14.0,0.0,0.0
848adbbffffffff,31.0,4.0,0.0
848b105ffffffff,1.0,0.0,0.0
848b201ffffffff,27.0,0.0,0.0
848b203ffffffff,43.0,0.0,0.0
848b205ffffffff,10.0,0.0,0.0
848b207ffffffff,10.0,0.0,0.0
848b20bffffffff,157.0,0.0,19.0
848b20dffffffff,2.0,0.0,0.0
848b211ffffffff,6.0,0.0,0.0
848b21bffffffff,1.0,0.0,0.0
848b21dffffffff,12.0,0.0,1.0
848b229ffffffff,53.0,0.0,3.0
848b22bffffffff,2.0,0.0,0.0
848b241ffffffff,8.0,0.0,0.0
848b247ffffffff,6.0,0.0,0.0
848b249ffffffff,2.0,0.0,0.0
848b24bffffffff,10.0,0.0,0.0
848b251ffffffff,43.0,0.0,4.0
848b255ffffffff,1.0,0.0,1.0
848b257ffffffff,8.0,0.0,5.0
848b259ffffffff,44.0,0.0,2.0
848b25dffffffff,22.0,0.0,0.0
848b29bffffffff,1.0,0.0,0.0
848b2c1ffffffff,4.0,0.0,0.0
848b2c9ffffffff,83.0,0.0,4.0
848b2cdffffffff,6.0,0.0,0.0
848b2d9ffffffff,3.0,0.0,0.0
848b2dbffffffff,13.0,0.0,0.0
848b2ddffffffff,1.0,0.0,0.0
848b363ffffffff,4.0,0.0,0.0
848b613ffffffff,2.0,0.0,0.0
848b617ffffffff,16.0,0.0,0.0
848b61bffffffff,2.0,0.0,0.0
848b6c1ffffffff,4.0,0.0,0.0
848b6c9ffffffff,2.0,0.0,0.0
848b6cbffffffff,5.0,0.0,0.0
848b6cdffffffff,20.0,0.0,0.0
848ba65ffffffff,1.0,0.0,0.0
848bb59ffffffff,397.0,0.0,36.0
848e643ffffffff,2.0,0.0,0.0
848e649ffffffff,14.0,0.0,0.0
848e64bffffffff,11.0,0.0,0.0
848e651ffffffff,9.0,0.0,0.0
848e6c9ffffffff,12.0,0.0,0.0
848f0dbffffffff,2.0,0.0,0.0
848f2d3ffffffff,4.0,0.0,0.0
848f2d7ffffffff,1.0,0.0,0.0
848f401ffffffff,308.0,6.0,0.0
848f427ffffffff,2.0,0.0,0.0
848f461ffffffff,3.0,0.0,0.0
848f463ffffffff,3.0,0.0,0.0
848f465ffffffff,14.0,0.0,0.0
848f467ffffffff,4.0,0.0,0.0
848f4a5ffffffff,17.0,2.0,0.0
848f4a7ffffffff,3.0,0.0,0.0
848f519ffffffff,4.0,0.0,0.0
848f553ffffffff,2.0,2.0,0.0
848f559ffffffff,53.0,0.0,0.0
848f55bffffffff,3.0,0.0,0.0
848f55dffffffff,3.0,0.0,0.0
848f59bffffffff,1.0,0.0,0.0
848f5d3ffffffff,38.0,0.0,0.0
848f5d7ffffffff,6.0,0.0,0.0
848f5ddffffffff,5.0,0.0,0.0
848f705ffffffff,32.0,2.0,0.0
848f721ffffffff,3.0,0.0,0.0
848f729ffffffff,236.0,20.0,0.0
848f72bffffffff,19.0,1.0,0.0
848f733ffffffff,213.0,12.0,0.0
848f737ffffffff,2.0,0.0,0.0
848f763ffffffff,27.0,5.0,0.0
848f767ffffffff,1.0,0.0,0.0
848f76bffffffff,15.0,0.0,0.0
84a5965ffffffff,2.0,0.0,2.0
84a5969ffffffff,17.0,0.0,0.0
84a8001ffffffff,11.0,0.0,0.0
84a8005ffffffff,6.0,0.0,4.0
84a8019ffffffff,15.0,0.0,0.0
84a802dffffffff,2.0,0.0,0.0
84a8031ffffffff,1.0,0.0,0.0
84a803dffffffff,6.0,0.0,0.0
84a8049ffffffff,3.0,0.0,0.0
84a804dffffffff,6.0,0.0,0.0
84a8055ffffffff,3.0,0.0,0.0
84a8061ffffffff,5.0,0.0,0.0
84a8063ffffffff,3.0,0.0,0.0
84a8065ffffffff,9.0,0.0,0.0
84a8067ffffffff,255.0,0.0,39.0
84a8069ffffffff,3.0,0.0,0.0
84a806bffffffff,3.0,0.0,0.0
84a806dffffffff,23.0,0.0,0.0
84a80c3ffffffff,6.0,0.0,0.0
84a8101ffffffff,83.0,0.0,0.0
84a8103ffffffff,57.0,0.0,2.0
84a8105ffffffff,377.0,0.0,0.0
84a8107ffffffff,99.0,0.0,1.0
84a8109ffffffff,96.0,0.0,0.0
84a810bffffffff,89.0,0.0,0.0
84a810dffffffff,74.0,0.0,0.0
84a8115ffffffff,15.0,0.0,4.0
84a8119ffffffff,15.0,0.0,0.0
84a811bffffffff,5.0,0.0,0.0
84a811dffffffff,18.0,0.0,0.0
84a8121ffffffff,3.0,0.0,0.0
84a8123ffffffff,170.0,0.0,4.0
84a8125ffffffff,111.0,0.0,6.0
84a8127ffffffff,207.0,0.0,24.0
84a8129ffffffff,79.0,0.0,0.0
84a812bffffffff,35.0,0.0,0.0
84a812dffffffff,134.0,0.0,19.0
84a8131ffffffff,79.0,0.0,0.0
84a8133ffffffff,1.0,0.0,0.0
84a8135ffffffff,4.0,0.0,2.0
84a8137ffffffff,6.0,0.0,0.0
84a8139ffffffff,85.0,0.0,58.0
84a813bffffffff,26.0,0.0,1.0
84a813dffffffff,28.0,0.0,0.0
84a8143ffffffff,181.0,0.0,3.0
84a8151ffffffff,13.0,0.0,1.0
84a8153ffffffff,26.0,0.0,0.0
84a8155ffffffff,410.0,0.0,6.0
84a8157ffffffff,180.0,0.0,5.0
84a815bffffffff,223.0,0.0,16.0
84a815dffffffff,3.0,0.0,0.0
84a8163ffffffff,9.0,0.0,0.0
84a8167ffffffff,24.0,0.0,0.0
84a81a1ffffffff,3.0,0.0,0.0
84a81a5ffffffff,5.0,0.0,0.0
84a81adffffffff,2.0,0.0,0.0
84a81c3ffffffff,2.0,0.0,0.0
84a81c7ffffffff,9.0,0.0,0.0
84a81cdffffffff,53.0,0.0,2.0
84a81d1ffffffff,7.0,0.0,0.0
84a81d9ffffffff,9.0,0.0,0.0
84a81e1ffffffff,30.0,0.0,0.0
84a81e3ffffffff,16.0,0.0,0.0
84a81e9ffffffff,74.0,0.0,0.0
84a81ebffffffff,5.0,0.0,1.0
84a81edffffffff,75.0,0.0,0.0
84a8209ffffffff,2.0,0.0,0.0
84a8211ffffffff,2.0,0.0,0.0
84a8213ffffffff,2.0,0.0,0.0
84a8215ffffffff,4.0,0.0,0.0
84a8229ffffffff,3.0,0.0,0.0
84a822bffffffff,2.0,0.0,0.0
84a8241ffffffff,7.0,0.0,0.0
84a8257ffffffff,1.0,0.0,0.0
84a8267ffffffff,2.0,0.0,0.0
84a826dffffffff,2.0,0.0,0.0
84a82a5ffffffff,1.0,0.0,0.0
84a82cdffffffff,1.0,0.0,0.0
84a82e7ffffffff,6.0,0.0,0.0
84a8311ffffffff,10.0,0.0,0.0
84a8313ffffffff,20.0,0.0,0.0
84a8317ffffffff,41.0,0.0,0.0
84a8319ffffffff,3.0,0.0,0.0
84a8331ffffffff,2.0,0.0,0.0
84a8333ffffffff,33.0,0.0,4.0
84a8337ffffffff,1.0,0.0,0.0
84a833bffffffff,9.0,0.0,0.0
84a8353ffffffff,30.0,0.0,0.0
84a835bffffffff,4.0,0.0,0.0
84a8441ffffffff,2.0,0.0,0.0
84a8447ffffffff,2.0,0.0,0.0
84a844dffffffff,1.0,0.0,0.0
84a8461ffffffff,2.0,0.0,0.0
84a8465ffffffff,3.0,0.0,0.0
84a84d9ffffffff,2.0,0.0,0.0
84a8591ffffffff,4.0,0.0,0.0
84a85b7ffffffff,2.0,0.0,0.0
84a8737ffffffff,2.0,0.0,0.0
84a875bffffffff,1.0,0.0,0.0
84a8805ffffffff,152.0,0.0,0.0
84a8807ffffffff,12.0,0.0,0.0
84a8809ffffffff,1.0,0.0,0.0
84a880dffffffff,3.0,0.0,0.0
84a8811ffffffff,308.0,0.0,15.0
84a8813ffffffff,1.0,0.0,0.0
84a8817ffffffff,1.0,0.0,0.0
84a8819ffffffff,16.0,0.0,0.0
84a881bffffffff,93.0,0.0,0.0
84a8825ffffffff,5.0,0.0,0.0
84a8829ffffffff,5.0,0.0,0.0
84a882bffffffff,3.0,0.0,1.0
84a882dffffffff,28.0,0.0,0.0
84a8831ffffffff,4.0,0.0,0.0
84a883bffffffff,6.0,0.0,0.0
84a883dffffffff,2.0,0.0,0.0
84a8849ffffffff,122.0,0.0,0.0
84a884bffffffff,1.0,0.0,1.0
84a884dffffffff,6.0,0.0,0.0
84a8853ffffffff,2.0,0.0,0.0
84a8857ffffffff,17.0,0.0,0.0
84a885bffffffff,2.0,0.0,0.0
84a8861ffffffff,4.0,0.0,4.0
84a8863ffffffff,10.0,0.0,0.0
84a8867ffffffff,11.0,0.0,1.0
84a886bffffffff,1.0,0.0,0.0
84a88a9ffffffff,16.0,0.0,0.0
84a88bdffffffff,2.0,0.0,0.0
84a88c1ffffffff,5.0,0.0,0.0
84a88c3ffffffff,1.0,0.0,0.0
84a88c5ffffffff,5.0,0.0,0.0
84a88c9ffffffff,2.0,0.0,0.0
84a88cdffffffff,2.0,0.0,0.0
84a88ddffffffff,9.0,0.0,0.0
84a88e1ffffffff,2.0,0.0,0.0
84a88e3ffffffff,2.0,0.0,0.0
84a88e9ffffffff,50.0,0.0,2.0
84a88ebffffffff,49.0,0.0,3.0
84a8911ffffffff,12.0,0.0,0.0
84a8919ffffffff,17.0,0.0,3.0
84a891bffffffff,8.0,0.0,0.0
84a8953ffffffff,22.0,0.0,4.0
84a895bffffffff,2.0,0.0,0.0
84a8993ffffffff,2.0,0.0,0.0
84a89ddffffffff,2.0,0.0,0.0
84a8a03ffffffff,14.0,0.0,0.0
84a8a07ffffffff,262.0,0.0,0.0
84a8a11ffffffff,23.0,0.0,0.0
84a8a13ffffffff,977.0,0.0,68.0
84a8a15ffffffff,64.0,0.0,5.0
84a8a17ffffffff,132.0,0.0,0.0
84a8a19ffffffff,163.0,0.0,10.0
84a8a1bffffffff,3.0,0.0,0.0
84a8a1dffffffff,41.0,0.0,1.0
84a8a21ffffffff,5.0,0.0,0.0
84a8a23ffffffff,172.0,0.0,17.0
84a8a27ffffffff,67.0,0.0,6.0
84a8a2bffffffff,3.0,0.0,0.0
84a8a31ffffffff,4.0,0.0,0.0
84a8a33ffffffff,6.0,0.0,0.0
84a8a35ffffffff,23.0,0.0,0.0
84a8a39ffffffff,21.0,0.0,0.0
84a8a3bffffffff,10.0,0.0,0.0
84a8a3dffffffff,177.0,0.0,5.0
84a8a53ffffffff,164.0,0.0,14.0
84a8a85ffffffff,8.0,0.0,0.0
84a8a8bffffffff,2.0,0.0,0.0
84a8a91ffffffff,42.0,0.0,2.0
84a8a93ffffffff,5.0,0.0,0.0
84a8a97ffffffff,51.0,0.0,5.0
84a8a99ffffffff,2.0,0.0,0.0
84a8a9dffffffff,2.0,0.0,0.0
84a8aa5ffffffff,2.0,0.0,0.0
84a8aa7ffffffff,6.0,0.0,0.0
84a8aabffffffff,2.0,0.0,0.0
84a8aadffffffff,16.0,0.0,0.0
84a8ab1ffffffff,1.0,0.0,0.0
84a8ac3ffffffff,2.0,0.0,0.0
84a8ac5ffffffff,15.0,0.0,0.0
84a8ac7ffffffff,2.0,0.0,0.0
84a8ac9ffffffff,72.0,0.0,1.0
84a8acbffffffff,1.0,0.0,0.0
84a8acdffffffff,54.0,0.0,0.0
84a8ad1ffffffff,14.0,0.0,0.0
84a8ad3ffffffff,1.0,0.0,0.0
84a8ad5ffffffff,1.0,0.0,0.0
84a8ad7ffffffff,1.0,0.0,0.0
84a8ad9ffffffff,3.0,0.0,0.0
84a8adbffffffff,1.0,0.0,0.0
84a8addffffffff,1.0,0.0,0.0
84a8ae1ffffffff,15.0,0.0,0.0
84a8ae3ffffffff,11.0,0.0,0.0
84a8ae5ffffffff,150.0,0.0,0.0
84a8ae7ffffffff,4.0,0.0,0.0
84a8ae9ffffffff,6.0,0.0,0.0
84a8aebffffffff,16.0,0.0,0.0
