cell_id,Pitta sordida,Pitta sordida cucullata,Pitta sordida mulleri/bangkana,Pitta sordida sordida/palawanensis,Pitta sordida sanghirana
833c15fffffffff,28.0,0.0,0.0,0.0,0.0
833c19fffffffff,12.0,0.0,0.0,0.0,0.0
833c1cfffffffff,3.0,0.0,0.0,0.0,0.0
833c52fffffffff,6.0,0.0,0.0,0.0,0.0
833c58fffffffff,24.0,0.0,0.0,0.0,0.0
833c5afffffffff,59.0,0.0,0.0,0.0,0.0
833cc0fffffffff,10.0,0.0,0.0,0.0,0.0
833cc2fffffffff,3.0,0.0,0.0,0.0,0.0
833cc4fffffffff,80.0,0.0,0.0,0.0,0.0
833cc5fffffffff,17.0,0.0,0.0,0.0,0.0
833cc6fffffffff,27.0,0.0,0.0,0.0,0.0
833cd9fffffffff,2.0,0.0,0.0,0.0,0.0
833cdcfffffffff,2.0,0.0,0.0,0.0,0.0
833ce0fffffffff,1.0,0.0,0.0,0.0,0.0
833ce1fffffffff,12.0,0.0,0.0,0.0,0.0
833ce2fffffffff,1.0,0.0,0.0,0.0,0.0
833ce5fffffffff,33.0,0.0,0.0,0.0,0.0
833ce8fffffffff,2.0,0.0,0.0,0.0,0.0
833cebfffffffff,1.0,1.0,0.0,0.0,0.0
833cecfffffffff,38.0,0.0,0.0,0.0,0.0
833cf3fffffffff,7.0,0.0,0.0,0.0,0.0
833d10fffffffff,25.0,0.0,0.0,0.0,0.0
833d13fffffffff,20.0,0.0,0.0,0.0,0.0
833da9fffffffff,6.0,0.0,0.0,0.0,0.0
833dadfffffffff,117.0,0.0,0.0,0.0,0.0
834049fffffffff,3.0,0.0,0.0,0.0,0.0
83404dfffffffff,11.0,1.0,0.0,0.0,0.0
834065fffffffff,7.0,0.0,0.0,0.0,0.0
836414fffffffff,1.0,0.0,0.0,0.0,0.0
836416fffffffff,54.0,13.0,0.0,0.0,0.0
83641bfffffffff,2.0,0.0,0.0,0.0,0.0
836430fffffffff,2.0,0.0,0.0,0.0,0.0
836431fffffffff,11.0,1.0,0.0,0.0,0.0
836432fffffffff,10.0,8.0,0.0,0.0,0.0
836433fffffffff,3.0,1.0,0.0,0.0,0.0
836435fffffffff,1.0,0.0,0.0,0.0,0.0
83648cfffffffff,10.0,0.0,0.0,0.0,0.0
83649dfffffffff,2.0,0.0,0.0,0.0,0.0
8364a1fffffffff,2.0,0.0,0.0,0.0,0.0
8364a4fffffffff,30.0,2.0,0.0,0.0,0.0
8364a5fffffffff,3.0,0.0,0.0,0.0,0.0
836500fffffffff,27.0,0.0,0.0,0.0,0.0
836503fffffffff,14.0,0.0,0.0,0.0,0.0
836505fffffffff,55.0,0.0,0.0,0.0,0.0
836518fffffffff,70.0,9.0,0.0,0.0,0.0
836519fffffffff,1.0,0.0,0.0,0.0,0.0
83651bfffffffff,5.0,1.0,0.0,0.0,0.0
83651cfffffffff,23.0,0.0,0.0,0.0,0.0
83651dfffffffff,1.0,0.0,0.0,0.0,0.0
836520fffffffff,3.0,0.0,0.0,0.0,0.0
836526fffffffff,31.0,0.0,0.0,0.0,0.0
836529fffffffff,1.0,0.0,0.0,0.0,0.0
836531fffffffff,1.0,0.0,0.0,0.0,0.0
836581fffffffff,1.0,0.0,0.0,0.0,0.0
836589fffffffff,3.0,0.0,0.0,0.0,0.0
83658afffffffff,2.0,0.0,0.0,0.0,0.0
83658efffffffff,58.0,17.0,0.0,0.0,0.0
836599fffffffff,12.0,0.0,0.0,0.0,0.0
83659cfffffffff,2.0,0.0,0.0,0.0,0.0
8365b0fffffffff,1.0,0.0,0.0,0.0,0.0
836802fffffffff,26.0,0.0,0.0,0.0,0.0
836810fffffffff,2.0,0.0,0.0,0.0,0.0
836811fffffffff,2.0,0.0,0.0,0.0,0.0
836812fffffffff,3.0,0.0,0.0,0.0,0.0
836815fffffffff,9.0,0.0,0.0,0.0,0.0
836818fffffffff,383.0,0.0,8.0,0.0,0.0
836819fffffffff,2.0,0.0,2.0,0.0,0.0
83681afffffffff,9.0,0.0,0.0,0.0,0.0
83681cfffffffff,157.0,0.0,0.0,0.0,0.0
83681dfffffffff,2.0,0.0,0.0,0.0,0.0
83681efffffffff,24.0,0.0,0.0,0.0,0.0
836828fffffffff,337.0,0.0,0.0,57.0,0.0
83682dfffffffff,23.0,0.0,0.0,0.0,0.0
836841fffffffff,3.0,0.0,0.0,0.0,0.0
836842fffffffff,2.0,0.0,0.0,2.0,0.0
836843fffffffff,6.0,0.0,0.0,4.0,0.0
836844fffffffff,10.0,0.0,0.0,0.0,0.0
836846fffffffff,7.0,0.0,0.0,0.0,0.0
83684efffffffff,26.0,0.0,0.0,2.0,0.0
836858fffffffff,9.0,0.0,0.0,6.0,0.0
83685cfffffffff,35.0,0.0,0.0,7.0,0.0
83685dfffffffff,22.0,0.0,0.0,1.0,0.0
83685efffffffff,4.0,0.0,0.0,4.0,0.0
836862fffffffff,2.0,0.0,0.0,0.0,0.0
836866fffffffff,2.0,0.0,0.0,0.0,0.0
83686efffffffff,2.0,0.0,0.0,0.0,0.0
836871fffffffff,2.0,0.0,0.0,0.0,0.0
836875fffffffff,4.0,0.0,0.0,0.0,0.0
836888fffffffff,3.0,0.0,0.0,0.0,0.0
83688afffffffff,1.0,0.0,0.0,0.0,0.0
83689afffffffff,3.0,0.0,0.0,0.0,0.0
8368b5fffffffff,2.0,0.0,1.0,0.0,0.0
836941fffffffff,17.0,0.0,0.0,0.0,0.0
836943fffffffff,49.0,0.0,0.0,5.0,0.0
836945fffffffff,9.0,0.0,0.0,0.0,0.0
83694afffffffff,2.0,0.0,0.0,0.0,0.0
83694bfffffffff,2.0,0.0,0.0,0.0,0.0
83694efffffffff,285.0,0.0,0.0,33.0,0.0
836958fffffffff,7.0,0.0,0.0,0.0,0.0
836959fffffffff,10.0,0.0,0.0,0.0,0.0
83695efffffffff,10.0,0.0,0.0,0.0,0.0
83696cfffffffff,8.0,0.0,0.0,0.0,0.0
83696efffffffff,1.0,0.0,0.0,0.0,0.0
83699afffffffff,3.0,0.0,0.0,0.0,0.0
8373b6fffffffff,17.0,0.0,0.0,0.0,0.0
838c92fffffffff,1.0,0.0,0.0,0.0,0.0
838c96fffffffff,5.0,0.0,0.0,0.0,0.0
838cadfffffffff,31.0,0.0,1.0,0.0,0.0
838cb2fffffffff,2.0,0.0,0.0,0.0,0.0
