cell_id,Turdus rufopalliatus,Turdus rufopalliatus rufopalliatus,Turdus rufopalliatus graysoni
82269ffffffffff,79.0,0.0,0.0
822987fffffffff,147.0,3.0,0.0
822997fffffffff,1.0,0.0,0.0
8229a7fffffffff,123.0,1.0,0.0
8229b7fffffffff,93.0,2.0,0.0
82480ffffffffff,7.0,7.0,0.0
824837fffffffff,22.0,5.0,11.0
82485ffffffffff,29.0,0.0,0.0
824887fffffffff,64.0,0.0,0.0
82488ffffffffff,10.0,0.0,0.0
824897fffffffff,4.0,0.0,0.0
8248a7fffffffff,13.0,0.0,0.0
8248b7fffffffff,9.0,0.0,0.0
8248c7fffffffff,131.0,2.0,0.0
8248cffffffffff,34.0,0.0,0.0
8248e7fffffffff,10.0,0.0,0.0
8248effffffffff,1714.0,38.0,0.0
82498ffffffffff,9.0,0.0,0.0
824997fffffffff,37.0,3.0,0.0
8249affffffffff,1.0,1.0,0.0
8249b7fffffffff,39.0,35.0,0.0
826d07fffffffff,1.0,0.0,0.0
826d17fffffffff,8.0,0.0,0.0
826d37fffffffff,3.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0
