cell_id,Iole propinqua,Iole propinqua [propinqua Group],Iole propinqua innectens
843ccc9ffffffff,3.0,0.0,0.0
843ceb3ffffffff,2.0,0.0,0.0
843cebbffffffff,7.0,3.0,0.0
8440499ffffffff,2.0,0.0,0.0
84404c5ffffffff,14.0,0.0,0.0
84404ddffffffff,141.0,0.0,0.0
8440613ffffffff,2.0,0.0,0.0
8440619ffffffff,32.0,0.0,0.0
844061bffffffff,9.0,0.0,0.0
8440651ffffffff,22.0,0.0,0.0
8440653ffffffff,25.0,0.0,0.0
8440657ffffffff,1.0,0.0,0.0
84406b7ffffffff,10.0,0.0,0.0
8441433ffffffff,76.0,4.0,0.0
844143bffffffff,46.0,3.0,0.0
8441487ffffffff,6.0,0.0,0.0
844148bffffffff,1.0,0.0,0.0
8441493ffffffff,3.0,0.0,0.0
8441497ffffffff,1.0,1.0,0.0
844149bffffffff,5.0,2.0,0.0
84414b1ffffffff,2.0,0.0,0.0
84414b3ffffffff,2.0,0.0,0.0
84414cbffffffff,3.0,0.0,0.0
84414d1ffffffff,4.0,0.0,0.0
84415c3ffffffff,3.0,0.0,0.0
84415ddffffffff,2.0,0.0,0.0
84415edffffffff,3.0,0.0,0.0
8441655ffffffff,2.0,0.0,0.0
8441685ffffffff,1.0,0.0,0.0
84416a1ffffffff,1.0,0.0,0.0
84416a3ffffffff,4.0,0.0,0.0
84416bdffffffff,5.0,0.0,0.0
84416c1ffffffff,1.0,0.0,0.0
84416ddffffffff,4.0,0.0,0.0
84416e1ffffffff,9.0,4.0,0.0
84416e5ffffffff,1.0,0.0,0.0
8464805ffffffff,4.0,2.0,0.0
846480dffffffff,5.0,0.0,0.0
8464811ffffffff,1.0,0.0,0.0
8464821ffffffff,81.0,32.0,0.0
8464825ffffffff,225.0,64.0,0.0
8464827ffffffff,20.0,12.0,0.0
8464829ffffffff,13.0,0.0,0.0
846482bffffffff,169.0,36.0,0.0
846482dffffffff,39.0,9.0,0.0
8464845ffffffff,13.0,2.0,0.0
846484dffffffff,1.0,0.0,0.0
846486bffffffff,1.0,0.0,0.0
846486dffffffff,2.0,0.0,0.0
8464901ffffffff,7.0,0.0,0.0
8464903ffffffff,20.0,0.0,0.0
