cell_id,Trogon collaris,Trogon collaris puella,Trogon collaris aurantiiventris/underwoodi,Trogon collaris [collaris Group]
82450ffffffffff,4.0,0.0,0.0,0.0
824527fffffffff,5.0,0.0,0.0,0.0
82452ffffffffff,14.0,2.0,0.0,0.0
824997fffffffff,18.0,5.0,0.0,0.0
82499ffffffffff,1.0,0.0,0.0,0.0
8249b7fffffffff,1.0,0.0,0.0,0.0
825f4ffffffffff,1.0,0.0,0.0,0.0
825f5ffffffffff,12.0,0.0,0.0,9.0
826617fffffffff,2.0,0.0,0.0,0.0
82661ffffffffff,5.0,0.0,0.0,5.0
8266a7fffffffff,10.0,0.0,10.0,0.0
8266b7fffffffff,32.0,14.0,9.0,0.0
8266d7fffffffff,2.0,0.0,0.0,0.0
8266dffffffffff,4.0,0.0,0.0,4.0
8266e7fffffffff,17.0,0.0,0.0,0.0
8266effffffffff,35.0,0.0,0.0,0.0
826747fffffffff,4.0,0.0,0.0,0.0
82674ffffffffff,10.0,0.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0,0.0
82675ffffffffff,16.0,0.0,0.0,0.0
826d27fffffffff,10.0,2.0,0.0,0.0
826d2ffffffffff,7.0,2.0,0.0,0.0
826d37fffffffff,23.0,6.0,0.0,0.0
826d67fffffffff,19.0,0.0,0.0,0.0
826d6ffffffffff,33.0,0.0,12.0,0.0
828b0ffffffffff,1.0,0.0,0.0,0.0
828b27fffffffff,2.0,0.0,0.0,2.0
828f2ffffffffff,5.0,0.0,0.0,0.0
82a897fffffffff,5.0,0.0,0.0,0.0
