cell_id,Thamnistes anabatinus,Thamnistes anabatinus [anabatinus Group],Thamnistes anabatinus aequatorialis/gularis
834520fffffffff,11.0,0.0,0.0
83452efffffffff,2.0,0.0,0.0
836611fffffffff,6.0,1.0,0.0
83661bfffffffff,6.0,0.0,0.0
83661cfffffffff,3.0,0.0,0.0
83661efffffffff,9.0,0.0,0.0
8366a0fffffffff,2.0,0.0,0.0
8366a5fffffffff,10.0,0.0,0.0
8366b4fffffffff,2.0,0.0,0.0
8366b5fffffffff,3.0,0.0,0.0
8366c0fffffffff,50.0,0.0,2.0
8366c6fffffffff,4.0,0.0,0.0
8366d0fffffffff,3.0,0.0,0.0
8366d2fffffffff,1.0,0.0,1.0
8366d3fffffffff,2.0,0.0,2.0
8366defffffffff,4.0,0.0,0.0
8366e3fffffffff,5.0,0.0,0.0
8366e5fffffffff,1.0,0.0,0.0
8366f0fffffffff,5.0,0.0,0.0
8366f1fffffffff,14.0,0.0,1.0
836792fffffffff,2.0,0.0,0.0
836d68fffffffff,4.0,0.0,0.0
836d69fffffffff,13.0,2.0,0.0
836d6dfffffffff,2.0,0.0,0.0
838a45fffffffff,2.0,0.0,0.0
