cell_id,Rallus longirostris,Rallus longirostris berryorum,Rallus longirostris cypereti,Rallus longirostris [longirostris Group]
845f095ffffffff,5.0,0.0,0.0,0.0
845f4b3ffffffff,4.0,0.0,0.0,0.0
845f583ffffffff,1.0,0.0,0.0,0.0
846620bffffffff,7.0,0.0,0.0,0.0
8466d05ffffffff,9.0,0.0,2.0,0.0
8466d0dffffffff,2.0,0.0,0.0,0.0
846752dffffffff,8.0,0.0,0.0,0.0
8467551ffffffff,7.0,0.0,0.0,0.0
846d601ffffffff,2.0,0.0,0.0,0.0
846d605ffffffff,1.0,0.0,0.0,0.0
846d60dffffffff,14.0,0.0,0.0,0.0
846d639ffffffff,1.0,0.0,0.0,0.0
846d661ffffffff,60.0,4.0,0.0,0.0
846d663ffffffff,36.0,0.0,0.0,0.0
846d667ffffffff,2.0,0.0,0.0,0.0
846d68dffffffff,8.0,0.0,0.0,0.0
846d695ffffffff,16.0,1.0,0.0,0.0
846d6b9ffffffff,1.0,0.0,0.0,0.0
846d75bffffffff,17.0,3.0,0.0,0.0
8481801ffffffff,1.0,0.0,0.0,0.0
8481839ffffffff,1.0,0.0,0.0,0.0
848f0ddffffffff,1.0,0.0,1.0,0.0
848f21bffffffff,1.0,0.0,0.0,0.0
848f2a1ffffffff,3.0,0.0,0.0,0.0
848f2b5ffffffff,4.0,0.0,3.0,0.0
848f2b9ffffffff,2.0,0.0,0.0,0.0
84a8143ffffffff,1.0,0.0,0.0,0.0
84a8a03ffffffff,7.0,0.0,0.0,0.0
