cell_id,Silvicultrix frontalis,Silvicultrix frontalis frontalis/albidiadema,Silvicultrix frontalis spodionota/boliviana
8466083ffffffff,8.0,0.0,0.0
846608dffffffff,2.0,0.0,0.0
84660bbffffffff,1.0,0.0,0.0
84660bdffffffff,4.0,0.0,0.0
84660c3ffffffff,2.0,0.0,0.0
8466181ffffffff,37.0,0.0,0.0
8466185ffffffff,1.0,0.0,0.0
8466187ffffffff,29.0,0.0,0.0
8466197ffffffff,3.0,0.0,0.0
84661b1ffffffff,10.0,0.0,0.0
84661b3ffffffff,2.0,0.0,0.0
84661b9ffffffff,2.0,0.0,0.0
84661bbffffffff,5.0,0.0,0.0
84661d1ffffffff,5.0,0.0,0.0
8466c21ffffffff,2.0,0.0,0.0
8466c25ffffffff,36.0,0.0,0.0
8466c2dffffffff,2.0,0.0,0.0
8466c47ffffffff,1.0,0.0,0.0
8466c61ffffffff,11.0,0.0,0.0
8466c67ffffffff,2.0,0.0,0.0
8466c69ffffffff,14.0,0.0,0.0
8466c6dffffffff,3.0,0.0,0.0
8466d03ffffffff,1.0,0.0,0.0
8466d11ffffffff,10.0,2.0,0.0
8466d17ffffffff,3.0,0.0,0.0
8466d19ffffffff,2.0,0.0,0.0
8466d1dffffffff,1.0,0.0,0.0
8466d31ffffffff,617.0,98.0,0.0
8466d33ffffffff,40.0,5.0,0.0
8466d37ffffffff,4.0,1.0,0.0
8466d39ffffffff,5.0,0.0,0.0
8466d3bffffffff,4.0,2.0,0.0
8466d53ffffffff,3.0,0.0,0.0
8466de5ffffffff,6.0,4.0,0.0
8466dedffffffff,114.0,23.0,0.0
8466e09ffffffff,9.0,0.0,0.0
8466e0bffffffff,2.0,0.0,0.0
8466e2dffffffff,12.0,0.0,0.0
8466e41ffffffff,2.0,0.0,0.0
8466e43ffffffff,80.0,1.0,0.0
8466e47ffffffff,6.0,0.0,0.0
8466e55ffffffff,33.0,2.0,0.0
8466e61ffffffff,17.0,0.0,0.0
8466e65ffffffff,62.0,1.0,0.0
8466e67ffffffff,124.0,0.0,0.0
8466e6dffffffff,312.0,2.0,0.0
8466f19ffffffff,10.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0
8466f53ffffffff,7.0,0.0,0.0
8466f5bffffffff,11.0,0.0,0.0
848b203ffffffff,2.0,0.0,0.0
848b211ffffffff,1.0,0.0,0.0
848b21dffffffff,1.0,0.0,0.0
848b2c5ffffffff,1.0,0.0,0.0
848b2cdffffffff,29.0,0.0,0.0
848b611ffffffff,7.0,0.0,0.0
848b617ffffffff,57.0,0.0,0.0
848b61bffffffff,1.0,0.0,0.0
848b6c1ffffffff,7.0,0.0,0.0
848b6c9ffffffff,1.0,0.0,0.0
848b6cdffffffff,58.0,0.0,0.0
848b759ffffffff,1.0,0.0,0.0
848e64bffffffff,1.0,0.0,0.0
848e651ffffffff,5.0,0.0,0.0
848e655ffffffff,1.0,0.0,0.0
848e6d9ffffffff,4.0,0.0,0.0
848e6ddffffffff,4.0,0.0,0.0
848f291ffffffff,2.0,0.0,0.0
848f297ffffffff,3.0,0.0,0.0
848f29bffffffff,1.0,0.0,0.0
848f2d3ffffffff,5.0,1.0,0.0
848f2d9ffffffff,1.0,0.0,0.0
848f42dffffffff,4.0,0.0,0.0
848f465ffffffff,1.0,0.0,0.0
848f4a5ffffffff,43.0,0.0,7.0
848f4a7ffffffff,2.0,0.0,0.0
848f54dffffffff,6.0,0.0,0.0
848f553ffffffff,10.0,0.0,0.0
848f559ffffffff,5.0,0.0,0.0
848f55bffffffff,5.0,0.0,0.0
848f599ffffffff,2.0,0.0,0.0
848f5ddffffffff,1.0,0.0,0.0
848f721ffffffff,39.0,8.0,0.0
848f725ffffffff,6.0,3.0,0.0
848f727ffffffff,6.0,0.0,0.0
848f72dffffffff,10.0,2.0,0.0
848f761ffffffff,1.0,1.0,0.0
848f767ffffffff,80.0,29.0,0.0
848f769ffffffff,11.0,0.0,0.0
848f76bffffffff,2.0,0.0,0.0
848f76dffffffff,51.0,6.0,0.0
84b3253ffffffff,34.0,0.0,0.0
84b3257ffffffff,2.0,0.0,0.0
