cell_id,Pionus menstruus,Pionus menstruus menstruus/rubrigularis,Pionus menstruus reichenowi
825f07fffffffff,1.0,1.0,0.0
825f5ffffffffff,29.0,4.0,0.0
826617fffffffff,51.0,37.0,0.0
82661ffffffffff,19.0,0.0,0.0
8266a7fffffffff,45.0,17.0,0.0
8266b7fffffffff,13.0,6.0,0.0
8266dffffffffff,4.0,1.0,0.0
8266e7fffffffff,6.0,3.0,0.0
8266f7fffffffff,17.0,0.0,0.0
82674ffffffffff,6.0,0.0,0.0
826757fffffffff,5.0,0.0,0.0
82675ffffffffff,19.0,0.0,0.0
82679ffffffffff,5.0,0.0,0.0
826d6ffffffffff,10.0,0.0,0.0
82814ffffffffff,7.0,7.0,0.0
828187fffffffff,14.0,0.0,13.0
828a07fffffffff,1.0,1.0,0.0
828a17fffffffff,10.0,0.0,0.0
828a1ffffffffff,2.0,0.0,0.0
828aaffffffffff,2.0,0.0,0.0
828af7fffffffff,2.0,0.0,0.0
828b0ffffffffff,2.0,1.0,0.0
828b27fffffffff,5.0,5.0,0.0
828b47fffffffff,4.0,2.0,0.0
828b57fffffffff,3.0,3.0,0.0
828b5ffffffffff,6.0,6.0,0.0
828b67fffffffff,27.0,25.0,0.0
828b77fffffffff,2.0,0.0,0.0
828f0ffffffffff,7.0,0.0,0.0
828f57fffffffff,2.0,0.0,0.0
828f67fffffffff,2.0,0.0,0.0
828f77fffffffff,1.0,1.0,0.0
82a897fffffffff,1.0,0.0,1.0
