cell_id,Turdus vanikorensis,Turdus vanikorensis rennellianus,Turdus vanikorensis mareensis,Turdus vanikorensis [vanikorensis Group],Turdus vanikorensis placens,Turdus vanikorensis efatensis
849e021ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849e025ffffffff,6.0,0.0,0.0,0.0,0.0,0.0
849e027ffffffff,15.0,0.0,0.0,0.0,0.0,0.0
849e029ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849e067ffffffff,5.0,0.0,0.0,0.0,0.0,0.0
849e103ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849e113ffffffff,2.0,0.0,0.0,0.0,0.0,0.0
849e13dffffffff,7.0,0.0,0.0,0.0,0.0,0.0
849e225ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849e227ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
849e31bffffffff,9.0,0.0,0.0,0.0,0.0,0.0
849ec01ffffffff,1.0,0.0,0.0,0.0,0.0,0.0
849ec03ffffffff,18.0,0.0,0.0,0.0,0.0,0.0
849ec39ffffffff,4.0,0.0,0.0,0.0,0.0,0.0
