cell_id,Aethopyga saturata,Aethopyga saturata [saturata Group],Aethopyga saturata johnsi
823c0ffffffffff,4.0,0.0,0.0
823c1ffffffffff,7.0,0.0,0.0
823c5ffffffffff,3.0,0.0,0.0
823cc7fffffffff,1.0,0.0,0.0
823cdffffffffff,2.0,0.0,0.0
823ce7fffffffff,18.0,0.0,0.0
823ceffffffffff,9.0,0.0,0.0
82404ffffffffff,6.0,6.0,0.0
824167fffffffff,3.0,0.0,0.0
826437fffffffff,6.0,0.0,0.0
826497fffffffff,7.0,0.0,0.0
8264b7fffffffff,2.0,0.0,0.0
826507fffffffff,342.0,0.0,0.0
82651ffffffffff,23.0,0.0,0.0
82658ffffffffff,2.0,0.0,0.0
