cell_id,Leptopogon superciliaris,Leptopogon superciliaris transandinus,Leptopogon superciliaris superciliaris,Leptopogon superciliaris albidiventer
845f483ffffffff,1.0,0.0,0.0,0.0
846601bffffffff,1.0,0.0,1.0,0.0
8466113ffffffff,1.0,1.0,0.0,0.0
8466131ffffffff,3.0,0.0,0.0,0.0
8466183ffffffff,1.0,0.0,1.0,0.0
84661b9ffffffff,2.0,0.0,0.0,0.0
84661d1ffffffff,2.0,0.0,2.0,0.0
8466a05ffffffff,4.0,0.0,0.0,0.0
8466a0bffffffff,4.0,0.0,0.0,0.0
8466a5bffffffff,1.0,0.0,0.0,0.0
8466b49ffffffff,2.0,0.0,0.0,0.0
8466c05ffffffff,1.0,0.0,0.0,0.0
8466d13ffffffff,8.0,0.0,2.0,0.0
8466d31ffffffff,9.0,9.0,0.0,0.0
8466d35ffffffff,17.0,17.0,0.0,0.0
8466de1ffffffff,1.0,0.0,0.0,0.0
8466de7ffffffff,7.0,0.0,0.0,0.0
8466de9ffffffff,1.0,0.0,0.0,0.0
8466debffffffff,8.0,0.0,0.0,0.0
8466e47ffffffff,2.0,0.0,0.0,0.0
8466e69ffffffff,1.0,0.0,1.0,0.0
8466e6dffffffff,2.0,0.0,2.0,0.0
84674edffffffff,1.0,0.0,1.0,0.0
84675a5ffffffff,1.0,0.0,1.0,0.0
84675cbffffffff,4.0,0.0,0.0,0.0
846d691ffffffff,3.0,0.0,0.0,0.0
846d699ffffffff,4.0,0.0,0.0,0.0
846d69bffffffff,1.0,1.0,0.0,0.0
848b617ffffffff,12.0,0.0,0.0,10.0
848b693ffffffff,4.0,0.0,0.0,0.0
848b6edffffffff,14.0,0.0,0.0,0.0
848e6c9ffffffff,1.0,0.0,0.0,0.0
848e6cbffffffff,2.0,0.0,0.0,0.0
848f0d3ffffffff,5.0,0.0,0.0,0.0
848f425ffffffff,4.0,0.0,0.0,0.0
848f4b3ffffffff,12.0,0.0,0.0,0.0
848f74dffffffff,1.0,0.0,0.0,0.0
