cell_id,Eubucco versicolor,Eubucco versicolor steerii,Eubucco versicolor glaucogularis,Eubucco versicolor versicolor
828b27fffffffff,8.0,0.0,0.0,0.0
828b2ffffffffff,96.0,0.0,0.0,0.0
828b67fffffffff,984.0,0.0,0.0,111.0
828b6ffffffffff,474.0,0.0,0.0,26.0
828b77fffffffff,34.0,0.0,0.0,0.0
828e67fffffffff,214.0,0.0,0.0,0.0
828f47fffffffff,237.0,5.0,0.0,0.0
828f4ffffffffff,53.0,5.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0,0.0
828f5ffffffffff,32.0,0.0,0.0,0.0
828f77fffffffff,204.0,6.0,0.0,0.0
82b327fffffffff,114.0,0.0,0.0,0.0
