cell_id,Asthenes dorbignyi,Asthenes dorbignyi huancavelicae,Asthenes dorbignyi arequipae,Asthenes dorbignyi usheri,Asthenes dorbignyi dorbignyi/consobrina
828b27fffffffff,248.0,0.0,0.0,0.0,42.0
828b2ffffffffff,244.0,0.0,0.0,0.0,25.0
828b67fffffffff,16.0,0.0,0.0,1.0,0.0
828e6ffffffffff,130.0,3.0,0.0,64.0,0.0
828f5ffffffffff,52.0,0.0,0.0,0.0,0.0
82b20ffffffffff,4.0,0.0,0.0,0.0,0.0
82b22ffffffffff,19.0,0.0,0.0,0.0,0.0
82b277fffffffff,13.0,0.0,0.0,0.0,0.0
82b2e7fffffffff,2.0,0.0,0.0,0.0,0.0
82b2effffffffff,3.0,0.0,0.0,0.0,0.0
82b307fffffffff,1188.0,0.0,356.0,0.0,0.0
82b30ffffffffff,21.0,0.0,0.0,0.0,2.0
82b327fffffffff,249.0,0.0,3.0,0.0,9.0
82b32ffffffffff,81.0,0.0,0.0,0.0,3.0
82b337fffffffff,355.0,0.0,65.0,0.0,0.0
82b347fffffffff,14.0,0.0,0.0,0.0,0.0
82b357fffffffff,588.0,0.0,0.0,0.0,0.0
82b35ffffffffff,281.0,0.0,0.0,0.0,11.0
82b377fffffffff,400.0,0.0,0.0,0.0,1.0
