cell_id,Cormobates leucophaea,Cormobates leucophaea minor,Cormobates leucophaea [leucophaea Group]
829c07fffffffff,20.0,10.0,0.0
829c27fffffffff,1735.0,572.0,0.0
829d07fffffffff,2.0,0.0,0.0
829d0ffffffffff,126.0,12.0,6.0
829d27fffffffff,102.0,0.0,7.0
829d2ffffffffff,32.0,0.0,2.0
82b917fffffffff,273.0,0.0,8.0
82b937fffffffff,1.0,0.0,0.0
82be0ffffffffff,8774.0,0.0,1237.0
82be1ffffffffff,1855.0,0.0,169.0
82be2ffffffffff,103.0,0.0,13.0
82be47fffffffff,2571.0,0.0,815.0
82be4ffffffffff,173.0,0.0,11.0
82be57fffffffff,382.0,0.0,54.0
82be67fffffffff,4137.0,0.0,580.0
82be6ffffffffff,1215.0,0.0,164.0
82be77fffffffff,8616.0,0.0,704.0
82be8ffffffffff,5537.0,0.0,283.0
82beaffffffffff,1699.0,0.0,143.0
82bed7fffffffff,16.0,0.0,4.0
82bedffffffffff,60.0,0.0,0.0
82bee7fffffffff,676.0,0.0,104.0
82bef7fffffffff,2430.0,0.0,182.0
82bf5ffffffffff,16.0,0.0,2.0
