cell_id,Tyto tenebricosa,Tyto tenebricosa tenebricosa/arfaki,Tyto tenebricosa multipunctata
82728ffffffffff,10.0,4.0,0.0
8272a7fffffffff,54.0,29.0,0.0
8272dffffffffff,9.0,6.0,0.0
829c07fffffffff,6.0,0.0,3.0
829c27fffffffff,432.0,0.0,299.0
829c87fffffffff,3.0,0.0,0.0
829c9ffffffffff,5.0,2.0,0.0
829cd7fffffffff,28.0,11.0,0.0
829d0ffffffffff,6.0,0.0,0.0
82be0ffffffffff,108.0,37.0,0.0
82be1ffffffffff,38.0,11.0,0.0
82be2ffffffffff,1.0,0.0,0.0
82be67fffffffff,115.0,44.0,0.0
82be77fffffffff,56.0,25.0,0.0
82be8ffffffffff,247.0,69.0,0.0
82beaffffffffff,90.0,30.0,0.0
82bef7fffffffff,25.0,7.0,0.0
