cell_id,Streptocitta albicollis,Streptocitta albicollis torquata,Streptocitta albicollis albicollis
8368c2fffffffff,5.0,1.0,0.0
8368c3fffffffff,4.0,0.0,0.0
8368c8fffffffff,185.0,49.0,0.0
8368cafffffffff,1.0,0.0,0.0
8368cefffffffff,58.0,19.0,0.0
8368d0fffffffff,2.0,2.0,0.0
8368d2fffffffff,13.0,2.0,0.0
8368d6fffffffff,1.0,0.0,0.0
8368d8fffffffff,3.0,1.0,0.0
8368ddfffffffff,40.0,11.0,0.0
839500fffffffff,34.0,0.0,9.0
839505fffffffff,1.0,0.0,1.0
83950dfffffffff,4.0,0.0,0.0
839523fffffffff,1.0,0.0,0.0
