cell_id,Atlapetes leucopterus,Atlapetes leucopterus leucopterus/dresseri,Atlapetes leucopterus paynteri
8266d7fffffffff,2606.0,331.0,0.0
828f0ffffffffff,242.0,51.0,0.0
828f2ffffffffff,190.0,8.0,0.0
828f57fffffffff,416.0,41.0,0.0
828f77fffffffff,25.0,0.0,1.0
