cell_id,Emberiza cioides,Emberiza cioides [cioides Group],Emberiza cioides ciopsis
83149afffffffff,13.0,0.0,0.0
83149efffffffff,5.0,0.0,0.0
831590fffffffff,1.0,0.0,0.0
831598fffffffff,2.0,0.0,0.0
8315b0fffffffff,1.0,0.0,0.0
8315b3fffffffff,2.0,0.0,0.0
8315b6fffffffff,1.0,0.0,0.0
83204bfffffffff,11.0,0.0,0.0
83206bfffffffff,1.0,0.0,0.0
8320adfffffffff,3.0,0.0,0.0
8320e0fffffffff,4.0,0.0,0.0
8320e2fffffffff,3.0,0.0,0.0
8320e3fffffffff,7.0,0.0,0.0
8320e6fffffffff,19.0,0.0,0.0
8320eefffffffff,2.0,0.0,0.0
8320f5fffffffff,5.0,0.0,0.0
832405fffffffff,2.0,0.0,0.0
83240cfffffffff,1.0,0.0,0.0
832426fffffffff,3.0,0.0,0.0
832428fffffffff,5.0,0.0,0.0
832429fffffffff,6.0,0.0,0.0
83242cfffffffff,1.0,0.0,0.0
83244cfffffffff,2.0,0.0,0.0
832452fffffffff,3.0,0.0,0.0
832460fffffffff,25.0,0.0,0.0
832463fffffffff,8.0,0.0,0.0
832466fffffffff,2.0,0.0,0.0
832473fffffffff,2.0,0.0,0.0
832475fffffffff,4.0,0.0,0.0
832488fffffffff,2.0,0.0,0.0
83248bfffffffff,17.0,0.0,0.0
8324c0fffffffff,17.0,0.0,0.0
8324c6fffffffff,2.0,0.0,0.0
8324d2fffffffff,13.0,0.0,0.0
8324d5fffffffff,1.0,0.0,0.0
8324d6fffffffff,4.0,0.0,0.0
832500fffffffff,2.0,0.0,0.0
832502fffffffff,2.0,0.0,0.0
832506fffffffff,1.0,0.0,0.0
832508fffffffff,1.0,0.0,0.0
832512fffffffff,32.0,0.0,0.0
832513fffffffff,3.0,0.0,0.0
832514fffffffff,1.0,0.0,0.0
832516fffffffff,2.0,0.0,0.0
832540fffffffff,1.0,0.0,0.0
832542fffffffff,4.0,0.0,0.0
832553fffffffff,2.0,0.0,0.0
83255afffffffff,85.0,0.0,0.0
83255bfffffffff,1.0,0.0,0.0
8325acfffffffff,38.0,0.0,0.0
8325b0fffffffff,2.0,0.0,0.0
832e08fffffffff,2.0,0.0,0.0
832e0afffffffff,2.0,0.0,0.0
832e0cfffffffff,35.0,0.0,0.0
832e0dfffffffff,58.0,0.0,0.0
832e0efffffffff,2.0,0.0,0.0
832e12fffffffff,1.0,0.0,0.0
832e13fffffffff,4.0,0.0,0.0
832e19fffffffff,2.0,0.0,0.0
832e1afffffffff,10.0,0.0,0.0
832e1bfffffffff,15.0,0.0,0.0
832e1efffffffff,2.0,0.0,0.0
832e29fffffffff,12.0,0.0,0.0
832e2bfffffffff,6.0,0.0,0.0
832e2dfffffffff,9.0,0.0,0.0
832e44fffffffff,34.0,0.0,0.0
832e60fffffffff,92.0,0.0,0.0
832e61fffffffff,196.0,0.0,0.0
832e62fffffffff,5.0,0.0,0.0
832e63fffffffff,29.0,0.0,0.0
832e64fffffffff,1.0,0.0,0.0
832e66fffffffff,17.0,0.0,0.0
832e68fffffffff,183.0,0.0,0.0
832e69fffffffff,15.0,0.0,0.0
832e6afffffffff,2.0,0.0,0.0
832e6bfffffffff,34.0,0.0,0.0
832e6cfffffffff,34.0,0.0,0.0
832e6dfffffffff,92.0,0.0,0.0
832e6efffffffff,13.0,0.0,0.0
832e70fffffffff,17.0,0.0,0.0
832e71fffffffff,8.0,0.0,0.0
832e72fffffffff,3.0,0.0,0.0
832e74fffffffff,65.0,0.0,0.0
832e75fffffffff,358.0,0.0,0.0
832e76fffffffff,4.0,0.0,0.0
832ea8fffffffff,3.0,0.0,0.0
832eacfffffffff,19.0,0.0,0.0
832eadfffffffff,16.0,0.0,0.0
832ec9fffffffff,4.0,0.0,0.0
832ef5fffffffff,4.0,0.0,0.0
832ef6fffffffff,2.0,0.0,0.0
832f43fffffffff,2.0,0.0,0.0
832f58fffffffff,23.0,0.0,0.0
832f5afffffffff,287.0,0.0,0.0
832f5bfffffffff,213.0,0.0,0.0
832f5dfffffffff,56.0,0.0,0.0
833000fffffffff,2.0,0.0,0.0
833004fffffffff,1.0,0.0,0.0
833005fffffffff,2.0,0.0,0.0
833006fffffffff,3.0,0.0,0.0
833010fffffffff,6.0,0.0,0.0
833011fffffffff,9.0,0.0,0.0
833016fffffffff,2.0,0.0,0.0
833019fffffffff,60.0,0.0,0.0
83302bfffffffff,12.0,0.0,0.0
83302cfffffffff,2.0,0.0,0.0
833030fffffffff,41.0,0.0,0.0
833032fffffffff,1.0,0.0,0.0
833034fffffffff,4.0,0.0,0.0
833036fffffffff,1.0,0.0,0.0
833083fffffffff,8.0,0.0,0.0
833093fffffffff,1.0,0.0,0.0
833098fffffffff,1.0,0.0,0.0
83309afffffffff,27.0,0.0,0.0
83309bfffffffff,36.0,0.0,0.0
83309dfffffffff,21.0,0.0,0.0
83309efffffffff,10.0,0.0,0.0
8330a3fffffffff,2.0,0.0,0.0
8330a5fffffffff,2.0,0.0,0.0
8330acfffffffff,2.0,0.0,0.0
8330c0fffffffff,5.0,0.0,0.0
8330c1fffffffff,2.0,0.0,0.0
8330c6fffffffff,5.0,0.0,0.0
8330cbfffffffff,2.0,0.0,0.0
8330ccfffffffff,2.0,0.0,0.0
8330cefffffffff,1.0,0.0,0.0
8330d0fffffffff,3.0,0.0,0.0
8330d1fffffffff,17.0,0.0,0.0
8330d8fffffffff,11.0,0.0,0.0
8330d9fffffffff,51.0,0.0,0.0
8330dafffffffff,9.0,0.0,0.0
8330dbfffffffff,9.0,0.0,0.0
8330ddfffffffff,1.0,0.0,0.0
8330e0fffffffff,40.0,0.0,0.0
8330e1fffffffff,27.0,0.0,0.0
8330e2fffffffff,1.0,0.0,0.0
8330e3fffffffff,38.0,0.0,0.0
8330e4fffffffff,4.0,0.0,0.0
8330e5fffffffff,30.0,0.0,0.0
8330e8fffffffff,12.0,0.0,0.0
8330eafffffffff,3.0,0.0,0.0
8330ecfffffffff,3.0,0.0,0.0
8330eefffffffff,6.0,0.0,0.0
833101fffffffff,1.0,0.0,0.0
833105fffffffff,3.0,0.0,0.0
833110fffffffff,2.0,0.0,0.0
833113fffffffff,3.0,0.0,0.0
833119fffffffff,1.0,0.0,0.0
83311bfffffffff,2.0,0.0,0.0
833126fffffffff,9.0,0.0,0.0
83312afffffffff,4.0,0.0,0.0
833134fffffffff,9.0,0.0,0.0
833145fffffffff,1.0,0.0,0.0
833150fffffffff,1.0,0.0,0.0
833159fffffffff,2.0,0.0,0.0
83315bfffffffff,18.0,0.0,0.0
833163fffffffff,3.0,0.0,0.0
83316cfffffffff,14.0,0.0,0.0
83316dfffffffff,8.0,0.0,0.0
83316efffffffff,24.0,0.0,0.0
833181fffffffff,42.0,0.0,0.0
833182fffffffff,2.0,0.0,0.0
833185fffffffff,395.0,0.0,0.0
833190fffffffff,2.0,0.0,0.0
833192fffffffff,21.0,2.0,0.0
833199fffffffff,2.0,0.0,0.0
83319dfffffffff,1.0,0.0,0.0
8331a3fffffffff,9.0,0.0,0.0
8331a8fffffffff,69.0,0.0,0.0
8331aafffffffff,175.0,0.0,0.0
8331abfffffffff,5.0,0.0,0.0
8331aefffffffff,31.0,0.0,0.0
834044fffffffff,1.0,0.0,0.0
834058fffffffff,2.0,0.0,0.0
834088fffffffff,1.0,0.0,0.0
834089fffffffff,1.0,0.0,0.0
