cell_id,Cormobates leucophaea,Cormobates leucophaea minor,Cormobates leucophaea [leucophaea Group]
839c05fffffffff,16.0,8.0,0.0
839c20fffffffff,3.0,0.0,0.0
839c21fffffffff,424.0,157.0,0.0
839c23fffffffff,1260.0,405.0,0.0
839c25fffffffff,52.0,12.0,0.0
839d01fffffffff,2.0,0.0,0.0
839d0cfffffffff,126.0,12.0,6.0
839d21fffffffff,37.0,0.0,0.0
839d25fffffffff,56.0,0.0,7.0
839d2cfffffffff,32.0,0.0,2.0
83b914fffffffff,22.0,0.0,0.0
83b916fffffffff,239.0,0.0,8.0
83b936fffffffff,1.0,0.0,0.0
83be08fffffffff,3933.0,0.0,551.0
83be09fffffffff,148.0,0.0,6.0
83be0afffffffff,645.0,0.0,32.0
83be0bfffffffff,586.0,0.0,56.0
83be0cfffffffff,1249.0,0.0,203.0
83be0dfffffffff,1658.0,0.0,361.0
83be0efffffffff,246.0,0.0,20.0
83be18fffffffff,781.0,0.0,32.0
83be19fffffffff,275.0,0.0,27.0
83be1afffffffff,220.0,0.0,11.0
83be1bfffffffff,269.0,0.0,31.0
83be1dfffffffff,329.0,0.0,62.0
83be29fffffffff,121.0,0.0,20.0
83be2bfffffffff,6.0,0.0,0.0
83be40fffffffff,279.0,0.0,68.0
83be41fffffffff,9.0,0.0,0.0
83be42fffffffff,24.0,0.0,0.0
83be44fffffffff,1174.0,0.0,519.0
83be45fffffffff,619.0,0.0,75.0
83be46fffffffff,295.0,0.0,82.0
83be49fffffffff,62.0,0.0,3.0
83be4cfffffffff,136.0,0.0,11.0
83be4dfffffffff,18.0,0.0,0.0
83be50fffffffff,23.0,0.0,2.0
83be54fffffffff,96.0,0.0,14.0
83be55fffffffff,9.0,0.0,0.0
83be56fffffffff,238.0,0.0,40.0
83be60fffffffff,111.0,0.0,12.0
83be61fffffffff,500.0,0.0,61.0
83be62fffffffff,1215.0,0.0,200.0
83be63fffffffff,2093.0,0.0,254.0
83be66fffffffff,179.0,0.0,17.0
83be68fffffffff,156.0,0.0,30.0
83be69fffffffff,40.0,0.0,3.0
83be6afffffffff,265.0,0.0,39.0
83be6bfffffffff,223.0,0.0,22.0
83be6cfffffffff,2.0,0.0,2.0
83be6efffffffff,499.0,0.0,66.0
83be70fffffffff,167.0,0.0,15.0
83be71fffffffff,1189.0,0.0,335.0
83be72fffffffff,5055.0,0.0,93.0
83be73fffffffff,195.0,0.0,10.0
83be74fffffffff,1579.0,0.0,271.0
83be75fffffffff,581.0,0.0,73.0
83be76fffffffff,349.0,0.0,18.0
83be88fffffffff,285.0,0.0,13.0
83be89fffffffff,267.0,0.0,14.0
83be8bfffffffff,77.0,0.0,2.0
83be8dfffffffff,4685.0,0.0,248.0
83bea9fffffffff,236.0,0.0,5.0
83beabfffffffff,773.0,0.0,43.0
83bed4fffffffff,14.0,0.0,4.0
83bedefffffffff,60.0,0.0,0.0
83bee0fffffffff,237.0,0.0,37.0
83bee2fffffffff,128.0,0.0,16.0
83bee3fffffffff,1.0,0.0,0.0
83bee4fffffffff,145.0,0.0,20.0
83bee5fffffffff,80.0,0.0,19.0
83bee6fffffffff,87.0,0.0,8.0
83bef0fffffffff,886.0,0.0,68.0
83bef1fffffffff,2.0,0.0,0.0
83bef2fffffffff,473.0,0.0,20.0
83bef3fffffffff,91.0,0.0,4.0
83bef4fffffffff,151.0,0.0,16.0
83bef5fffffffff,178.0,0.0,0.0
83bef6fffffffff,1579.0,0.0,181.0
