cell_id,Geotrygon montana,Geotrygon montana montana,Geotrygon montana martinica
824417fffffffff,4.0,0.0,0.0
8244a7fffffffff,2.0,0.0,0.0
82450ffffffffff,15.0,0.0,0.0
824527fffffffff,4.0,0.0,0.0
82452ffffffffff,29.0,0.0,0.0
82458ffffffffff,2.0,0.0,0.0
82459ffffffffff,7.0,0.0,0.0
8245b7fffffffff,9.0,0.0,0.0
824837fffffffff,1.0,0.0,0.0
8248b7fffffffff,4.0,0.0,0.0
824997fffffffff,6.0,0.0,0.0
82499ffffffffff,2.0,0.0,0.0
8249affffffffff,21.0,0.0,0.0
824cc7fffffffff,61.0,0.0,0.0
824cd7fffffffff,4.0,2.0,0.0
824ceffffffffff,13.0,3.0,0.0
824cf7fffffffff,16.0,0.0,0.0
825f47fffffffff,4.0,0.0,0.0
825f5ffffffffff,6.0,0.0,0.0
82660ffffffffff,7.0,0.0,0.0
82662ffffffffff,2.0,0.0,0.0
826647fffffffff,3.0,3.0,0.0
8266b7fffffffff,3.0,0.0,0.0
8266d7fffffffff,1.0,0.0,0.0
8266dffffffffff,1.0,0.0,0.0
8266e7fffffffff,28.0,0.0,0.0
8266effffffffff,7.0,0.0,0.0
826737fffffffff,3.0,0.0,0.0
826747fffffffff,3.0,0.0,0.0
82674ffffffffff,3.0,0.0,0.0
826d27fffffffff,2.0,0.0,0.0
826d2ffffffffff,7.0,0.0,0.0
826d37fffffffff,4.0,0.0,0.0
826d67fffffffff,3.0,0.0,0.0
826d6ffffffffff,21.0,2.0,0.0
828b5ffffffffff,2.0,2.0,0.0
828b67fffffffff,2.0,2.0,0.0
828f2ffffffffff,55.0,17.0,0.0
82a837fffffffff,2.0,0.0,0.0
82a86ffffffffff,2.0,0.0,0.0
82a897fffffffff,1.0,1.0,0.0
82a8dffffffffff,4.0,0.0,0.0
82a947fffffffff,10.0,0.0,0.0
82a957fffffffff,23.0,0.0,0.0
82a977fffffffff,1.0,1.0,0.0
