cell_id,Aulacorhynchus prasinus,Aulacorhynchus prasinus wagleri,Aulacorhynchus prasinus [prasinus Group],Aulacorhynchus prasinus caeruleogularis,Aulacorhynchus prasinus cognatus
834520fffffffff,220.0,0.0,0.0,0.0,0.0
834521fffffffff,44.0,0.0,3.0,0.0,0.0
834522fffffffff,31.0,0.0,0.0,0.0,0.0
834523fffffffff,6.0,0.0,4.0,0.0,0.0
834524fffffffff,385.0,0.0,0.0,0.0,0.0
834525fffffffff,159.0,0.0,0.0,0.0,0.0
834526fffffffff,398.0,0.0,0.0,0.0,0.0
834528fffffffff,22.0,0.0,2.0,0.0,0.0
83452afffffffff,61.0,0.0,0.0,0.0,0.0
83452bfffffffff,3.0,0.0,0.0,0.0,0.0
83452cfffffffff,41.0,0.0,0.0,0.0,0.0
83452dfffffffff,30.0,0.0,0.0,0.0,0.0
83452efffffffff,1322.0,0.0,92.0,0.0,0.0
834530fffffffff,6.0,0.0,0.0,0.0,0.0
834534fffffffff,113.0,0.0,0.0,0.0,0.0
834535fffffffff,242.0,0.0,0.0,0.0,0.0
834990fffffffff,20.0,0.0,5.0,0.0,0.0
834991fffffffff,24.0,0.0,9.0,0.0,0.0
834993fffffffff,2.0,0.0,2.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0,0.0,0.0
834996fffffffff,567.0,0.0,242.0,0.0,0.0
83499cfffffffff,20.0,0.0,0.0,0.0,0.0
83499efffffffff,8.0,0.0,0.0,0.0,0.0
8349b1fffffffff,101.0,73.0,0.0,0.0,0.0
8349b5fffffffff,145.0,93.0,0.0,0.0,0.0
8349b6fffffffff,13.0,0.0,0.0,0.0,0.0
836611fffffffff,2.0,0.0,0.0,0.0,2.0
836612fffffffff,26.0,0.0,0.0,0.0,10.0
836613fffffffff,88.0,0.0,0.0,0.0,56.0
8366a0fffffffff,455.0,0.0,0.0,127.0,0.0
8366a2fffffffff,30.0,0.0,0.0,11.0,0.0
8366a5fffffffff,578.0,0.0,0.0,158.0,0.0
8366b4fffffffff,4669.0,0.0,0.0,162.0,0.0
8366b5fffffffff,1865.0,0.0,0.0,406.0,0.0
836792fffffffff,2.0,0.0,0.0,0.0,0.0
83679afffffffff,13.0,0.0,0.0,0.0,0.0
836d04fffffffff,9.0,0.0,0.0,0.0,0.0
836d05fffffffff,815.0,0.0,379.0,0.0,0.0
836d14fffffffff,8.0,1.0,0.0,0.0,0.0
836d15fffffffff,3.0,0.0,0.0,0.0,0.0
836d20fffffffff,104.0,0.0,12.0,0.0,0.0
836d21fffffffff,69.0,0.0,23.0,0.0,0.0
836d22fffffffff,14.0,0.0,5.0,0.0,0.0
836d23fffffffff,201.0,0.0,77.0,0.0,0.0
836d28fffffffff,582.0,0.0,0.0,0.0,0.0
836d29fffffffff,880.0,0.0,0.0,0.0,0.0
836d2afffffffff,358.0,0.0,51.0,0.0,0.0
836d2bfffffffff,1196.0,0.0,0.0,0.0,0.0
836d2cfffffffff,68.0,0.0,0.0,0.0,0.0
836d2dfffffffff,2243.0,0.0,0.0,0.0,0.0
836d2efffffffff,66.0,0.0,18.0,0.0,0.0
836d30fffffffff,272.0,0.0,97.0,0.0,0.0
836d33fffffffff,771.0,589.0,0.0,0.0,0.0
836d34fffffffff,24.0,0.0,10.0,0.0,0.0
836d35fffffffff,102.0,0.0,19.0,0.0,0.0
836d36fffffffff,59.0,0.0,9.0,0.0,0.0
836d60fffffffff,23.0,0.0,0.0,0.0,0.0
836d64fffffffff,221.0,0.0,4.0,0.0,0.0
836d65fffffffff,1668.0,0.0,79.0,0.0,0.0
836d66fffffffff,340.0,0.0,0.0,0.0,0.0
836d68fffffffff,106.0,0.0,0.0,0.0,0.0
836d69fffffffff,8838.0,0.0,0.0,0.0,0.0
836d74fffffffff,359.0,0.0,0.0,0.0,0.0
836d75fffffffff,8.0,0.0,0.0,0.0,0.0
