cell_id,Pseudotriccus pelzelni,Pseudotriccus pelzelni annectens/berlepschi,Pseudotriccus pelzelni pelzelni/peruvianus
826617fffffffff,2.0,0.0,0.0
82661ffffffffff,1219.0,0.0,0.0
8266c7fffffffff,2.0,0.0,0.0
8266d7fffffffff,986.0,34.0,0.0
8266dffffffffff,188.0,0.0,9.0
8266e7fffffffff,251.0,0.0,0.0
8266f7fffffffff,96.0,0.0,0.0
828e67fffffffff,6.0,0.0,0.0
828f0ffffffffff,32.0,0.0,0.0
828f2ffffffffff,14.0,0.0,0.0
828f47fffffffff,19.0,0.0,0.0
828f4ffffffffff,12.0,0.0,0.0
828f5ffffffffff,1.0,0.0,0.0
828f77fffffffff,31.0,0.0,0.0
