cell_id,Pheucticus aureoventris,Pheucticus aureoventris meridensis,Pheucticus aureoventris crissalis,Pheucticus aureoventris uropygialis/terminalis,Pheucticus aureoventris aureoventris
83660bfffffffff,2.0,0.0,0.0,0.0,0.0
8366c6fffffffff,28.0,0.0,0.0,0.0,0.0
8366d1fffffffff,12.0,0.0,2.0,0.0,0.0
8366d5fffffffff,81.0,0.0,0.0,0.0,0.0
838b0dfffffffff,2.0,0.0,0.0,0.0,0.0
838b20fffffffff,2.0,0.0,0.0,0.0,2.0
838b22fffffffff,8.0,0.0,0.0,0.0,8.0
838b25fffffffff,6.0,0.0,0.0,0.0,4.0
838b2cfffffffff,1.0,0.0,0.0,0.0,1.0
838b71fffffffff,5.0,0.0,0.0,0.0,0.0
838ba6fffffffff,2.0,0.0,0.0,0.0,0.0
838e6dfffffffff,2.0,0.0,0.0,2.0,0.0
83a814fffffffff,33.0,0.0,0.0,0.0,0.0
83a844fffffffff,2.0,0.0,0.0,0.0,0.0
83a859fffffffff,2.0,0.0,0.0,0.0,0.0
83a946fffffffff,4.0,0.0,0.0,0.0,0.0
83a94cfffffffff,1.0,0.0,0.0,0.0,0.0
83a975fffffffff,1.0,0.0,0.0,0.0,0.0
83b243fffffffff,8.0,0.0,0.0,0.0,0.0
83b24afffffffff,3.0,0.0,0.0,0.0,0.0
83b25dfffffffff,2.0,0.0,0.0,0.0,0.0
83b325fffffffff,4.0,0.0,0.0,0.0,4.0
83b32dfffffffff,2.0,0.0,0.0,0.0,2.0
83b342fffffffff,3.0,0.0,0.0,0.0,0.0
83b343fffffffff,3.0,0.0,0.0,0.0,0.0
83b345fffffffff,2.0,0.0,0.0,0.0,0.0
83b349fffffffff,2.0,0.0,0.0,0.0,0.0
83b34bfffffffff,13.0,0.0,0.0,0.0,0.0
83b34dfffffffff,12.0,0.0,0.0,0.0,0.0
83b366fffffffff,6.0,0.0,0.0,0.0,0.0
83c2cdfffffffff,2.0,0.0,0.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0,0.0,0.0
