cell_id,Megarynchus pitangua,Megarynchus pitangua [mexicanus Group],Megarynchus pitangua pitangua,Megarynchus pitangua chrysogaster
824507fffffffff,6.0,0.0,0.0,0.0
82450ffffffffff,2.0,0.0,0.0,0.0
824527fffffffff,16.0,1.0,0.0,0.0
82452ffffffffff,6.0,3.0,0.0,0.0
824997fffffffff,36.0,8.0,0.0,0.0
82499ffffffffff,14.0,9.0,0.0,0.0
8249affffffffff,1.0,0.0,0.0,0.0
825f1ffffffffff,1.0,0.0,1.0,0.0
825f5ffffffffff,9.0,0.0,9.0,0.0
826607fffffffff,6.0,0.0,0.0,0.0
82660ffffffffff,2.0,0.0,2.0,0.0
826617fffffffff,3.0,0.0,0.0,0.0
82661ffffffffff,49.0,0.0,0.0,0.0
826627fffffffff,3.0,0.0,0.0,0.0
826647fffffffff,2.0,0.0,2.0,0.0
8266b7fffffffff,23.0,7.0,0.0,0.0
8266d7fffffffff,5.0,0.0,0.0,0.0
8266dffffffffff,6.0,0.0,0.0,0.0
8266e7fffffffff,1.0,0.0,0.0,0.0
82674ffffffffff,8.0,0.0,1.0,0.0
826757fffffffff,1.0,0.0,0.0,0.0
82675ffffffffff,4.0,0.0,0.0,0.0
82679ffffffffff,7.0,4.0,0.0,0.0
826d17fffffffff,4.0,0.0,0.0,0.0
826d27fffffffff,37.0,16.0,0.0,0.0
826d2ffffffffff,5.0,0.0,0.0,0.0
826d37fffffffff,7.0,0.0,0.0,0.0
826d67fffffffff,1.0,0.0,0.0,0.0
826d6ffffffffff,61.0,34.0,0.0,0.0
828a47fffffffff,1.0,0.0,0.0,0.0
828b47fffffffff,1.0,0.0,1.0,0.0
828b57fffffffff,2.0,0.0,2.0,0.0
828b67fffffffff,21.0,0.0,21.0,0.0
828e6ffffffffff,1.0,0.0,0.0,0.0
828f0ffffffffff,1.0,0.0,0.0,0.0
828f2ffffffffff,1.0,0.0,0.0,1.0
82a807fffffffff,1.0,0.0,1.0,0.0
82a887fffffffff,2.0,0.0,2.0,0.0
82a8a7fffffffff,2.0,0.0,2.0,0.0
82a947fffffffff,8.0,0.0,0.0,0.0
82a94ffffffffff,8.0,0.0,0.0,0.0
82a957fffffffff,54.0,0.0,1.0,0.0
82a967fffffffff,58.0,0.0,3.0,0.0
82a96ffffffffff,12.0,0.0,0.0,0.0
82b267fffffffff,3.0,0.0,0.0,0.0
82b2c7fffffffff,4.0,0.0,0.0,0.0
82b307fffffffff,4.0,0.0,2.0,0.0
82b347fffffffff,5.0,0.0,0.0,0.0
82b34ffffffffff,8.0,0.0,0.0,0.0
82b35ffffffffff,2.0,0.0,0.0,0.0
