cell_id,Pericrocotus solaris,Pericrocotus solaris [solaris Group],Pericrocotus solaris montanus/cinereigula
8430995ffffffff,3.0,0.0,0.0
843c067ffffffff,4.0,0.0,0.0
843c0a5ffffffff,9.0,0.0,0.0
843c0a9ffffffff,2.0,0.0,0.0
843c0adffffffff,10.0,0.0,0.0
843c199ffffffff,3.0,0.0,0.0
843c1d3ffffffff,9.0,0.0,0.0
843c527ffffffff,2.0,0.0,0.0
843c5abffffffff,5.0,0.0,0.0
843c5cbffffffff,1.0,0.0,0.0
843ce29ffffffff,4.0,0.0,0.0
843ce4dffffffff,27.0,0.0,0.0
843ce5bffffffff,16.0,0.0,0.0
843cec1ffffffff,1.0,0.0,0.0
843ced5ffffffff,4.0,0.0,0.0
8440369ffffffff,2.0,0.0,0.0
84404c5ffffffff,5.0,5.0,0.0
8440ac5ffffffff,3.0,0.0,0.0
84411adffffffff,4.0,4.0,0.0
8441719ffffffff,3.0,3.0,0.0
8441855ffffffff,2.0,2.0,0.0
8441859ffffffff,1.0,1.0,0.0
8441903ffffffff,3.0,0.0,0.0
8441919ffffffff,2.0,2.0,0.0
8441a37ffffffff,2.0,2.0,0.0
8441a43ffffffff,12.0,0.0,0.0
8441a55ffffffff,22.0,0.0,0.0
8441b43ffffffff,5.0,0.0,0.0
8441b5dffffffff,2.0,0.0,0.0
844b845ffffffff,6.0,0.0,0.0
844b849ffffffff,2.0,0.0,0.0
844ba01ffffffff,6.0,0.0,0.0
844ba03ffffffff,10.0,0.0,0.0
844ba05ffffffff,2.0,0.0,0.0
844ba0bffffffff,4.0,0.0,0.0
844ba15ffffffff,2.0,0.0,0.0
844ba21ffffffff,2.0,0.0,0.0
844ba25ffffffff,6.0,0.0,0.0
844ba2bffffffff,46.0,0.0,0.0
844ba39ffffffff,2.0,0.0,0.0
846416dffffffff,7.0,5.0,0.0
846482bffffffff,4.0,0.0,0.0
8464911ffffffff,8.0,0.0,0.0
846494bffffffff,1.0,0.0,0.0
846500bffffffff,169.0,0.0,4.0
8465033ffffffff,6.0,0.0,0.0
8465039ffffffff,11.0,0.0,0.0
8465055ffffffff,44.0,0.0,0.0
846505dffffffff,1.0,0.0,0.0
84650d1ffffffff,1.0,0.0,0.0
84651c1ffffffff,5.0,0.0,5.0
84651c9ffffffff,6.0,0.0,0.0
8465b39ffffffff,5.0,0.0,0.0
8465b3dffffffff,3.0,0.0,0.0
8468119ffffffff,7.0,0.0,7.0
