cell_id,Psittacula longicauda,Psittacula longicauda tytleri,Psittacula longicauda nicobarica,Psittacula longicauda longicauda/defontainei,Psittacula longicauda modesta
8464087ffffffff,2.0,0.0,0.0,0.0,0.0
84640a7ffffffff,6.0,0.0,0.0,0.0,0.0
84640b9ffffffff,54.0,0.0,0.0,0.0,0.0
84640bdffffffff,9.0,0.0,0.0,0.0,0.0
8464193ffffffff,9.0,0.0,0.0,0.0,0.0
846428bffffffff,177.0,0.0,0.0,0.0,0.0
846429dffffffff,120.0,0.0,0.0,0.0,0.0
84642b1ffffffff,22.0,0.0,0.0,0.0,0.0
84642d7ffffffff,18.0,0.0,0.0,0.0,0.0
8464e45ffffffff,23.0,0.0,0.0,0.0,0.0
8464e49ffffffff,2224.0,0.0,0.0,0.0,0.0
8464e4dffffffff,213.0,0.0,0.0,0.0,0.0
8464e61ffffffff,12.0,0.0,0.0,0.0,0.0
8464e65ffffffff,9.0,0.0,0.0,0.0,0.0
8464e69ffffffff,65.0,0.0,0.0,0.0,0.0
8464e6bffffffff,2.0,0.0,0.0,0.0,0.0
8464e6dffffffff,67.0,0.0,0.0,0.0,0.0
8465005ffffffff,15.0,0.0,0.0,0.0,0.0
8465009ffffffff,3.0,0.0,0.0,0.0,0.0
8465015ffffffff,11.0,0.0,0.0,0.0,0.0
8465019ffffffff,1.0,0.0,0.0,0.0,0.0
8465033ffffffff,85.0,0.0,0.0,0.0,0.0
8465043ffffffff,1.0,0.0,0.0,0.0,0.0
8465051ffffffff,167.0,0.0,0.0,0.0,0.0
8465055ffffffff,3.0,0.0,0.0,0.0,0.0
8465057ffffffff,20.0,0.0,0.0,0.0,0.0
8465059ffffffff,1.0,0.0,0.0,0.0,0.0
8465205ffffffff,9.0,0.0,0.0,0.0,0.0
846520dffffffff,1316.0,0.0,0.0,0.0,0.0
846521bffffffff,7.0,0.0,0.0,0.0,0.0
8465221ffffffff,2.0,0.0,0.0,0.0,0.0
8465223ffffffff,3.0,0.0,0.0,0.0,0.0
8465225ffffffff,1.0,0.0,0.0,0.0,0.0
8465229ffffffff,33.0,0.0,0.0,0.0,0.0
846522bffffffff,2.0,0.0,0.0,0.0,0.0
8465237ffffffff,5.0,0.0,0.0,0.0,0.0
8465257ffffffff,21.0,0.0,0.0,0.0,0.0
8465263ffffffff,195.0,0.0,0.0,0.0,0.0
8465267ffffffff,1.0,0.0,0.0,0.0,0.0
846526bffffffff,74.0,0.0,0.0,0.0,0.0
84652cdffffffff,6.0,0.0,0.0,0.0,0.0
8468101ffffffff,30.0,0.0,0.0,0.0,0.0
8468113ffffffff,2.0,0.0,0.0,0.0,0.0
8468115ffffffff,3.0,0.0,0.0,0.0,0.0
846811bffffffff,1.0,0.0,0.0,0.0,0.0
8468157ffffffff,124.0,0.0,0.0,0.0,0.0
8468185ffffffff,1.0,0.0,0.0,0.0,0.0
8468189ffffffff,240.0,0.0,0.0,0.0,0.0
846818bffffffff,6.0,0.0,0.0,0.0,0.0
846818dffffffff,9.0,0.0,0.0,0.0,0.0
846819dffffffff,19.0,0.0,0.0,0.0,0.0
84681a9ffffffff,3.0,0.0,0.0,0.0,0.0
84681c3ffffffff,293.0,0.0,0.0,0.0,0.0
84681c5ffffffff,8.0,0.0,0.0,0.0,0.0
84681c7ffffffff,3.0,0.0,0.0,0.0,0.0
84681cbffffffff,1.0,0.0,0.0,0.0,0.0
84681d5ffffffff,262.0,0.0,0.0,0.0,0.0
84681d7ffffffff,4.0,0.0,0.0,0.0,0.0
84681edffffffff,1.0,0.0,0.0,0.0,0.0
84688adffffffff,2.0,0.0,0.0,0.0,0.0
846892bffffffff,1.0,0.0,0.0,0.0,0.0
8468965ffffffff,19.0,0.0,0.0,0.0,0.0
8468a51ffffffff,10.0,0.0,0.0,0.0,0.0
8468a5bffffffff,1.0,0.0,0.0,0.0,0.0
8468a63ffffffff,4.0,0.0,0.0,0.0,0.0
8468a6bffffffff,2.0,0.0,0.0,0.0,0.0
8468ac9ffffffff,2.0,0.0,0.0,0.0,0.0
8468b57ffffffff,1.0,0.0,0.0,0.0,0.0
848c895ffffffff,2.0,0.0,0.0,0.0,0.0
848c92dffffffff,4.0,0.0,0.0,0.0,0.0
848c965ffffffff,10.0,0.0,0.0,0.0,0.0
848c967ffffffff,4.0,0.0,0.0,0.0,0.0
848cd25ffffffff,6.0,0.0,0.0,0.0,0.0
848cd27ffffffff,2.0,0.0,0.0,0.0,0.0
848cd55ffffffff,2.0,0.0,0.0,0.0,0.0
848cf5bffffffff,5.0,0.0,0.0,0.0,0.0
848d9a5ffffffff,6.0,0.0,0.0,0.0,0.0
