cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
832600fffffffff,72.0,0.0,0.0,0.0
832601fffffffff,44.0,0.0,0.0,0.0
832602fffffffff,10.0,0.0,0.0,0.0
832603fffffffff,10.0,0.0,0.0,0.0
832604fffffffff,69.0,0.0,0.0,0.0
832605fffffffff,90.0,0.0,0.0,0.0
832606fffffffff,1.0,0.0,0.0,0.0
832608fffffffff,73.0,1.0,0.0,0.0
832609fffffffff,29.0,0.0,0.0,0.0
83260afffffffff,244.0,0.0,0.0,0.0
83260bfffffffff,258.0,0.0,0.0,0.0
83260cfffffffff,5.0,0.0,0.0,0.0
83260dfffffffff,68.0,0.0,0.0,0.0
83260efffffffff,102.0,1.0,0.0,0.0
832611fffffffff,7.0,0.0,0.0,0.0
832618fffffffff,42.0,0.0,0.0,0.0
832619fffffffff,18.0,0.0,0.0,0.0
83261afffffffff,8.0,0.0,0.0,0.0
83261bfffffffff,24.0,0.0,0.0,0.0
83261cfffffffff,2.0,0.0,0.0,0.0
83261dfffffffff,11.0,0.0,0.0,0.0
83261efffffffff,6.0,0.0,0.0,0.0
832620fffffffff,353.0,0.0,0.0,0.0
832621fffffffff,791.0,0.0,0.0,0.0
832622fffffffff,75.0,0.0,0.0,0.0
832623fffffffff,72.0,0.0,0.0,0.0
832624fffffffff,194.0,0.0,0.0,0.0
832625fffffffff,218.0,0.0,0.0,0.0
832626fffffffff,209.0,0.0,0.0,0.0
832628fffffffff,110.0,0.0,0.0,0.0
832629fffffffff,125.0,0.0,0.0,0.0
83262afffffffff,26.0,0.0,0.0,0.0
83262bfffffffff,58.0,0.0,0.0,0.0
83262cfffffffff,3679.0,0.0,0.0,0.0
83262dfffffffff,259.0,0.0,0.0,0.0
83262efffffffff,72.0,0.0,0.0,0.0
832630fffffffff,2.0,0.0,0.0,0.0
832631fffffffff,13.0,0.0,0.0,0.0
832633fffffffff,2.0,0.0,0.0,0.0
832634fffffffff,14.0,0.0,0.0,0.0
832635fffffffff,21.0,0.0,0.0,0.0
832640fffffffff,777.0,0.0,0.0,0.0
832641fffffffff,433.0,0.0,0.0,0.0
832642fffffffff,287.0,0.0,0.0,0.0
832643fffffffff,823.0,0.0,0.0,0.0
832644fffffffff,53.0,0.0,0.0,0.0
832645fffffffff,36.0,0.0,0.0,0.0
832646fffffffff,1624.0,0.0,0.0,0.0
832648fffffffff,513.0,0.0,0.0,0.0
832649fffffffff,543.0,0.0,0.0,0.0
83264afffffffff,289.0,0.0,0.0,0.0
83264bfffffffff,230.0,0.0,0.0,0.0
83264cfffffffff,489.0,0.0,0.0,0.0
83264dfffffffff,1123.0,0.0,0.0,0.0
83264efffffffff,272.0,0.0,0.0,0.0
832650fffffffff,229.0,0.0,0.0,0.0
832651fffffffff,247.0,0.0,0.0,0.0
832652fffffffff,337.0,0.0,0.0,0.0
832653fffffffff,943.0,0.0,0.0,0.0
832654fffffffff,147.0,0.0,0.0,0.0
832655fffffffff,1571.0,0.0,0.0,0.0
832656fffffffff,1180.0,0.0,0.0,0.0
832658fffffffff,55.0,0.0,0.0,0.0
832659fffffffff,1012.0,0.0,0.0,0.0
83265afffffffff,143.0,0.0,0.0,0.0
83265bfffffffff,1057.0,0.0,0.0,0.0
83265cfffffffff,210.0,0.0,0.0,0.0
83265dfffffffff,481.0,0.0,0.0,0.0
83265efffffffff,174.0,0.0,0.0,0.0
832660fffffffff,209.0,0.0,0.0,0.0
832661fffffffff,1095.0,0.0,0.0,0.0
832662fffffffff,453.0,0.0,0.0,0.0
832663fffffffff,421.0,0.0,0.0,0.0
832664fffffffff,7311.0,0.0,0.0,0.0
832665fffffffff,485.0,0.0,0.0,0.0
832666fffffffff,698.0,0.0,0.0,0.0
832668fffffffff,573.0,0.0,0.0,0.0
832669fffffffff,135.0,0.0,0.0,0.0
83266afffffffff,366.0,0.0,0.0,0.0
83266bfffffffff,174.0,0.0,0.0,0.0
83266cfffffffff,974.0,0.0,0.0,0.0
83266dfffffffff,849.0,0.0,0.0,0.0
83266efffffffff,567.0,0.0,0.0,0.0
832670fffffffff,39.0,0.0,0.0,0.0
832671fffffffff,287.0,0.0,0.0,0.0
832672fffffffff,29.0,0.0,0.0,0.0
832673fffffffff,55.0,0.0,0.0,0.0
832674fffffffff,231.0,0.0,0.0,0.0
832675fffffffff,71.0,0.0,0.0,0.0
832676fffffffff,37.0,0.0,0.0,0.0
832681fffffffff,80.0,0.0,0.0,0.0
832685fffffffff,2.0,0.0,0.0,0.0
832688fffffffff,260.0,0.0,0.0,0.0
832689fffffffff,26.0,0.0,0.0,0.0
83268cfffffffff,36.0,0.0,0.0,0.0
83268dfffffffff,4.0,0.0,0.0,0.0
83269cfffffffff,31.0,0.0,0.0,0.0
8326a8fffffffff,27.0,0.0,0.0,0.0
8326a9fffffffff,15.0,0.0,0.0,0.0
8326aafffffffff,161.0,0.0,0.0,0.0
8326abfffffffff,5.0,0.0,0.0,0.0
8326adfffffffff,3.0,0.0,0.0,0.0
8326c0fffffffff,4.0,0.0,0.0,0.0
8326c1fffffffff,355.0,0.0,0.0,0.0
8326c2fffffffff,13.0,0.0,0.0,0.0
8326c3fffffffff,136.0,0.0,0.0,0.0
8326c4fffffffff,52.0,0.0,0.0,0.0
8326c5fffffffff,186.0,0.0,0.0,0.0
8326c6fffffffff,6.0,0.0,0.0,0.0
8326c8fffffffff,1901.0,0.0,0.0,0.0
8326c9fffffffff,212.0,0.0,0.0,0.0
8326cafffffffff,326.0,0.0,0.0,0.0
8326cbfffffffff,1364.0,0.0,0.0,0.0
8326ccfffffffff,23.0,0.0,0.0,0.0
8326cdfffffffff,91.0,0.0,0.0,0.0
8326cefffffffff,44.0,0.0,0.0,0.0
8326d1fffffffff,23.0,0.0,0.0,0.0
8326d2fffffffff,4.0,0.0,0.0,0.0
8326d3fffffffff,3.0,0.0,0.0,0.0
8326d4fffffffff,4.0,0.0,0.0,0.0
8326d5fffffffff,6.0,0.0,0.0,0.0
8326d6fffffffff,2.0,0.0,0.0,0.0
8326d8fffffffff,35.0,0.0,0.0,0.0
8326d9fffffffff,311.0,0.0,0.0,0.0
8326dafffffffff,19.0,0.0,0.0,0.0
8326dbfffffffff,30.0,0.0,0.0,0.0
8326dcfffffffff,43.0,0.0,0.0,0.0
8326ddfffffffff,70.0,0.0,0.0,0.0
8326defffffffff,325.0,0.0,0.0,0.0
8326e0fffffffff,81.0,0.0,0.0,0.0
8326e1fffffffff,46.0,0.0,0.0,0.0
8326e2fffffffff,478.0,0.0,0.0,0.0
8326e3fffffffff,109.0,0.0,0.0,0.0
8326e4fffffffff,96.0,0.0,0.0,0.0
8326e5fffffffff,742.0,0.0,0.0,0.0
8326e6fffffffff,75.0,0.0,0.0,0.0
8326e8fffffffff,95.0,0.0,0.0,0.0
8326e9fffffffff,104.0,0.0,0.0,0.0
8326eafffffffff,34.0,0.0,0.0,0.0
8326ebfffffffff,16.0,0.0,0.0,0.0
8326ecfffffffff,201.0,0.0,0.0,0.0
8326edfffffffff,794.0,0.0,0.0,0.0
8326eefffffffff,104.0,1.0,0.0,0.0
8326f0fffffffff,16.0,0.0,0.0,0.0
8326f1fffffffff,65.0,0.0,0.0,0.0
8326f2fffffffff,126.0,0.0,0.0,0.0
8326f3fffffffff,22.0,0.0,0.0,0.0
8326f4fffffffff,6.0,0.0,0.0,0.0
8326f5fffffffff,19.0,0.0,0.0,0.0
8326f6fffffffff,2.0,0.0,0.0,0.0
832708fffffffff,8.0,0.0,0.0,0.0
832709fffffffff,45.0,0.0,0.0,0.0
83270afffffffff,84.0,0.0,0.0,0.0
83270bfffffffff,54.0,0.0,0.0,0.0
83270efffffffff,16.0,0.0,0.0,0.0
832718fffffffff,5.0,0.0,0.0,0.0
832719fffffffff,138.0,0.0,0.0,0.0
83271bfffffffff,9.0,0.0,0.0,0.0
83271dfffffffff,27.0,0.0,0.0,0.0
832740fffffffff,160.0,0.0,0.0,0.0
832741fffffffff,1114.0,0.0,0.0,0.0
832742fffffffff,150.0,0.0,0.0,0.0
832743fffffffff,805.0,0.0,0.0,0.0
832744fffffffff,45.0,0.0,0.0,0.0
832745fffffffff,308.0,0.0,0.0,0.0
832746fffffffff,69.0,0.0,0.0,0.0
832748fffffffff,2456.0,0.0,0.0,0.0
832749fffffffff,2196.0,0.0,0.0,0.0
83274afffffffff,270.0,0.0,0.0,0.0
83274bfffffffff,1459.0,0.0,0.0,0.0
83274cfffffffff,560.0,0.0,0.0,0.0
83274dfffffffff,2369.0,0.0,0.0,0.0
83274efffffffff,1173.0,0.0,0.0,0.0
832750fffffffff,112.0,0.0,0.0,0.0
832751fffffffff,314.0,0.0,0.0,0.0
832752fffffffff,2154.0,0.0,0.0,0.0
832753fffffffff,271.0,0.0,0.0,0.0
832754fffffffff,232.0,0.0,0.0,0.0
832755fffffffff,121.0,0.0,0.0,0.0
832756fffffffff,201.0,0.0,0.0,0.0
832758fffffffff,2577.0,0.0,0.0,0.0
832759fffffffff,5563.0,0.0,0.0,0.0
83275afffffffff,125.0,0.0,0.0,0.0
83275bfffffffff,423.0,0.0,0.0,0.0
83275cfffffffff,1237.0,0.0,0.0,0.0
83275dfffffffff,2899.0,0.0,0.0,0.0
83275efffffffff,275.0,0.0,0.0,0.0
832763fffffffff,7.0,0.0,0.0,0.0
832768fffffffff,94.0,0.0,0.0,0.0
832769fffffffff,463.0,0.0,0.0,0.0
83276afffffffff,314.0,0.0,0.0,0.0
83276bfffffffff,1995.0,0.0,0.0,0.0
83276cfffffffff,7.0,0.0,0.0,0.0
83276dfffffffff,363.0,0.0,0.0,0.0
83276efffffffff,68.0,0.0,0.0,0.0
832770fffffffff,2.0,0.0,0.0,0.0
832771fffffffff,6.0,0.0,0.0,0.0
832772fffffffff,1.0,0.0,0.0,0.0
