cell_id,Euplectes macroura,Euplectes macroura macrocercus,Euplectes macroura macroura/conradsi
8452825ffffffff,2.0,0.0,0.0
845291bffffffff,11.0,0.0,0.0
845299bffffffff,2.0,0.0,0.0
84529b1ffffffff,2.0,0.0,0.0
84529b5ffffffff,3.0,0.0,0.0
84529b7ffffffff,8.0,0.0,0.0
84529b9ffffffff,9.0,0.0,0.0
84529e1ffffffff,2.0,0.0,0.0
84529e3ffffffff,3.0,0.0,0.0
84529edffffffff,5.0,0.0,0.0
8454499ffffffff,2.0,0.0,0.0
8454a93ffffffff,1.0,0.0,0.0
8454a9bffffffff,2.0,0.0,0.0
8454e1bffffffff,2.0,0.0,0.0
8454e21ffffffff,1.0,0.0,0.0
8454e25ffffffff,6.0,0.0,0.0
8454e51ffffffff,2.0,0.0,0.0
8454e5bffffffff,4.0,0.0,0.0
8454ed1ffffffff,2.0,0.0,0.0
8454f11ffffffff,2.0,0.0,0.0
8454f1bffffffff,7.0,0.0,0.0
8454f47ffffffff,3.0,0.0,3.0
8454f49ffffffff,1.0,0.0,0.0
8454f4dffffffff,5.0,0.0,0.0
8454f51ffffffff,6.0,0.0,0.0
8454f6bffffffff,3.0,0.0,0.0
8458839ffffffff,2.0,0.0,0.0
8458861ffffffff,2.0,0.0,0.0
84588b5ffffffff,1.0,0.0,0.0
8458901ffffffff,1.0,0.0,0.0
845890bffffffff,2.0,0.0,0.0
845890dffffffff,6.0,0.0,0.0
8458919ffffffff,1.0,0.0,0.0
8458941ffffffff,1.0,0.0,0.0
8458943ffffffff,2.0,0.0,0.0
845894bffffffff,4.0,0.0,0.0
8458951ffffffff,1.0,0.0,0.0
845895bffffffff,2.0,0.0,0.0
8458969ffffffff,16.0,0.0,0.0
845896bffffffff,4.0,0.0,0.0
8458a4dffffffff,7.0,0.0,0.0
8458b35ffffffff,4.0,0.0,0.0
8458b37ffffffff,2.0,0.0,0.0
8458b51ffffffff,6.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0
8458d13ffffffff,2.0,0.0,0.0
8458d27ffffffff,1.0,0.0,0.0
8458de3ffffffff,2.0,0.0,0.0
8458debffffffff,20.0,0.0,0.0
8458e2dffffffff,35.0,0.0,0.0
8458f09ffffffff,1.0,0.0,0.0
8458f6bffffffff,1.0,0.0,0.0
84599abffffffff,1.0,0.0,0.0
