cell_id,Garrulus glandarius,Garrulus glandarius [glandarius Group],Garrulus glandarius [atricapillus Group],Garrulus glandarius [cervicalis Group],Garrulus glandarius hyrcanus,Garrulus glandarius [brandtii Group],Garrulus glandarius [bispecularis Group],Garrulus glandarius leucotis/oatesi,Garrulus glandarius [japonicus Group]
8401265ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840134bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840135bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408065ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840811dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408123ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408127ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408129ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840812dffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408133ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408149ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408151ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408159ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840815bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840819dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84081e1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84081e5ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84081ebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840829bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408331ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408801ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408805ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408809ffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840880bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840880dffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8408829ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
840882dffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
