cell_id,Pteroglossus torquatus,Pteroglossus torquatus [torquatus Group],Pteroglossus torquatus sanguineus,Pteroglossus torquatus erythropygius
824507fffffffff,295.0,0.0,0.0,0.0
82450ffffffffff,1548.0,78.0,0.0,0.0
824527fffffffff,4862.0,79.0,0.0,0.0
82452ffffffffff,12538.0,753.0,0.0,0.0
824537fffffffff,1459.0,0.0,0.0,0.0
824577fffffffff,8.0,1.0,0.0,0.0
824997fffffffff,342.0,8.0,0.0,0.0
826607fffffffff,110.0,0.0,0.0,0.0
82660ffffffffff,1848.0,25.0,0.0,0.0
826617fffffffff,3802.0,334.0,12.0,0.0
82661ffffffffff,2371.0,64.0,77.0,0.0
826627fffffffff,751.0,76.0,0.0,0.0
82662ffffffffff,60.0,0.0,0.0,0.0
8266a7fffffffff,6422.0,458.0,0.0,0.0
8266affffffffff,1.0,0.0,0.0,0.0
8266b7fffffffff,3574.0,8.0,0.0,0.0
8266d7fffffffff,6511.0,0.0,223.0,2444.0
8266e7fffffffff,794.0,17.0,0.0,0.0
8266f7fffffffff,2198.0,0.0,395.0,0.0
826747fffffffff,2.0,0.0,0.0,0.0
826757fffffffff,2.0,0.0,0.0,0.0
82675ffffffffff,60.0,2.0,0.0,0.0
826797fffffffff,205.0,0.0,0.0,0.0
82679ffffffffff,3850.0,10.0,0.0,0.0
826d07fffffffff,122.0,19.0,0.0,0.0
826d27fffffffff,480.0,40.0,0.0,0.0
826d2ffffffffff,2434.0,259.0,0.0,0.0
826d37fffffffff,550.0,39.0,0.0,0.0
826d67fffffffff,1525.0,0.0,0.0,0.0
826d6ffffffffff,18890.0,0.0,0.0,0.0
826d77fffffffff,553.0,0.0,0.0,0.0
828f0ffffffffff,422.0,0.0,0.0,184.0
828f27fffffffff,15.0,0.0,0.0,0.0
828f2ffffffffff,930.0,0.0,0.0,331.0
828f77fffffffff,19.0,0.0,0.0,2.0
