cell_id,Cecropis daurica,Cecropis daurica [daurica Group],Cecropis daurica [striolata Group]
83149efffffffff,2.0,2.0,0.0
832e61fffffffff,2.0,2.0,0.0
832e63fffffffff,1.0,1.0,0.0
833019fffffffff,1.0,1.0,0.0
83302bfffffffff,2.0,2.0,0.0
833030fffffffff,8.0,8.0,0.0
83308efffffffff,2.0,2.0,0.0
833099fffffffff,1.0,1.0,0.0
83309afffffffff,13.0,13.0,0.0
83309bfffffffff,20.0,20.0,0.0
83309dfffffffff,1.0,1.0,0.0
8331aafffffffff,1.0,1.0,0.0
833c02fffffffff,3.0,3.0,0.0
833c0afffffffff,3.0,3.0,0.0
833c19fffffffff,4.0,4.0,0.0
833c1bfffffffff,10.0,10.0,0.0
833c1cfffffffff,2.0,2.0,0.0
833c33fffffffff,9.0,9.0,0.0
833c53fffffffff,5.0,0.0,0.0
833c58fffffffff,14.0,10.0,4.0
833c59fffffffff,2.0,2.0,0.0
833c5afffffffff,8.0,2.0,6.0
833c8dfffffffff,12.0,12.0,0.0
833ca8fffffffff,25.0,25.0,0.0
833ca9fffffffff,26.0,25.0,0.0
833cabfffffffff,11.0,11.0,0.0
833cc0fffffffff,2.0,2.0,0.0
833cc2fffffffff,2.0,2.0,0.0
833cc4fffffffff,8.0,4.0,4.0
833cc5fffffffff,3.0,0.0,3.0
833cc6fffffffff,2.0,2.0,0.0
833cdcfffffffff,4.0,4.0,0.0
833ce0fffffffff,1.0,1.0,0.0
833ce1fffffffff,28.0,11.0,17.0
833ce5fffffffff,5.0,0.0,1.0
833cecfffffffff,78.0,7.0,71.0
833cedfffffffff,4.0,0.0,4.0
833cf1fffffffff,13.0,13.0,0.0
833cf2fffffffff,92.0,92.0,0.0
833cf4fffffffff,16.0,16.0,0.0
833cf6fffffffff,6.0,6.0,0.0
833d10fffffffff,3.0,3.0,0.0
833d13fffffffff,11.0,11.0,0.0
833d15fffffffff,2.0,2.0,0.0
833d32fffffffff,1.0,1.0,0.0
833d33fffffffff,7.0,7.0,0.0
833d8cfffffffff,4.0,4.0,0.0
833d9afffffffff,4.0,4.0,0.0
833d9efffffffff,6.0,6.0,0.0
833da1fffffffff,6.0,6.0,0.0
833da3fffffffff,2.0,0.0,0.0
833da8fffffffff,4.0,4.0,0.0
833dacfffffffff,3.0,3.0,0.0
833dadfffffffff,5.0,2.0,0.0
83411cfffffffff,1.0,1.0,0.0
834154fffffffff,3.0,3.0,0.0
83416bfffffffff,2.0,0.0,2.0
834173fffffffff,2.0,2.0,0.0
834185fffffffff,1.0,1.0,0.0
834192fffffffff,2.0,2.0,0.0
8341a0fffffffff,5.0,5.0,0.0
8341a4fffffffff,5.0,0.0,0.0
8341a5fffffffff,24.0,20.0,0.0
8341b4fffffffff,19.0,19.0,0.0
8341b5fffffffff,1.0,1.0,0.0
8342c0fffffffff,2.0,2.0,0.0
8342c1fffffffff,6.0,6.0,0.0
8342c2fffffffff,10.0,10.0,0.0
8342c4fffffffff,1.0,1.0,0.0
8342ccfffffffff,4.0,4.0,0.0
8342cdfffffffff,4.0,4.0,0.0
8342cefffffffff,4.0,4.0,0.0
8342d9fffffffff,5.0,5.0,0.0
8342dbfffffffff,11.0,11.0,0.0
8342dcfffffffff,4.0,4.0,0.0
8342ddfffffffff,4.0,4.0,0.0
834b84fffffffff,19.0,0.0,16.0
834b86fffffffff,33.0,11.0,3.0
834ba0fffffffff,19.0,10.0,9.0
834ba1fffffffff,25.0,21.0,0.0
834ba2fffffffff,85.0,1.0,84.0
834ba3fffffffff,4.0,4.0,0.0
834ba5fffffffff,30.0,14.0,2.0
834bb1fffffffff,40.0,0.0,36.0
834bb5fffffffff,62.0,13.0,47.0
834ec9fffffffff,1.0,1.0,0.0
836002fffffffff,55.0,55.0,0.0
836004fffffffff,3.0,3.0,0.0
836006fffffffff,25.0,25.0,0.0
836011fffffffff,17.0,17.0,0.0
836014fffffffff,11.0,11.0,0.0
836015fffffffff,19.0,19.0,0.0
836016fffffffff,5.0,5.0,0.0
83601efffffffff,1.0,1.0,0.0
836022fffffffff,57.0,57.0,0.0
836026fffffffff,16.0,16.0,0.0
836031fffffffff,147.0,147.0,0.0
836032fffffffff,2.0,2.0,0.0
836033fffffffff,137.0,137.0,0.0
836035fffffffff,86.0,86.0,0.0
836088fffffffff,29.0,29.0,0.0
83608afffffffff,5.0,5.0,0.0
83608bfffffffff,2.0,2.0,0.0
83608efffffffff,4.0,4.0,0.0
836092fffffffff,7.0,7.0,0.0
