cell_id,Cinnyris venustus,Cinnyris venustus [venustus Group],Cinnyris venustus igneiventris,Cinnyris venustus albiventris
8452803ffffffff,2.0,0.0,0.0,0.0
845280dffffffff,4.0,0.0,0.0,0.0
845281dffffffff,2.0,0.0,0.0,0.0
8452827ffffffff,1.0,0.0,0.0,0.0
8452831ffffffff,32.0,5.0,0.0,0.0
8452857ffffffff,4.0,0.0,0.0,0.0
845285dffffffff,2.0,2.0,0.0,0.0
8452867ffffffff,8.0,2.0,0.0,0.0
84528a5ffffffff,2.0,0.0,0.0,0.0
845291bffffffff,13.0,0.0,0.0,0.0
8452933ffffffff,3.0,0.0,0.0,0.0
8452997ffffffff,5.0,0.0,0.0,0.0
84529b5ffffffff,44.0,5.0,0.0,0.0
84529b7ffffffff,6.0,0.0,0.0,0.0
84529b9ffffffff,221.0,45.0,0.0,2.0
84529d3ffffffff,2.0,0.0,0.0,0.0
84529dbffffffff,6.0,0.0,0.0,0.0
84529e1ffffffff,2.0,0.0,0.0,0.0
84529e3ffffffff,2.0,2.0,0.0,0.0
84529edffffffff,11.0,3.0,0.0,3.0
8452aadffffffff,2.0,0.0,0.0,0.0
8452ca9ffffffff,1.0,0.0,0.0,1.0
8452d33ffffffff,5.0,0.0,0.0,2.0
8452d37ffffffff,1.0,0.0,0.0,0.0
8452de9ffffffff,1.0,0.0,0.0,1.0
8454139ffffffff,2.0,0.0,0.0,0.0
845413bffffffff,9.0,0.0,0.0,0.0
8454195ffffffff,2.0,2.0,0.0,0.0
8454197ffffffff,3.0,0.0,0.0,0.0
845419bffffffff,1.0,0.0,0.0,0.0
84541a3ffffffff,34.0,7.0,0.0,0.0
84541a5ffffffff,35.0,5.0,0.0,0.0
84541adffffffff,9.0,0.0,0.0,0.0
84541b9ffffffff,7.0,6.0,0.0,0.0
84541bdffffffff,4.0,0.0,0.0,0.0
8454a93ffffffff,317.0,35.0,0.0,0.0
8454a9bffffffff,99.0,19.0,0.0,0.0
8454ac3ffffffff,38.0,5.0,0.0,0.0
8454ad5ffffffff,3.0,0.0,0.0,0.0
8454addffffffff,11.0,3.0,0.0,0.0
8454c51ffffffff,2.0,0.0,0.0,0.0
8454c5bffffffff,2.0,0.0,0.0,0.0
8454cc1ffffffff,1.0,0.0,0.0,0.0
8454cc3ffffffff,2.0,0.0,0.0,0.0
8454e05ffffffff,2.0,0.0,0.0,0.0
8454e21ffffffff,6.0,0.0,0.0,0.0
8454e25ffffffff,7.0,0.0,0.0,0.0
8454e31ffffffff,2.0,0.0,0.0,0.0
8454e41ffffffff,4.0,0.0,0.0,0.0
8454e4dffffffff,5.0,0.0,0.0,0.0
8454e51ffffffff,8.0,1.0,0.0,0.0
8454ea5ffffffff,8.0,0.0,0.0,0.0
8454eadffffffff,1.0,0.0,0.0,0.0
8454f0bffffffff,5.0,0.0,0.0,0.0
8454f15ffffffff,11.0,0.0,0.0,0.0
8454f17ffffffff,1.0,0.0,0.0,0.0
8454f1bffffffff,2.0,0.0,0.0,0.0
8454f3bffffffff,1.0,0.0,0.0,0.0
8454f43ffffffff,2.0,0.0,0.0,0.0
8454f45ffffffff,3.0,0.0,0.0,0.0
8454f47ffffffff,8.0,4.0,0.0,0.0
8454f49ffffffff,36.0,4.0,0.0,0.0
8454f4dffffffff,136.0,11.0,0.0,0.0
8454f57ffffffff,5.0,0.0,0.0,0.0
8454f6bffffffff,6.0,0.0,0.0,0.0
84580bdffffffff,2.0,0.0,0.0,0.0
84585a9ffffffff,1.0,0.0,0.0,0.0
8458839ffffffff,1.0,0.0,0.0,0.0
8458861ffffffff,4.0,0.0,0.0,0.0
84588d3ffffffff,2.0,0.0,0.0,0.0
8458901ffffffff,10.0,3.0,0.0,0.0
845890bffffffff,16.0,0.0,0.0,0.0
845890dffffffff,29.0,0.0,0.0,0.0
845891dffffffff,3.0,0.0,0.0,0.0
8458943ffffffff,2.0,0.0,0.0,0.0
845894bffffffff,4.0,0.0,0.0,0.0
845894dffffffff,11.0,0.0,0.0,0.0
8458951ffffffff,2.0,0.0,0.0,0.0
8458959ffffffff,2.0,0.0,0.0,0.0
845895bffffffff,1.0,1.0,0.0,0.0
8458963ffffffff,17.0,0.0,0.0,0.0
8458969ffffffff,3.0,0.0,0.0,0.0
84589c9ffffffff,1.0,0.0,0.0,0.0
8458a4dffffffff,2.0,2.0,0.0,0.0
8458a65ffffffff,2.0,0.0,0.0,0.0
8458c3dffffffff,3.0,0.0,0.0,0.0
8458c8bffffffff,1.0,0.0,0.0,0.0
8458cd9ffffffff,2.0,0.0,0.0,0.0
8458d1bffffffff,2.0,0.0,0.0,0.0
8458d1dffffffff,1.0,0.0,0.0,0.0
8458de3ffffffff,3.0,0.0,0.0,0.0
8458debffffffff,8.0,0.0,0.0,0.0
8458e2dffffffff,77.0,0.0,0.0,0.0
8458e67ffffffff,73.0,0.0,0.0,0.0
8458e95ffffffff,1.0,1.0,0.0,0.0
8458f1dffffffff,1.0,0.0,0.0,0.0
8458f47ffffffff,1.0,1.0,0.0,0.0
8458f5bffffffff,31.0,0.0,0.0,0.0
8458f6bffffffff,2.0,0.0,0.0,0.0
84599e5ffffffff,5.0,5.0,0.0,0.0
846a4a3ffffffff,2.0,0.0,0.0,0.0
846a4bbffffffff,3.0,0.0,0.0,0.0
846a4c3ffffffff,1.0,0.0,0.0,0.0
846a4d3ffffffff,4.0,2.0,0.0,0.0
846a581ffffffff,22.0,0.0,0.0,0.0
846a587ffffffff,13.0,0.0,0.0,0.0
846a5bbffffffff,5.0,0.0,0.0,0.0
846a619ffffffff,3.0,3.0,0.0,0.0
846a697ffffffff,12.0,3.0,0.0,0.0
846a6b1ffffffff,1.0,1.0,0.0,0.0
846a6d9ffffffff,3.0,0.0,0.0,0.0
846ac03ffffffff,23.0,0.0,0.0,0.0
846ac15ffffffff,76.0,0.0,8.0,0.0
846ac17ffffffff,1.0,0.0,0.0,0.0
846ac19ffffffff,8.0,0.0,0.0,0.0
846ac31ffffffff,10.0,0.0,0.0,0.0
846ac33ffffffff,2.0,0.0,0.0,0.0
846ac35ffffffff,6.0,0.0,1.0,0.0
846ac37ffffffff,1.0,0.0,0.0,0.0
846ac3dffffffff,19.0,0.0,0.0,0.0
846ac81ffffffff,8.0,0.0,2.0,0.0
846ac89ffffffff,92.0,3.0,2.0,0.0
846ac8dffffffff,3.0,0.0,0.0,0.0
846ac93ffffffff,23.0,0.0,0.0,0.0
846ac9bffffffff,19.0,4.0,0.0,0.0
846acc3ffffffff,17.0,0.0,0.0,0.0
846acc7ffffffff,2.0,0.0,0.0,0.0
846accbffffffff,2.0,0.0,2.0,0.0
846acd5ffffffff,22.0,0.0,4.0,0.0
846ace1ffffffff,3.0,0.0,0.0,0.0
846ace5ffffffff,66.0,0.0,0.0,0.0
846ace7ffffffff,3.0,0.0,3.0,0.0
846acebffffffff,3.0,0.0,0.0,0.0
846ad81ffffffff,96.0,13.0,4.0,0.0
846ad83ffffffff,7.0,3.0,0.0,0.0
