cell_id,Puffinus subalaris,Puffinus subalaris (Dark-winged),Puffinus subalaris (Light-winged)
844830dffffffff,10.0,0.0,0.0
8448341ffffffff,3.0,0.0,0.0
8448345ffffffff,1.0,0.0,0.0
8448347ffffffff,2.0,0.0,0.0
844834dffffffff,7.0,0.0,0.0
8448361ffffffff,3.0,0.0,0.0
8448363ffffffff,5.0,0.0,0.0
844836bffffffff,12.0,0.0,0.0
8449a3dffffffff,1.0,0.0,0.0
8449a93ffffffff,12.0,0.0,0.0
8449ad5ffffffff,2.0,0.0,0.0
8449b41ffffffff,3.0,0.0,0.0
8466125ffffffff,3.0,0.0,0.0
846612dffffffff,3.0,0.0,0.0
8466849ffffffff,18.0,0.0,0.0
846684dffffffff,2.0,0.0,2.0
8466859ffffffff,1.0,0.0,0.0
8466999ffffffff,1.0,0.0,0.0
8466a13ffffffff,2.0,0.0,0.0
8466a17ffffffff,8.0,0.0,0.0
8466a27ffffffff,15.0,0.0,0.0
8466a35ffffffff,7.0,0.0,0.0
8466a37ffffffff,5.0,0.0,0.0
8466a53ffffffff,5.0,0.0,2.0
8466acbffffffff,17.0,0.0,17.0
8466ae5ffffffff,4.0,0.0,2.0
8466ae9ffffffff,15.0,0.0,3.0
8466aedffffffff,15.0,0.0,3.0
8466b01ffffffff,13.0,0.0,0.0
8466b03ffffffff,3.0,0.0,0.0
8466b05ffffffff,29.0,0.0,0.0
8466b07ffffffff,1.0,0.0,0.0
8466b09ffffffff,6.0,0.0,0.0
8466b0dffffffff,23.0,0.0,0.0
8466b11ffffffff,9.0,0.0,3.0
8466b13ffffffff,4.0,0.0,0.0
8466b3dffffffff,2.0,0.0,0.0
8466b45ffffffff,5.0,0.0,0.0
8466b47ffffffff,4.0,0.0,0.0
8466b61ffffffff,7.0,0.0,0.0
8466b63ffffffff,7.0,0.0,0.0
8466b65ffffffff,64.0,0.0,0.0
8466b6bffffffff,7.0,0.0,0.0
8466b6dffffffff,77.0,0.0,0.0
846c53bffffffff,6.0,0.0,0.0
846c581ffffffff,1.0,0.0,0.0
846c583ffffffff,3.0,0.0,0.0
846c585ffffffff,7.0,0.0,0.0
846c587ffffffff,116.0,0.0,0.0
846c58bffffffff,41.0,0.0,18.0
846c591ffffffff,4.0,0.0,0.0
846c593ffffffff,534.0,4.0,56.0
846c595ffffffff,766.0,27.0,96.0
846c597ffffffff,464.0,5.0,79.0
846c59dffffffff,13.0,0.0,12.0
846c5a1ffffffff,19.0,0.0,8.0
846c5a3ffffffff,26.0,7.0,3.0
846c5a9ffffffff,43.0,4.0,4.0
846c5abffffffff,652.0,105.0,110.0
846c5b1ffffffff,82.0,0.0,15.0
846c5b3ffffffff,113.0,0.0,31.0
846c5b5ffffffff,188.0,51.0,23.0
846c5b7ffffffff,47.0,10.0,9.0
846c5b9ffffffff,410.0,9.0,34.0
846c5bbffffffff,234.0,7.0,4.0
846c5bdffffffff,142.0,9.0,11.0
846c5d7ffffffff,432.0,3.0,118.0
846c5e3ffffffff,3.0,0.0,0.0
846c5edffffffff,6.0,0.0,0.0
846d009ffffffff,2.0,0.0,0.0
846d103ffffffff,1.0,0.0,0.0
846d141ffffffff,6.0,0.0,0.0
846d151ffffffff,6.0,0.0,0.0
846d159ffffffff,264.0,0.0,0.0
846d15dffffffff,21.0,0.0,0.0
846d16dffffffff,3.0,0.0,0.0
846d41dffffffff,1.0,0.0,0.0
846d467ffffffff,2.0,0.0,0.0
846d491ffffffff,8.0,0.0,0.0
846d499ffffffff,5.0,0.0,0.0
846d49dffffffff,6.0,0.0,0.0
846d4d3ffffffff,1.0,0.0,0.0
846d4d9ffffffff,1.0,0.0,0.0
846d543ffffffff,1.0,0.0,0.0
846d549ffffffff,1.0,0.0,0.0
846d685ffffffff,8.0,0.0,0.0
846d68dffffffff,2.0,0.0,0.0
846d695ffffffff,76.0,0.0,0.0
846d697ffffffff,1.0,0.0,0.0
846d6a5ffffffff,1.0,0.0,0.0
846d6abffffffff,10.0,0.0,0.0
846d6b1ffffffff,6.0,0.0,0.0
846d6b3ffffffff,219.0,0.0,0.0
846d6b7ffffffff,5.0,0.0,0.0
846d6bbffffffff,43.0,0.0,0.0
846d6e3ffffffff,1.0,0.0,0.0
846d6ebffffffff,1.0,0.0,0.0
846d6edffffffff,2.0,0.0,0.0
846d709ffffffff,17.0,0.0,0.0
846d70bffffffff,4.0,0.0,0.0
846d70dffffffff,22.0,0.0,0.0
846d747ffffffff,73.0,0.0,0.0
846d763ffffffff,4.0,0.0,0.0
848fa45ffffffff,14.0,0.0,0.0
848fa4dffffffff,84.0,0.0,5.0
848fa61ffffffff,13.0,0.0,10.0
848fa65ffffffff,38.0,0.0,0.0
848fa69ffffffff,138.0,0.0,43.0
848fa6bffffffff,527.0,5.0,123.0
848fa6dffffffff,344.0,9.0,66.0
848fb29ffffffff,1.0,0.0,0.0
848fb4bffffffff,7.0,0.0,0.0
