cell_id,Chalcites lucidus,Chalcites lucidus harterti,Chalcites lucidus layardi,Chalcites lucidus lucidus,Chalcites lucidus plagosus
8372a2fffffffff,2.0,0.0,0.0,0.0,0.0
8372d2fffffffff,3.0,0.0,0.0,0.0,0.0
8372dafffffffff,1.0,0.0,0.0,0.0,0.0
8372f2fffffffff,3.0,0.0,0.0,0.0,0.0
83739afffffffff,9.0,0.0,0.0,0.0,0.0
83739bfffffffff,2.0,0.0,0.0,0.0,0.0
837699fffffffff,2.0,0.0,0.0,0.0,0.0
839421fffffffff,3.0,0.0,0.0,0.0,0.0
839423fffffffff,5.0,0.0,0.0,0.0,2.0
839512fffffffff,3.0,0.0,0.0,0.0,0.0
839518fffffffff,5.0,0.0,0.0,0.0,0.0
8395a9fffffffff,4.0,0.0,0.0,0.0,0.0
839c01fffffffff,1.0,0.0,0.0,0.0,0.0
839c05fffffffff,12.0,0.0,0.0,0.0,2.0
839c19fffffffff,10.0,0.0,0.0,0.0,2.0
839c20fffffffff,11.0,0.0,0.0,0.0,0.0
839c21fffffffff,157.0,0.0,0.0,0.0,16.0
839c23fffffffff,659.0,0.0,0.0,0.0,69.0
839c25fffffffff,36.0,0.0,0.0,0.0,0.0
839c2cfffffffff,1.0,0.0,0.0,0.0,0.0
839c74fffffffff,4.0,0.0,0.0,0.0,0.0
839c90fffffffff,28.0,0.0,0.0,0.0,0.0
839c9dfffffffff,1.0,0.0,0.0,0.0,0.0
839ca6fffffffff,1.0,0.0,0.0,0.0,0.0
839caafffffffff,1.0,0.0,0.0,0.0,0.0
839caefffffffff,7.0,0.0,0.0,0.0,0.0
839cd3fffffffff,3.0,0.0,0.0,0.0,0.0
839ce4fffffffff,1.0,0.0,0.0,0.0,0.0
839cf1fffffffff,2.0,0.0,0.0,0.0,2.0
839cf3fffffffff,5.0,0.0,0.0,0.0,0.0
839cf5fffffffff,2.0,0.0,0.0,0.0,2.0
839d01fffffffff,14.0,0.0,0.0,0.0,0.0
839d0bfffffffff,12.0,0.0,0.0,0.0,0.0
839d0cfffffffff,48.0,0.0,0.0,0.0,1.0
839d0efffffffff,4.0,0.0,0.0,0.0,0.0
839d21fffffffff,25.0,0.0,0.0,0.0,2.0
839d25fffffffff,37.0,0.0,0.0,0.0,4.0
839d2afffffffff,6.0,0.0,0.0,0.0,0.0
839d2cfffffffff,2.0,0.0,0.0,0.0,0.0
839d2dfffffffff,2.0,0.0,0.0,0.0,0.0
839d4afffffffff,4.0,0.0,0.0,0.0,0.0
839d5afffffffff,1.0,0.0,0.0,0.0,1.0
839e06fffffffff,7.0,0.0,0.0,0.0,0.0
839e10fffffffff,4.0,0.0,0.0,0.0,0.0
839e11fffffffff,1.0,0.0,0.0,0.0,0.0
839e13fffffffff,6.0,0.0,0.0,0.0,0.0
839e22fffffffff,1.0,0.0,0.0,0.0,0.0
839ec0fffffffff,1.0,0.0,0.0,0.0,1.0
839edafffffffff,4.0,0.0,0.0,0.0,0.0
839f50fffffffff,9.0,0.0,6.0,0.0,0.0
839f51fffffffff,29.0,0.0,17.0,0.0,0.0
839f52fffffffff,9.0,0.0,5.0,0.0,0.0
839f53fffffffff,1.0,0.0,1.0,0.0,0.0
839f54fffffffff,2.0,0.0,2.0,0.0,0.0
839f55fffffffff,29.0,0.0,10.0,0.0,0.0
83a71dfffffffff,4.0,0.0,0.0,0.0,0.0
83a722fffffffff,3.0,0.0,0.0,0.0,0.0
83a726fffffffff,258.0,0.0,0.0,0.0,13.0
83a730fffffffff,2.0,0.0,0.0,0.0,0.0
83a733fffffffff,2.0,0.0,0.0,0.0,0.0
83a735fffffffff,34.0,0.0,0.0,0.0,0.0
83b865fffffffff,10.0,0.0,0.0,0.0,0.0
83b86dfffffffff,2.0,0.0,0.0,0.0,0.0
83b911fffffffff,4.0,0.0,0.0,0.0,0.0
83b912fffffffff,2.0,0.0,0.0,0.0,0.0
83b914fffffffff,10.0,0.0,0.0,0.0,0.0
83b915fffffffff,3.0,0.0,0.0,0.0,0.0
83b916fffffffff,19.0,0.0,0.0,0.0,0.0
83b959fffffffff,5.0,0.0,0.0,0.0,0.0
83ba24fffffffff,8.0,0.0,0.0,0.0,0.0
83ba69fffffffff,5.0,0.0,0.0,0.0,0.0
83bb08fffffffff,118.0,0.0,0.0,0.0,0.0
83bb09fffffffff,258.0,0.0,0.0,0.0,0.0
83bb0afffffffff,5.0,0.0,0.0,0.0,0.0
83bb0bfffffffff,29.0,0.0,0.0,0.0,0.0
83bb0cfffffffff,116.0,0.0,0.0,0.0,0.0
83bb0dfffffffff,320.0,0.0,0.0,0.0,0.0
83bb28fffffffff,24.0,0.0,0.0,0.0,0.0
83bb29fffffffff,574.0,0.0,0.0,0.0,0.0
83bb2bfffffffff,614.0,0.0,0.0,0.0,0.0
83bb2dfffffffff,77.0,0.0,0.0,0.0,0.0
83bb50fffffffff,356.0,0.0,0.0,0.0,0.0
83bb51fffffffff,31.0,0.0,0.0,0.0,0.0
83bb52fffffffff,130.0,0.0,0.0,0.0,0.0
83bb53fffffffff,157.0,0.0,0.0,0.0,0.0
83bb54fffffffff,87.0,0.0,0.0,0.0,0.0
83bb56fffffffff,65.0,0.0,0.0,0.0,0.0
83bb5efffffffff,44.0,0.0,0.0,0.0,0.0
83bb70fffffffff,1.0,0.0,0.0,0.0,0.0
83bb72fffffffff,67.0,0.0,0.0,0.0,0.0
83bb74fffffffff,80.0,0.0,0.0,0.0,0.0
83bb76fffffffff,35.0,0.0,0.0,0.0,0.0
83be08fffffffff,718.0,0.0,0.0,13.0,0.0
83be09fffffffff,18.0,0.0,0.0,0.0,0.0
83be0afffffffff,106.0,0.0,0.0,0.0,0.0
83be0bfffffffff,48.0,0.0,0.0,0.0,0.0
83be0cfffffffff,370.0,0.0,0.0,0.0,3.0
83be0dfffffffff,225.0,0.0,0.0,0.0,2.0
83be0efffffffff,73.0,0.0,0.0,0.0,0.0
83be18fffffffff,215.0,0.0,0.0,2.0,0.0
83be19fffffffff,62.0,0.0,0.0,0.0,0.0
83be1afffffffff,46.0,0.0,0.0,0.0,0.0
83be1bfffffffff,29.0,0.0,0.0,0.0,0.0
83be1dfffffffff,169.0,0.0,0.0,0.0,0.0
83be29fffffffff,67.0,0.0,0.0,0.0,0.0
83be40fffffffff,97.0,0.0,0.0,0.0,10.0
83be44fffffffff,210.0,0.0,0.0,0.0,19.0
83be45fffffffff,194.0,0.0,0.0,0.0,11.0
83be46fffffffff,5.0,0.0,0.0,0.0,2.0
83be48fffffffff,1.0,0.0,0.0,0.0,0.0
83be49fffffffff,33.0,0.0,0.0,0.0,0.0
83be4cfffffffff,40.0,0.0,0.0,0.0,8.0
83be4dfffffffff,16.0,0.0,0.0,0.0,0.0
83be4efffffffff,7.0,0.0,0.0,0.0,4.0
83be50fffffffff,3.0,0.0,0.0,0.0,0.0
83be53fffffffff,18.0,0.0,0.0,0.0,0.0
83be54fffffffff,13.0,0.0,0.0,0.0,0.0
83be55fffffffff,21.0,0.0,0.0,0.0,0.0
83be56fffffffff,28.0,0.0,0.0,0.0,0.0
83be60fffffffff,165.0,0.0,0.0,0.0,14.0
83be61fffffffff,71.0,0.0,0.0,0.0,7.0
83be62fffffffff,248.0,0.0,0.0,0.0,13.0
83be63fffffffff,1264.0,0.0,0.0,0.0,54.0
83be66fffffffff,76.0,0.0,0.0,0.0,5.0
83be68fffffffff,41.0,0.0,0.0,0.0,2.0
83be69fffffffff,23.0,0.0,0.0,0.0,0.0
83be6afffffffff,58.0,0.0,0.0,0.0,11.0
83be6bfffffffff,37.0,0.0,0.0,0.0,6.0
83be6efffffffff,74.0,0.0,0.0,0.0,1.0
83be70fffffffff,3.0,0.0,0.0,0.0,0.0
83be71fffffffff,184.0,0.0,0.0,0.0,6.0
83be72fffffffff,661.0,0.0,0.0,0.0,5.0
83be73fffffffff,6.0,0.0,0.0,0.0,1.0
83be74fffffffff,435.0,0.0,0.0,0.0,51.0
83be75fffffffff,175.0,0.0,0.0,0.0,16.0
83be76fffffffff,49.0,0.0,0.0,0.0,0.0
83be88fffffffff,266.0,0.0,0.0,5.0,20.0
83be89fffffffff,105.0,0.0,0.0,0.0,2.0
83be8bfffffffff,24.0,0.0,0.0,0.0,0.0
83be8dfffffffff,3366.0,0.0,0.0,34.0,124.0
83bea9fffffffff,356.0,0.0,0.0,0.0,7.0
83beabfffffffff,584.0,0.0,0.0,0.0,13.0
83bec4fffffffff,2.0,0.0,0.0,0.0,0.0
83bec5fffffffff,2.0,0.0,0.0,0.0,0.0
83bec6fffffffff,4.0,0.0,0.0,0.0,0.0
83becefffffffff,1.0,0.0,0.0,0.0,0.0
83bed0fffffffff,1.0,0.0,0.0,0.0,0.0
83bed3fffffffff,2.0,0.0,0.0,0.0,0.0
83bed4fffffffff,9.0,0.0,0.0,0.0,0.0
83bed5fffffffff,9.0,0.0,0.0,0.0,0.0
83bed6fffffffff,2.0,0.0,0.0,0.0,0.0
83bedcfffffffff,6.0,0.0,0.0,0.0,0.0
83beddfffffffff,2.0,0.0,0.0,0.0,0.0
83bedefffffffff,28.0,0.0,0.0,0.0,2.0
83bee0fffffffff,61.0,0.0,0.0,0.0,0.0
83bee1fffffffff,1.0,0.0,0.0,0.0,0.0
83bee2fffffffff,13.0,0.0,0.0,0.0,0.0
83bee3fffffffff,1.0,0.0,0.0,0.0,0.0
83bee4fffffffff,18.0,0.0,0.0,0.0,0.0
83bee5fffffffff,3.0,0.0,0.0,0.0,0.0
83bee6fffffffff,24.0,0.0,0.0,0.0,5.0
83bef0fffffffff,111.0,0.0,0.0,0.0,0.0
83bef2fffffffff,95.0,0.0,0.0,0.0,2.0
83bef3fffffffff,12.0,0.0,0.0,0.0,0.0
83bef4fffffffff,25.0,0.0,0.0,0.0,0.0
83bef6fffffffff,549.0,0.0,0.0,0.0,33.0
83bf48fffffffff,140.0,0.0,0.0,0.0,21.0
83bf49fffffffff,56.0,0.0,0.0,0.0,5.0
83bf4afffffffff,31.0,0.0,0.0,0.0,10.0
83bf4bfffffffff,367.0,0.0,0.0,0.0,5.0
83bf4cfffffffff,359.0,0.0,0.0,0.0,70.0
83bf4dfffffffff,155.0,0.0,0.0,0.0,25.0
83bf4efffffffff,89.0,0.0,0.0,0.0,11.0
83bf59fffffffff,10.0,0.0,0.0,0.0,0.0
83bf6bfffffffff,400.0,0.0,0.0,0.0,66.0
83c980fffffffff,9.0,0.0,0.0,0.0,6.0
83c982fffffffff,123.0,0.0,0.0,0.0,80.0
83c986fffffffff,101.0,0.0,0.0,0.0,26.0
83c990fffffffff,58.0,0.0,0.0,0.0,2.0
83c991fffffffff,53.0,0.0,0.0,0.0,16.0
