cell_id,Apus barbatus,Apus barbatus sladeniae,Apus barbatus [barbatus Group]
836a58fffffffff,9.0,0.0,0.0
836a5afffffffff,5.0,0.0,0.0
836ac9fffffffff,3.0,0.0,0.0
836adcfffffffff,3.0,0.0,0.0
837a40fffffffff,4.0,0.0,0.0
837a41fffffffff,7.0,0.0,1.0
837a45fffffffff,3.0,0.0,0.0
837a48fffffffff,1.0,0.0,0.0
837a4dfffffffff,2.0,0.0,0.0
837a60fffffffff,13.0,0.0,0.0
837a61fffffffff,3.0,0.0,0.0
837a65fffffffff,7.0,0.0,0.0
837a68fffffffff,2.0,0.0,0.0
837a6afffffffff,1.0,0.0,0.0
837a6bfffffffff,2.0,0.0,0.0
837a6dfffffffff,3.0,0.0,0.0
837a6efffffffff,10.0,0.0,0.0
837b4bfffffffff,1.0,0.0,0.0
8382d0fffffffff,8.0,8.0,0.0
839702fffffffff,2.0,0.0,2.0
839703fffffffff,4.0,0.0,4.0
839711fffffffff,3.0,0.0,3.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd3fffffffff,2.0,0.0,0.0
