cell_id,Actinodura waldeni,Actinodura waldeni daflaensis,Actinodura waldeni [waldeni Group]
823c47fffffffff,25.0,0.0,0.0
823c57fffffffff,411.0,0.0,0.0
823c5ffffffffff,443.0,0.0,0.0
823cdffffffffff,76.0,0.0,0.0
823ceffffffffff,54.0,0.0,0.0
82404ffffffffff,15.0,0.0,0.0
82405ffffffffff,22.0,0.0,0.0
82406ffffffffff,1.0,0.0,0.0
