cell_id,Monticola brevipes,Monticola brevipes brevipes,Monticola brevipes pretoriae
828327fffffffff,26.0,11.0,0.0
82ac87fffffffff,211.0,13.0,0.0
82ac8ffffffffff,18.0,1.0,0.0
82aca7fffffffff,619.0,119.0,0.0
82acaffffffffff,25.0,7.0,0.0
82acb7fffffffff,24.0,0.0,0.0
82ad17fffffffff,2.0,0.0,0.0
82ad87fffffffff,11.0,0.0,0.0
82ad8ffffffffff,33.0,0.0,0.0
82ad9ffffffffff,2.0,0.0,0.0
82ada7fffffffff,17.0,0.0,0.0
82adaffffffffff,2.0,0.0,0.0
82adb7fffffffff,20.0,0.0,0.0
82bc47fffffffff,83.0,21.0,0.0
82bc4ffffffffff,1.0,0.0,0.0
82bc57fffffffff,6.0,1.0,0.0
82bcc7fffffffff,1.0,0.0,0.0
82bcd7fffffffff,3.0,0.0,0.0
82bcdffffffffff,56.0,0.0,2.0
82bceffffffffff,44.0,1.0,0.0
