cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
84074e9ffffffff,2.0,0.0,0.0
8407739ffffffff,2.0,0.0,0.0
8408807ffffffff,1.0,0.0,0.0
840991bffffffff,4.0,0.0,0.0
84182d9ffffffff,1.0,0.0,1.0
841846dffffffff,14.0,0.0,1.0
8418495ffffffff,27.0,0.0,0.0
84184b9ffffffff,1.0,0.0,0.0
8418597ffffffff,3.0,0.0,0.0
84185bbffffffff,2.0,0.0,0.0
8418623ffffffff,2.0,0.0,0.0
841873bffffffff,8.0,6.0,0.0
8419017ffffffff,1.0,0.0,0.0
841901bffffffff,1.0,0.0,0.0
8419083ffffffff,1.0,0.0,0.0
8419089ffffffff,2.0,0.0,0.0
84190a9ffffffff,2.0,0.0,0.0
84190e3ffffffff,3.0,0.0,0.0
8419229ffffffff,5.0,1.0,0.0
8419261ffffffff,5.0,1.0,0.0
8419265ffffffff,2.0,0.0,0.0
8419267ffffffff,12.0,0.0,0.0
8419413ffffffff,2.0,0.0,0.0
8419433ffffffff,2.0,0.0,0.0
841946bffffffff,2.0,0.0,0.0
84194c5ffffffff,9.0,0.0,6.0
84194e9ffffffff,2.0,0.0,2.0
8419511ffffffff,2.0,0.0,0.0
8419517ffffffff,2.0,0.0,2.0
841951bffffffff,1.0,0.0,0.0
8419565ffffffff,7.0,0.0,0.0
8419581ffffffff,2.0,0.0,0.0
84195c1ffffffff,2.0,0.0,0.0
8419689ffffffff,4.0,0.0,0.0
84196ddffffffff,7.0,0.0,0.0
841f09bffffffff,1.0,0.0,0.0
841f0e1ffffffff,1.0,0.0,0.0
841f0edffffffff,3.0,0.0,0.0
841f257ffffffff,2.0,0.0,0.0
841f283ffffffff,2.0,0.0,2.0
841f31bffffffff,1.0,0.0,0.0
841f325ffffffff,2.0,0.0,0.0
841f337ffffffff,2.0,0.0,0.0
8439101ffffffff,97.0,0.0,0.0
8439103ffffffff,12.0,0.0,0.0
8439117ffffffff,4.0,0.0,0.0
8439195ffffffff,12.0,0.0,0.0
84391e3ffffffff,2.0,0.0,0.0
843920dffffffff,9.0,0.0,0.0
8439221ffffffff,5.0,0.0,0.0
8439229ffffffff,6.0,0.0,0.0
8439253ffffffff,4.0,0.0,0.0
843925bffffffff,85.0,0.0,0.0
84392dbffffffff,6.0,0.0,0.0
8439311ffffffff,4.0,0.0,0.0
843931bffffffff,38.0,0.0,0.0
8439331ffffffff,2.0,0.0,0.0
843933bffffffff,23.0,0.0,0.0
8439435ffffffff,2.0,0.0,0.0
8439447ffffffff,2.0,0.0,0.0
843946dffffffff,2.0,0.0,0.0
