cell_id,Aerospiza tachiro,Aerospiza tachiro macroscelides,Aerospiza tachiro toussenelii/canescens,Aerospiza tachiro lopezi,Aerospiza tachiro unduliventer/croizati,Aerospiza tachiro sparsimfasciata,Aerospiza tachiro pembaensis,Aerospiza tachiro tachiro
837acdfffffffff,19.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
837acefffffffff,8.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
837ad9fffffffff,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
837ae8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837ae9fffffffff,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
837aedfffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
837b48fffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b4afffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b4bfffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b59fffffffff,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b5bfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
837b6bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83828dfffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382a3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382a8fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382aafffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382b1fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382b2fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382d0fffffffff,24.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
8382d1fffffffff,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
8382d2fffffffff,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8382d3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8382f2fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838311fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838312fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838313fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838315fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838333fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
838398fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8383acfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8383adfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839600fffffffff,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
839601fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839602fffffffff,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
839603fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839604fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839608fffffffff,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
839609fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83960bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839614fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839615fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839620fffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839621fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839622fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839623fffffffff,18.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
839626fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839628fffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83962afffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83962bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83962cfffffffff,19.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
83962dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83962efffffffff,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
839633fffffffff,29.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
839636fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839666fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839675fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839690fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839692fffffffff,92.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
839693fffffffff,23.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8396a2fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396a5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396a8fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396b0fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396b1fffffffff,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396b4fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396b5fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396b6fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839701fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839702fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839703fffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
839705fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839706fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83970cfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839710fffffffff,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839711fffffffff,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839713fffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839719fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83971bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83971cfffffffff,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
839724fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839728fffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83972cfffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83972dfffffffff,47.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
83972efffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
839735fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839743fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
839745fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83974afffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
83974bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83974efffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839750fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839751fffffffff,60.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
839753fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839754fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839758fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83975cfffffffff,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83975efffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839772fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839783fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839789fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83978dfffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83978efffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839799fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397a3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397a8fffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397aafffffffff,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
8397adfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ac96fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ad32fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83ad36fffffffff,213.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
83bc09fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc19fffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc1bfffffffff,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc41fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc43fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc44fffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
83bc45fffffffff,30.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
83bc46fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc4dfffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc52fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc54fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc68fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc69fffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc6afffffffff,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83bc6bfffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc71fffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc72fffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc73fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc89fffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc99fffffffff,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bc9bfffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bcc6fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83bcd0fffffffff,76.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
83bcd2fffffffff,110.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
83bcd3fffffffff,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
83bcd4fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83bcd5fffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83bcd6fffffffff,38.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
83bcdcfffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
83bce2fffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
83bce6fffffffff,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
83bcf0fffffffff,54.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
83bcf2fffffffff,154.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
83bcf3fffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
83bcf4fffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
83bcf5fffffffff,69.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
83bcf6fffffffff,100.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
