cell_id,Atlapetes albinucha,Atlapetes albinucha albinucha,Atlapetes albinucha [gutturalis Group]
834520fffffffff,101.0,0.0,0.0
834524fffffffff,602.0,0.0,0.0
834525fffffffff,101.0,0.0,22.0
834526fffffffff,241.0,0.0,2.0
834530fffffffff,4.0,0.0,0.0
834534fffffffff,15.0,0.0,0.0
834535fffffffff,88.0,0.0,0.0
834990fffffffff,24.0,0.0,0.0
834991fffffffff,18.0,0.0,0.0
834994fffffffff,2.0,0.0,0.0
834996fffffffff,243.0,65.0,0.0
836608fffffffff,75.0,0.0,0.0
83660bfffffffff,18.0,0.0,0.0
83660cfffffffff,1.0,0.0,0.0
836618fffffffff,468.0,0.0,38.0
836619fffffffff,1503.0,0.0,54.0
83661bfffffffff,2695.0,0.0,301.0
83661dfffffffff,286.0,0.0,36.0
8366a2fffffffff,31.0,0.0,6.0
8366a3fffffffff,39.0,0.0,12.0
8366b4fffffffff,3133.0,0.0,0.0
8366b5fffffffff,1785.0,0.0,169.0
8366c0fffffffff,26.0,0.0,2.0
8366c2fffffffff,18.0,0.0,3.0
8366c4fffffffff,143.0,0.0,0.0
8366c6fffffffff,738.0,0.0,10.0
8366d1fffffffff,19.0,0.0,2.0
8366d5fffffffff,133.0,0.0,2.0
8366e0fffffffff,161.0,0.0,0.0
8366e2fffffffff,70.0,0.0,0.0
8366e3fffffffff,17.0,0.0,0.0
8366e4fffffffff,100.0,0.0,0.0
8366e5fffffffff,20.0,0.0,0.0
8366e6fffffffff,5030.0,0.0,300.0
8366f0fffffffff,25.0,0.0,0.0
8366f1fffffffff,2182.0,0.0,168.0
8366f3fffffffff,5.0,0.0,0.0
8366f5fffffffff,756.0,0.0,8.0
836792fffffffff,2.0,0.0,0.0
83679afffffffff,21.0,0.0,0.0
836d05fffffffff,315.0,0.0,191.0
836d20fffffffff,23.0,3.0,1.0
836d21fffffffff,19.0,3.0,0.0
836d23fffffffff,392.0,97.0,2.0
836d28fffffffff,1049.0,0.0,334.0
836d29fffffffff,1203.0,0.0,362.0
836d2afffffffff,189.0,0.0,98.0
836d2bfffffffff,415.0,0.0,99.0
836d2cfffffffff,8.0,0.0,4.0
836d2dfffffffff,1897.0,0.0,1000.0
836d2efffffffff,47.0,3.0,0.0
836d30fffffffff,132.0,2.0,0.0
836d36fffffffff,68.0,5.0,0.0
836d60fffffffff,100.0,0.0,0.0
836d64fffffffff,1388.0,0.0,111.0
836d65fffffffff,752.0,0.0,52.0
836d66fffffffff,254.0,0.0,0.0
836d69fffffffff,2967.0,0.0,0.0
836d74fffffffff,207.0,0.0,0.0
836d75fffffffff,2.0,0.0,0.0
