cell_id,Ploceus ocularis,Ploceus ocularis crocatus,Ploceus ocularis ocularis/suahelicus
836ac5fffffffff,1.0,1.0,0.0
837a40fffffffff,2.0,0.0,0.0
837a41fffffffff,4.0,0.0,0.0
837a45fffffffff,1.0,0.0,0.0
837a4cfffffffff,2.0,0.0,0.0
837a6afffffffff,8.0,8.0,0.0
837a6efffffffff,6.0,0.0,6.0
837ac8fffffffff,2.0,0.0,0.0
837b4cfffffffff,17.0,0.0,0.0
8382d0fffffffff,2.0,2.0,0.0
8382d2fffffffff,2.0,0.0,0.0
8382d3fffffffff,5.0,5.0,0.0
83972efffffffff,3.0,0.0,0.0
83974afffffffff,1.0,0.0,0.0
839772fffffffff,2.0,0.0,0.0
83bcd0fffffffff,1.0,0.0,1.0
83bcd2fffffffff,3.0,0.0,3.0
