cell_id,Picoides tridactylus,Picoides tridactylus [tridactylus Group],Picoides tridactylus funebris
8304c6fffffffff,1.0,0.0,0.0
830802fffffffff,1.0,0.0,0.0
830810fffffffff,2.0,0.0,0.0
830811fffffffff,1.0,0.0,0.0
830812fffffffff,5.0,0.0,0.0
830813fffffffff,2.0,0.0,0.0
830814fffffffff,2.0,0.0,0.0
830815fffffffff,1.0,0.0,0.0
830819fffffffff,6.0,0.0,0.0
83081efffffffff,4.0,0.0,0.0
830829fffffffff,1.0,0.0,0.0
830880fffffffff,4.0,0.0,0.0
830884fffffffff,9.0,0.0,0.0
830885fffffffff,2.0,0.0,0.0
830886fffffffff,6.0,0.0,0.0
830888fffffffff,4.0,0.0,0.0
83088efffffffff,2.0,0.0,0.0
830899fffffffff,9.0,2.0,0.0
83089afffffffff,4.0,0.0,0.0
83089bfffffffff,1.0,0.0,0.0
83089dfffffffff,6.0,0.0,0.0
8308a3fffffffff,2.0,0.0,0.0
8308a4fffffffff,5.0,0.0,0.0
8308a5fffffffff,3.0,0.0,0.0
8308a6fffffffff,1.0,0.0,0.0
8308a8fffffffff,2.0,0.0,0.0
8308a9fffffffff,3.0,0.0,0.0
8308acfffffffff,2.0,0.0,0.0
8308aefffffffff,2.0,0.0,0.0
8308b1fffffffff,6.0,0.0,0.0
8308c0fffffffff,1.0,0.0,0.0
8308c1fffffffff,7.0,2.0,0.0
8308c2fffffffff,2.0,0.0,0.0
8308c4fffffffff,1.0,0.0,0.0
8308c6fffffffff,1.0,0.0,0.0
8308c8fffffffff,5.0,1.0,0.0
8308c9fffffffff,4.0,0.0,0.0
8308cdfffffffff,2.0,0.0,0.0
8308cefffffffff,2.0,0.0,0.0
8308d1fffffffff,24.0,1.0,0.0
8308d4fffffffff,2.0,0.0,0.0
8308d5fffffffff,16.0,0.0,0.0
8308d8fffffffff,30.0,2.0,0.0
8308e1fffffffff,3.0,0.0,0.0
8308e3fffffffff,3.0,0.0,0.0
8308e4fffffffff,2.0,0.0,0.0
8308e6fffffffff,2.0,0.0,0.0
8308eafffffffff,4.0,0.0,0.0
8308ecfffffffff,2.0,0.0,0.0
8308edfffffffff,2.0,0.0,0.0
8308eefffffffff,1.0,0.0,0.0
8308f0fffffffff,3.0,0.0,0.0
8308f2fffffffff,4.0,0.0,0.0
8308f6fffffffff,6.0,0.0,0.0
830991fffffffff,4.0,0.0,0.0
830999fffffffff,25.0,0.0,0.0
830a33fffffffff,1.0,0.0,0.0
830a91fffffffff,2.0,0.0,0.0
