cell_id,Curruca lugens,Curruca lugens griseiventris,Curruca lugens [lugens Group]
825287fffffffff,2.0,0.0,1.0
825297fffffffff,1.0,0.0,1.0
82529ffffffffff,70.0,0.0,13.0
826a5ffffffffff,2.0,0.0,0.0
826aeffffffffff,1.0,0.0,0.0
827a47fffffffff,59.0,0.0,0.0
827a4ffffffffff,39.0,0.0,0.0
827a67fffffffff,3.0,0.0,0.0
827a6ffffffffff,233.0,0.0,0.0
827ac7fffffffff,2.0,0.0,0.0
827acffffffffff,126.0,33.0,19.0
827aeffffffffff,6.0,0.0,0.0
829697fffffffff,68.0,0.0,0.0
82969ffffffffff,2.0,0.0,0.0
8296a7fffffffff,25.0,0.0,0.0
8296b7fffffffff,5.0,0.0,0.0
82978ffffffffff,2.0,0.0,0.0
8297affffffffff,4.0,0.0,0.0
