cell_id,Dryocopus lineatus,Dryocopus lineatus [lineatus Group],Dryocopus lineatus fuscipennis
8445201ffffffff,3.0,0.0,0.0
8445215ffffffff,1.0,0.0,0.0
8445217ffffffff,1.0,0.0,0.0
844523bffffffff,5.0,5.0,0.0
844525bffffffff,9.0,0.0,0.0
844525dffffffff,3.0,0.0,0.0
844526bffffffff,3.0,0.0,0.0
8445281ffffffff,2.0,0.0,0.0
84452e1ffffffff,2.0,2.0,0.0
8448365ffffffff,1.0,0.0,0.0
8448369ffffffff,1.0,0.0,0.0
8449901ffffffff,1.0,0.0,0.0
8449913ffffffff,3.0,0.0,0.0
8449937ffffffff,1.0,0.0,0.0
8449963ffffffff,8.0,2.0,0.0
8449965ffffffff,6.0,0.0,0.0
8449969ffffffff,2.0,0.0,0.0
8449987ffffffff,12.0,0.0,0.0
84499c5ffffffff,1.0,0.0,0.0
845f299ffffffff,4.0,4.0,0.0
845f42bffffffff,1.0,1.0,0.0
846610bffffffff,4.0,0.0,0.0
8466153ffffffff,3.0,0.0,0.0
846619dffffffff,8.0,0.0,0.0
8466205ffffffff,1.0,1.0,0.0
8466415ffffffff,3.0,3.0,0.0
846641dffffffff,5.0,5.0,0.0
84665abffffffff,5.0,0.0,0.0
8466b0bffffffff,2.0,0.0,0.0
8466b4dffffffff,4.0,0.0,0.0
8466b53ffffffff,1.0,1.0,0.0
8466b55ffffffff,1.0,0.0,0.0
8466b57ffffffff,3.0,0.0,0.0
8466d35ffffffff,5.0,0.0,0.0
8466d53ffffffff,12.0,0.0,0.0
8466d57ffffffff,8.0,0.0,0.0
8466de1ffffffff,1.0,0.0,0.0
8467413ffffffff,1.0,0.0,0.0
84679a5ffffffff,2.0,0.0,0.0
846d053ffffffff,2.0,0.0,0.0
846d159ffffffff,2.0,0.0,0.0
846d15dffffffff,2.0,2.0,0.0
846d21dffffffff,3.0,0.0,0.0
846d295ffffffff,2.0,0.0,0.0
846d2abffffffff,2.0,0.0,0.0
846d2b9ffffffff,4.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0
846d30dffffffff,2.0,2.0,0.0
846d34dffffffff,3.0,0.0,0.0
846d693ffffffff,4.0,1.0,0.0
846d697ffffffff,1.0,0.0,0.0
846d69dffffffff,6.0,1.0,0.0
846d6d1ffffffff,1.0,0.0,0.0
846d745ffffffff,2.0,0.0,0.0
848a699ffffffff,1.0,0.0,0.0
848b22dffffffff,2.0,2.0,0.0
848b567ffffffff,1.0,1.0,0.0
848b617ffffffff,1.0,1.0,0.0
848e619ffffffff,2.0,0.0,0.0
848f50dffffffff,4.0,0.0,4.0
848f735ffffffff,1.0,1.0,0.0
84a94c7ffffffff,1.0,0.0,0.0
84a94ddffffffff,3.0,0.0,0.0
84a962dffffffff,1.0,0.0,0.0
84a9685ffffffff,4.0,0.0,0.0
84a969bffffffff,1.0,0.0,0.0
84a9753ffffffff,6.0,0.0,0.0
84b34d9ffffffff,3.0,0.0,0.0
