cell_id,Dryobates lignarius,Dryobates lignarius puncticeps,Dryobates lignarius lignarius
848b20bffffffff,1.0,1.0,0.0
84b2c15ffffffff,2.0,0.0,0.0
84b2c41ffffffff,3.0,0.0,0.0
84b2c43ffffffff,2.0,0.0,0.0
84b2c47ffffffff,3.0,0.0,0.0
84b2c4bffffffff,17.0,0.0,0.0
84b2c55ffffffff,4.0,0.0,0.0
84b2ce5ffffffff,7.0,0.0,0.0
84b346dffffffff,4.0,0.0,0.0
84b3731ffffffff,2.0,0.0,0.0
84ce819ffffffff,3.0,0.0,0.0
84ce9d3ffffffff,1.0,0.0,0.0
84cea03ffffffff,2.0,0.0,0.0
84cf123ffffffff,1.0,0.0,0.0
84cf129ffffffff,3.0,0.0,0.0
84cf12bffffffff,4.0,0.0,0.0
