cell_id,Turdus falcklandii,Turdus falcklandii magellanicus/pembertoni,Turdus falcklandii falcklandii
83b200fffffffff,8.0,0.0,0.0
83b201fffffffff,261.0,0.0,0.0
83b203fffffffff,57.0,0.0,0.0
83b205fffffffff,8.0,0.0,0.0
83b20afffffffff,57.0,0.0,0.0
83b20efffffffff,11.0,0.0,0.0
83b219fffffffff,1184.0,0.0,0.0
83b21bfffffffff,15.0,0.0,0.0
83b21dfffffffff,172.0,0.0,0.0
83b22afffffffff,1.0,0.0,0.0
83b299fffffffff,14.0,0.0,0.0
83b2c0fffffffff,3235.0,13.0,0.0
83b2c1fffffffff,833.0,1.0,0.0
83b2c2fffffffff,336.0,2.0,0.0
83b2c3fffffffff,961.0,0.0,0.0
83b2c4fffffffff,5246.0,4.0,0.0
83b2c5fffffffff,10459.0,795.0,0.0
83b2c8fffffffff,82.0,0.0,0.0
83b2cafffffffff,83.0,0.0,0.0
83b2ccfffffffff,3.0,0.0,0.0
83b2cefffffffff,581.0,0.0,0.0
83b2d8fffffffff,531.0,0.0,0.0
83b2d9fffffffff,196.0,0.0,0.0
83b2dafffffffff,353.0,0.0,0.0
83b2dbfffffffff,231.0,0.0,0.0
83b2dcfffffffff,333.0,0.0,0.0
83b2ddfffffffff,680.0,0.0,0.0
83b2e0fffffffff,17.0,0.0,0.0
83b2e1fffffffff,4.0,0.0,0.0
83b2e2fffffffff,754.0,0.0,0.0
83b2e3fffffffff,233.0,0.0,0.0
83b2e4fffffffff,70.0,0.0,0.0
83b2e6fffffffff,220.0,0.0,0.0
83b2e8fffffffff,1.0,0.0,0.0
83b2eafffffffff,19.0,0.0,0.0
83b2eefffffffff,12.0,0.0,0.0
83c205fffffffff,22.0,0.0,0.0
83c218fffffffff,4.0,0.0,0.0
83c221fffffffff,11.0,0.0,0.0
83c22afffffffff,2.0,0.0,0.0
83c22cfffffffff,9.0,0.0,0.0
83c22efffffffff,8.0,0.0,0.0
83c308fffffffff,38.0,0.0,0.0
83c309fffffffff,1.0,0.0,0.0
83c30dfffffffff,14.0,0.0,0.0
83c320fffffffff,27.0,0.0,0.0
83c321fffffffff,114.0,0.0,0.0
83c323fffffffff,3.0,0.0,0.0
83c324fffffffff,16.0,0.0,0.0
83c325fffffffff,8.0,0.0,0.0
83c328fffffffff,3.0,0.0,0.0
83c329fffffffff,383.0,0.0,0.0
83c32afffffffff,10.0,0.0,0.0
83c32bfffffffff,6.0,0.0,0.0
83c32dfffffffff,17.0,0.0,0.0
83c32efffffffff,196.0,0.0,0.0
83c344fffffffff,1.0,0.0,0.0
83c350fffffffff,33.0,0.0,0.0
