cell_id,Setophaga pitiayumi,Setophaga pitiayumi nigrilora,Setophaga pitiayumi pulchra,Setophaga pitiayumi insularis,Setophaga pitiayumi graysoni,Setophaga pitiayumi inornata,Setophaga pitiayumi cirrha,Setophaga pitiayumi [pitiayumi Group]
8426853ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429a03ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429a1dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429a55ffffffff,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8429a57ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444443ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84444c3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8444633ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84446c1ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84446c5ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84446c9ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84446cbffffffff,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84446e9ffffffff,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84446edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84452c3ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84452e1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84452ebffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84452edffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84482e5ffffffff,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
844833bffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8448361ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8448363ffffffff,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
844836bffffffff,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
844880dffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8448831ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8448833ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8448837ffffffff,152.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
844883bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
