cell_id,Campylorhamphus procurvoides,Campylorhamphus procurvoides sanus,Campylorhamphus procurvoides procurvoides,Campylorhamphus procurvoides gyldenstolpei
825f07fffffffff,5.0,0.0,0.0,0.0
825f0ffffffffff,1.0,0.0,0.0,0.0
825f17fffffffff,7.0,0.0,1.0,0.0
825f1ffffffffff,1.0,0.0,0.0,0.0
825f2ffffffffff,2.0,0.0,0.0,0.0
825f47fffffffff,11.0,0.0,0.0,0.0
825f6ffffffffff,1.0,0.0,0.0,0.0
825f77fffffffff,11.0,1.0,0.0,0.0
82660ffffffffff,3.0,0.0,0.0,0.0
826647fffffffff,58.0,0.0,0.0,0.0
82665ffffffffff,39.0,0.0,0.0,0.0
82666ffffffffff,2.0,0.0,0.0,0.0
8266c7fffffffff,7.0,0.0,0.0,0.0
8266cffffffffff,2.0,0.0,0.0,0.0
8266e7fffffffff,18.0,0.0,0.0,0.0
8266effffffffff,4.0,0.0,0.0,0.0
82804ffffffffff,2.0,0.0,0.0,0.0
82806ffffffffff,2.0,0.0,1.0,0.0
828a07fffffffff,13.0,0.0,0.0,11.0
828a17fffffffff,1.0,0.0,0.0,0.0
828a1ffffffffff,4.0,0.0,0.0,4.0
828a47fffffffff,6.0,0.0,0.0,0.0
828a4ffffffffff,1.0,0.0,0.0,0.0
828a6ffffffffff,2.0,0.0,0.0,0.0
828ad7fffffffff,2.0,0.0,0.0,0.0
828af7fffffffff,267.0,0.0,26.0,1.0
