cell_id,Sula brewsteri,Sula brewsteri brewsteri,Sula brewsteri etesiaca
820c6ffffffffff,2.0,0.0,0.0
82129ffffffffff,2.0,0.0,0.0
822807fffffffff,54.0,2.0,0.0
82281ffffffffff,119.0,1.0,0.0
822837fffffffff,1713.0,136.0,0.0
8228c7fffffffff,53.0,12.0,0.0
8228d7fffffffff,46.0,0.0,0.0
8228dffffffffff,6.0,0.0,0.0
8228f7fffffffff,99.0,3.0,0.0
822907fffffffff,1.0,0.0,0.0
822917fffffffff,975.0,6.0,0.0
82291ffffffffff,55.0,1.0,0.0
8229a7fffffffff,974.0,34.0,0.0
8229affffffffff,10.0,0.0,0.0
8229b7fffffffff,135.0,0.0,0.0
82460ffffffffff,2.0,2.0,0.0
824637fffffffff,2.0,2.0,0.0
824647fffffffff,3.0,3.0,0.0
82464ffffffffff,2.0,2.0,0.0
8247a7fffffffff,2.0,2.0,0.0
82482ffffffffff,2.0,2.0,0.0
824837fffffffff,4.0,2.0,0.0
82484ffffffffff,18.0,2.0,0.0
824857fffffffff,2.0,1.0,0.0
82485ffffffffff,24.0,2.0,0.0
82486ffffffffff,8.0,2.0,0.0
82490ffffffffff,6.0,0.0,0.0
8249a7fffffffff,5.0,3.0,0.0
8249affffffffff,4.0,3.0,0.0
8249b7fffffffff,4.0,4.0,0.0
824a4ffffffffff,1.0,1.0,0.0
824eeffffffffff,1.0,1.0,0.0
824f4ffffffffff,1.0,1.0,0.0
825d17fffffffff,19.0,19.0,0.0
826617fffffffff,3.0,0.0,3.0
82661ffffffffff,12.0,0.0,0.0
826687fffffffff,5.0,0.0,2.0
8266a7fffffffff,4.0,0.0,2.0
8266affffffffff,4.0,0.0,2.0
8266b7fffffffff,4.0,0.0,0.0
8266d7fffffffff,8.0,0.0,7.0
8266f7fffffffff,3.0,0.0,0.0
826c57fffffffff,2.0,0.0,0.0
826c5ffffffffff,17.0,1.0,13.0
826c67fffffffff,24.0,11.0,0.0
826d0ffffffffff,9.0,0.0,0.0
826d17fffffffff,55.0,35.0,0.0
826d2ffffffffff,35.0,0.0,0.0
826d4ffffffffff,1.0,1.0,0.0
826d57fffffffff,4.0,0.0,0.0
826d67fffffffff,8.0,0.0,0.0
826d6ffffffffff,81.0,2.0,0.0
826d77fffffffff,60.0,1.0,0.0
827067fffffffff,2.0,2.0,0.0
828e4ffffffffff,4.0,0.0,0.0
828e67fffffffff,1.0,0.0,0.0
828f07fffffffff,4.0,0.0,0.0
828f0ffffffffff,5.0,0.0,0.0
828f27fffffffff,4.0,0.0,0.0
828f2ffffffffff,22.0,2.0,0.0
828f57fffffffff,7.0,3.0,0.0
82b0a7fffffffff,5.0,0.0,0.0
82b207fffffffff,2.0,0.0,0.0
82b21ffffffffff,3.0,0.0,0.0
82b227fffffffff,4.0,0.0,0.0
82b2c7fffffffff,2.0,0.0,0.0
82b31ffffffffff,2.0,0.0,0.0
82b337fffffffff,6.0,0.0,0.0
