cell_id,Diomedea antipodensis,Diomedea antipodensis antipodensis,Diomedea antipodensis gibsoni
83b780fffffffff,1.0,1.0,0.0
83ba00fffffffff,7.0,0.0,7.0
83ba0afffffffff,2.0,0.0,2.0
83ba1cfffffffff,23.0,0.0,23.0
83ba1efffffffff,28.0,0.0,28.0
83ba66fffffffff,1.0,1.0,0.0
83bb0afffffffff,14.0,10.0,4.0
83bb24fffffffff,1.0,1.0,0.0
83bb29fffffffff,41.0,19.0,22.0
83bb2dfffffffff,430.0,59.0,357.0
83bb36fffffffff,5.0,4.0,0.0
83bb53fffffffff,44.0,9.0,35.0
83bb58fffffffff,14.0,12.0,0.0
83bb59fffffffff,1.0,1.0,0.0
83bb5efffffffff,5.0,4.0,0.0
83be0cfffffffff,51.0,10.0,41.0
83be0efffffffff,114.0,1.0,112.0
83be1afffffffff,11.0,0.0,11.0
83be1dfffffffff,7.0,1.0,6.0
83be29fffffffff,58.0,2.0,56.0
83be2bfffffffff,2.0,1.0,1.0
83be68fffffffff,142.0,38.0,101.0
83be69fffffffff,79.0,32.0,47.0
83be6cfffffffff,1.0,0.0,1.0
83beabfffffffff,40.0,0.0,40.0
83beaefffffffff,4.0,0.0,4.0
83bf06fffffffff,1.0,0.0,1.0
83bf1efffffffff,1.0,0.0,0.0
83bf44fffffffff,1.0,0.0,0.0
83bf4cfffffffff,996.0,142.0,852.0
83bf5bfffffffff,2.0,0.0,2.0
83bf6afffffffff,2.0,0.0,2.0
83bf6bfffffffff,4.0,0.0,4.0
83bf8bfffffffff,1.0,0.0,1.0
83c986fffffffff,1.0,0.0,1.0
83c9b0fffffffff,17.0,0.0,17.0
83d469fffffffff,12.0,12.0,0.0
83d46bfffffffff,1.0,1.0,0.0
83da00fffffffff,4.0,1.0,3.0
83da01fffffffff,14.0,0.0,14.0
83da06fffffffff,4.0,0.0,4.0
83da08fffffffff,4.0,0.0,4.0
83da09fffffffff,4.0,0.0,4.0
83da0afffffffff,7.0,0.0,7.0
83da0bfffffffff,5.0,0.0,5.0
83da0cfffffffff,14.0,2.0,12.0
83da18fffffffff,25.0,12.0,12.0
83da1afffffffff,10.0,6.0,4.0
83da1cfffffffff,12.0,9.0,3.0
83da1dfffffffff,4.0,0.0,2.0
83da2efffffffff,1.0,1.0,0.0
83da32fffffffff,4.0,4.0,0.0
83da36fffffffff,1.0,1.0,0.0
83da73fffffffff,4.0,0.0,4.0
83da84fffffffff,2.0,2.0,0.0
83da85fffffffff,2.0,2.0,0.0
83da8cfffffffff,48.0,24.0,22.0
83da8efffffffff,39.0,16.0,23.0
83da90fffffffff,2.0,2.0,0.0
83da9cfffffffff,4.0,4.0,0.0
83daa8fffffffff,2.0,2.0,0.0
83daa9fffffffff,25.0,21.0,4.0
83daaafffffffff,8.0,7.0,0.0
83dab5fffffffff,4.0,3.0,1.0
83db80fffffffff,14.0,14.0,0.0
83db81fffffffff,1.0,1.0,0.0
83db82fffffffff,13.0,12.0,1.0
83db85fffffffff,59.0,58.0,0.0
83db8dfffffffff,8.0,8.0,0.0
83db90fffffffff,14.0,14.0,0.0
83db95fffffffff,21.0,21.0,0.0
83db96fffffffff,2.0,2.0,0.0
83ea9cfffffffff,2.0,2.0,0.0
